dataset,model,condition,item_id,order,is_correct,token_f1,prompt_tokens,completion_tokens
fantom,gpt-5.4-nano,standard_cot,fantom_71-1-1_beliefgen_0,first-order,0,0.2917,1106,336
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_66-0-0_beliefgen_0,first-order,0,0.4176,1146,152
fantom,gpt-5.4-nano,standard_cot,fantom_37-0-2_beliefgen_0,first-order,0,0.6098,561,216
fantom,gpt-5.4-nano,standard_cot,fantom_216-0-1_beliefgen_0,first-order,0,0.4466,672,114
fantom,gpt-5.4-nano,baseline_io,fantom_216-0-1_beliefgen_0,first-order,0,0.3789,669,73
fantom,gpt-5.4-nano,baseline_io,fantom_27-0-0_beliefgen_0,first-order,1,0.3056,868,64
fantom,gpt-5.4-nano,standard_cot,fantom_27-0-0_beliefgen_0,first-order,1,0.3235,871,110
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-0-1_beliefgen_0,first-order,0,0.3922,1039,164
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-2_beliefgen_0,first-order,0,0.3729,1610,665
fantom,gpt-5.4-nano,baseline_io,fantom_202-1-1_beliefgen_0,first-order,0,0.2,1065,173
fantom,gpt-5.4-nano,standard_cot,fantom_202-1-1_beliefgen_0,first-order,0,0.3333,1068,233
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_37-0-2_beliefgen_0,first-order,0,0.4176,928,424
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_27-0-0_beliefgen_0,first-order,1,0.4615,1238,179
fantom,gpt-5.4-nano,baseline_io,fantom_216-2-1_beliefgen_0,first-order,1,0.3385,1234,121
fantom,gpt-5.4-nano,baseline_io,fantom_167-0-1_beliefgen_0,first-order,1,0.4,692,56
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_202-1-1_beliefgen_0,first-order,0,0.2143,1435,227
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-1_beliefgen_0,first-order,1,0.2632,1604,257
fantom,gpt-5.4-nano,baseline_io,fantom_22-1-2_beliefgen_0,first-order,0,0.3711,1138,59
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_167-0-1_beliefgen_0,first-order,1,0.3896,1062,175
fantom,gpt-5.4-nano,baseline_io,fantom_179-0-2_beliefgen_0,first-order,0,0.2241,902,64
fantom,gpt-5.4-nano,standard_cot,fantom_167-0-1_beliefgen_0,first-order,1,0.3385,695,182
fantom,gpt-5.4-nano,standard_cot,fantom_22-1-2_beliefgen_0,first-order,0,0.3441,1141,223
fantom,gpt-5.4-nano,standard_cot,fantom_216-2-1_beliefgen_0,first-order,1,0.3438,1237,540
fantom,gpt-5.4-nano,standard_cot,fantom_179-0-2_beliefgen_0,first-order,0,0.2333,905,147
fantom,gpt-5.4-nano,baseline_io,fantom_128-0-0_beliefgen_0,first-order,0,0.5333,680,48
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_22-1-2_beliefgen_0,first-order,0,0.3619,1508,271
fantom,gpt-5.4-nano,baseline_io,fantom_10-1-0_beliefgen_0,first-order,1,0.3279,914,126
fantom,gpt-5.4-nano,standard_cot,fantom_128-0-0_beliefgen_0,first-order,0,0.4776,683,116
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_128-0-0_beliefgen_0,first-order,0,0.4923,1050,131
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_179-0-2_beliefgen_0,first-order,0,0.2017,1272,154
fantom,gpt-5.4-nano,baseline_io,fantom_10-0-1_beliefgen_0,first-order,0,0.5393,662,126
fantom,gpt-5.4-nano,baseline_io,fantom_24-0-1_beliefgen_0,first-order,0,0.5581,955,31
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_10-1-0_beliefgen_0,first-order,1,0.2121,1284,310
fantom,gpt-5.4-nano,standard_cot,fantom_24-0-1_beliefgen_0,first-order,0,0.4255,958,121
fantom,gpt-5.4-nano,standard_cot,fantom_10-0-1_beliefgen_0,first-order,0,0.6429,665,137
fantom,gpt-5.4-nano,baseline_io,fantom_64-1-0_beliefgen_0,first-order,0,0.313,984,65
fantom,gpt-5.4-nano,standard_cot,fantom_10-1-0_beliefgen_0,first-order,1,0.25,917,349
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_10-0-1_beliefgen_0,first-order,0,0.3297,1032,243
fantom,gpt-5.4-nano,standard_cot,fantom_64-1-0_beliefgen_0,first-order,0,0.3761,987,142
fantom,gpt-5.4-nano,baseline_io,fantom_36-0-1_beliefgen_1,second-order,1,0.3111,663,111
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_24-0-1_beliefgen_0,first-order,1,0.3913,1325,482
fantom,gpt-5.4-nano,standard_cot,fantom_36-0-1_beliefgen_1,second-order,1,0.2588,666,136
fantom,gpt-5.4-nano,baseline_io,fantom_247-0-0_beliefgen_1,second-order,1,0.4894,761,111
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_64-1-0_beliefgen_0,first-order,0,0.3256,1354,174
fantom,gpt-5.4-nano,standard_cot,fantom_247-0-0_beliefgen_1,second-order,1,0.297,764,283
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_36-0-1_beliefgen_1,second-order,1,0.2955,1033,234
fantom,gpt-5.4-nano,baseline_io,fantom_4-2-1_beliefgen_1,second-order,1,0.3333,1444,80
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_247-0-0_beliefgen_1,second-order,1,0.4071,1131,428
fantom,gpt-5.4-nano,baseline_io,fantom_113-0-2_beliefgen_1,second-order,1,0.5075,687,131
fantom,gpt-5.4-nano,standard_cot,fantom_113-0-2_beliefgen_1,second-order,1,0.5352,690,155
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_4-2-1_beliefgen_1,second-order,1,0.3288,1814,192
fantom,gpt-5.4-nano,standard_cot,fantom_4-2-1_beliefgen_1,second-order,1,0.2133,1447,199
fantom,gpt-5.4-nano,baseline_io,fantom_93-0-0_beliefgen_2,second-order,0,0.4286,768,134
fantom,gpt-5.4-nano,standard_cot,fantom_93-0-0_beliefgen_2,second-order,0,0.4318,771,234
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_113-0-2_beliefgen_1,second-order,1,0.3611,1057,349
fantom,gpt-5.4-nano,baseline_io,fantom_52-0-1_beliefgen_1,second-order,0,0.4286,873,92
fantom,gpt-5.4-nano,baseline_io,fantom_85-0-0_beliefgen_1,second-order,0,0.6022,799,236
fantom,gpt-5.4-nano,standard_cot,fantom_52-0-1_beliefgen_1,second-order,0,0.4404,876,187
fantom,gpt-5.4-nano,standard_cot,fantom_85-0-0_beliefgen_1,second-order,0,0.4466,802,279
fantom,gpt-5.4-nano,baseline_io,fantom_30-0-1_beliefgen_1,second-order,1,0.375,724,54
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_93-0-0_beliefgen_2,second-order,0,0.3789,1138,431
fantom,gpt-5.4-nano,standard_cot,fantom_30-0-1_beliefgen_1,second-order,1,0.4494,727,128
fantom,gpt-5.4-nano,baseline_io,fantom_23-0-1_beliefgen_1,second-order,1,0.2295,842,66
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_30-0-1_beliefgen_1,second-order,1,0.3478,1094,158
fantom,gpt-5.4-nano,baseline_io,fantom_204-0-1_beliefgen_1,second-order,1,0.2667,897,164
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_52-0-1_beliefgen_1,second-order,0,0.4444,1243,292
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_85-0-0_beliefgen_1,second-order,0,0.5192,1169,497
fantom,gpt-5.4-nano,standard_cot,fantom_204-0-1_beliefgen_1,second-order,1,0.2549,900,342
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_204-0-1_beliefgen_1,second-order,1,0.2353,1267,296
fantom,gpt-5.4-nano,standard_cot,fantom_23-0-1_beliefgen_1,second-order,1,0.2188,845,259
fantom,gpt-5.4-nano,baseline_io,fantom_167-1-2_beliefgen_1,second-order,1,0.3736,1083,112
fantom,gpt-5.4-nano,baseline_io,fantom_216-2-0_beliefgen_1,second-order,1,0.4211,1234,190
fantom,gpt-5.4-nano,baseline_io,fantom_8-1-1_beliefgen_1,second-order,1,0.4167,1130,60
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_167-1-2_beliefgen_1,second-order,1,0.3883,1453,195
fantom,gpt-5.4-nano,standard_cot,fantom_216-2-0_beliefgen_1,second-order,1,0.4286,1237,398
fantom,gpt-5.4-nano,standard_cot,fantom_167-1-2_beliefgen_1,second-order,1,0.4222,1086,152
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_23-0-1_beliefgen_1,second-order,1,0.2609,1212,339
fantom,gpt-5.4-nano,standard_cot,fantom_8-1-1_beliefgen_1,second-order,1,0.4348,1133,144
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-1-1_beliefgen_1,second-order,1,0.2857,1500,157
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-0_beliefgen_1,second-order,1,0.382,1604,363
fantom,gpt-5.4-nano,baseline_io,fantom_7-0-1_beliefgen_1,second-order,1,0.3043,898,173
fantom,gpt-5.4-nano,standard_cot,fantom_27-1-0_beliefgen_1,second-order,1,0.4615,1230,145
fantom,gpt-5.4-nano,baseline_io,fantom_83-1-1_beliefgen_1,second-order,1,0.4396,767,82
fantom,gpt-5.4-nano,baseline_io,fantom_27-1-0_beliefgen_1,second-order,1,0.4906,1227,118
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_27-1-0_beliefgen_1,second-order,1,0.4918,1597,227
fantom,gpt-5.4-nano,standard_cot,fantom_83-1-1_beliefgen_1,second-order,1,0.3299,770,141
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_7-0-1_beliefgen_1,second-order,0,0.4242,1268,265
fantom,gpt-5.4-nano,standard_cot,fantom_7-0-1_beliefgen_1,second-order,0,0.2933,901,210
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_83-1-1_beliefgen_1,second-order,1,0.4,1137,178
fantom,gpt-5.4-nano,baseline_io,fantom_91-0-0_beliefgen_1,second-order,1,0.3279,637,195
fantom,gpt-5.4-nano,baseline_io,fantom_226-0-1_beliefgen_1,second-order,1,0.3551,738,81
fantom,gpt-5.4-nano,baseline_io,fantom_192-0-1_beliefgen_1,second-order,1,0.4211,455,174
fantom,gpt-5.4-nano,standard_cot,fantom_91-0-0_beliefgen_1,second-order,1,0.2903,640,269
fantom,gpt-5.4-nano,standard_cot,fantom_192-0-1_beliefgen_1,second-order,1,0.2549,458,146
fantom,gpt-5.4-nano,standard_cot,fantom_226-0-1_beliefgen_1,second-order,1,0.4,741,155
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_91-0-0_beliefgen_1,second-order,1,0.3188,1007,365
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_226-0-1_beliefgen_1,second-order,1,0.2982,1108,164
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_192-0-1_beliefgen_1,second-order,1,0.2941,825,261
fantom,gpt-5.4-nano,baseline_io,fantom_5-0-2_beliefgen_1,second-order,1,0.4,1037,191
fantom,gpt-5.4-nano,standard_cot,fantom_5-0-2_beliefgen_1,second-order,1,0.3117,1040,395
fantom,gpt-5.4-nano,narrative_cot_v3_tom,fantom_5-0-2_beliefgen_1,second-order,1,0.3544,1407,984
