collapse_fired_primary,collapse_fired_secondary,completion_tokens,condition,generator,mh_primary,mh_secondary,sc_primary,sc_secondary,scenario_id,suppression_fired_primary,suppression_fired_secondary,us_primary,us_secondary
0,0,351,standard_cot,claude-haiku-4-5,4,2,3,4,dd_14325,0,1,2,0
0,0,351,standard_cot,claude-haiku-4-5,4,5,3,3,dd_42185,0,0,2,1
0,0,336,standard_cot,claude-haiku-4-5,4,3,2,2,dd_24408,0,0,2,2
0,0,347,standard_cot,claude-haiku-4-5,4,4,4,3,dd_23322,0,1,2,0
0,0,334,standard_cot,claude-haiku-4-5,4,3,3,3,dd_37016,0,0,2,1
0,0,371,standard_cot,claude-haiku-4-5,4,3,4,2,dd_37404,0,0,3,2
0,0,326,standard_cot,claude-haiku-4-5,4,3,3,2,dd_5070,0,0,2,1
0,0,353,standard_cot,claude-haiku-4-5,4,3,4,3,dd_35542,0,0,2,1
0,0,346,standard_cot,claude-haiku-4-5,4,3,3,2,dd_17165,0,0,2,1
1,0,358,standard_cot,claude-haiku-4-5,3,5,1,3,dd_6420,0,0,2,1
0,0,332,standard_cot,claude-haiku-4-5,4,2,3,2,dd_5824,0,0,3,2
0,0,354,standard_cot,claude-haiku-4-5,4,4,3,4,dd_922,0,0,2,1
0,0,341,standard_cot,claude-haiku-4-5,4,4,3,3,dd_10361,0,0,3,2
0,0,315,standard_cot,claude-haiku-4-5,4,3,3,3,dd_33409,0,0,3,1
0,0,337,standard_cot,claude-haiku-4-5,3,3,2,4,dd_23530,0,0,3,1
0,0,520,textgrad_binary,claude-haiku-4-5,4,5,3,3,dd_1057,0,0,3,2
0,0,382,textgrad_binary,claude-haiku-4-5,4,3,3,4,dd_18656,0,0,2,1
0,0,331,standard_cot,claude-haiku-4-5,4,5,3,3,dd_10450,0,0,2,1
0,0,320,standard_cot,claude-haiku-4-5,3,3,2,3,dd_29184,0,0,2,1
0,0,452,textgrad_binary,claude-haiku-4-5,4,2,5,4,dd_42086,0,0,3,2
0,0,544,textgrad_binary,claude-haiku-4-5,4,4,3,3,dd_42521,0,0,3,2
0,0,512,textgrad_binary,claude-haiku-4-5,4,4,3,2,dd_19532,0,0,2,1
0,0,439,textgrad_binary,claude-haiku-4-5,4,2,5,5,dd_17455,0,0,3,2
0,0,397,textgrad_binary,claude-haiku-4-5,4,5,4,4,dd_33126,0,0,3,2
0,0,453,textgrad_binary,claude-haiku-4-5,4,3,3,3,dd_16120,0,0,3,2
0,0,355,textgrad_binary,claude-haiku-4-5,4,3,5,5,dd_11553,0,0,2,1
0,0,409,textgrad_binary,claude-haiku-4-5,4,4,2,3,dd_17792,0,0,3,2
0,0,394,textgrad_binary,claude-haiku-4-5,3,3,2,2,dd_20431,0,0,2,1
0,0,492,textgrad_binary,claude-haiku-4-5,4,4,4,4,dd_25698,0,0,2,1
0,0,546,textgrad_binary,claude-haiku-4-5,4,4,5,4,dd_45919,0,0,3,3
0,0,465,textgrad_binary,claude-haiku-4-5,4,5,2,2,dd_14325,0,0,3,2
0,0,503,textgrad_binary,claude-haiku-4-5,4,5,3,2,dd_42185,0,0,2,1
0,0,599,textgrad_binary,claude-haiku-4-5,4,4,4,3,dd_23322,0,0,3,2
0,0,540,textgrad_binary,claude-haiku-4-5,4,2,4,6,dd_24408,0,0,3,2
0,0,513,textgrad_binary,claude-haiku-4-5,4,5,3,3,dd_37404,0,0,3,2
0,0,507,textgrad_binary,claude-haiku-4-5,4,4,5,5,dd_37016,0,0,3,2
0,0,462,textgrad_binary,claude-haiku-4-5,4,4,4,3,dd_5070,0,0,3,2
0,0,512,textgrad_binary,claude-haiku-4-5,4,3,4,3,dd_35542,0,0,3,2
0,0,485,textgrad_binary,claude-haiku-4-5,4,4,4,4,dd_6420,0,0,3,2
0,0,511,textgrad_binary,claude-haiku-4-5,4,4,4,5,dd_17165,0,0,3,2
0,0,515,textgrad_binary,claude-haiku-4-5,4,3,2,2,dd_5824,0,0,3,2
0,0,562,textgrad_binary,claude-haiku-4-5,4,4,4,3,dd_922,0,0,3,2
0,0,505,textgrad_binary,claude-haiku-4-5,4,3,3,3,dd_10361,0,0,3,2
0,0,500,textgrad_binary,claude-haiku-4-5,4,3,3,4,dd_23530,0,0,3,2
0,0,597,textgrad_binary,claude-haiku-4-5,4,5,4,3,dd_33409,0,0,3,2
0,0,254,textgrad_continuous,claude-haiku-4-5,4,3,3,3,dd_1057,0,0,3,2
0,0,256,textgrad_continuous,claude-haiku-4-5,4,2,3,4,dd_18656,0,0,2,2
0,0,399,textgrad_binary,claude-haiku-4-5,4,3,3,3,dd_10450,0,0,1,1
0,0,424,textgrad_binary,claude-haiku-4-5,4,3,3,3,dd_29184,0,0,3,2
0,0,248,textgrad_continuous,claude-haiku-4-5,4,3,3,3,dd_42086,0,0,3,2
0,0,247,textgrad_continuous,claude-haiku-4-5,3,3,3,3,dd_42521,0,0,2,2
0,0,259,textgrad_continuous,claude-haiku-4-5,4,4,2,3,dd_19532,0,0,3,2
0,0,234,textgrad_continuous,claude-haiku-4-5,4,4,3,3,dd_17455,0,0,2,2
0,0,262,textgrad_continuous,claude-haiku-4-5,4,3,2,2,dd_16120,0,0,3,3
0,0,259,textgrad_continuous,claude-haiku-4-5,4,4,3,3,dd_33126,0,0,3,3
0,0,257,textgrad_continuous,claude-haiku-4-5,4,5,5,6,dd_11553,0,0,3,2
0,0,242,textgrad_continuous,claude-haiku-4-5,4,3,4,4,dd_17792,0,0,3,2
0,0,234,textgrad_continuous,claude-haiku-4-5,4,4,3,3,dd_20431,0,0,2,2
0,0,225,textgrad_continuous,claude-haiku-4-5,4,4,4,5,dd_45919,0,0,3,2
0,0,246,textgrad_continuous,claude-haiku-4-5,4,4,3,3,dd_14325,0,0,3,3
0,0,252,textgrad_continuous,claude-haiku-4-5,4,4,5,5,dd_25698,0,0,2,2
0,0,246,textgrad_continuous,claude-haiku-4-5,4,4,3,3,dd_42185,0,0,2,2
0,0,257,textgrad_continuous,claude-haiku-4-5,4,2,6,6,dd_24408,0,0,2,2
0,0,257,textgrad_continuous,claude-haiku-4-5,4,5,5,5,dd_23322,0,0,2,2
0,0,258,textgrad_continuous,claude-haiku-4-5,4,4,4,3,dd_37404,0,0,2,2
0,0,264,textgrad_continuous,claude-haiku-4-5,4,2,5,4,dd_37016,0,0,3,2
0,0,264,textgrad_continuous,claude-haiku-4-5,4,3,3,3,dd_5070,0,0,3,2
0,0,252,textgrad_continuous,claude-haiku-4-5,4,3,4,4,dd_35542,0,0,3,2
0,0,252,textgrad_continuous,claude-haiku-4-5,4,3,4,4,dd_17165,0,0,2,2
0,0,268,textgrad_continuous,claude-haiku-4-5,3,3,3,3,dd_5824,0,0,3,2
0,0,247,textgrad_continuous,claude-haiku-4-5,4,5,4,4,dd_922,0,0,2,2
0,0,241,textgrad_continuous,claude-haiku-4-5,4,3,4,4,dd_6420,0,0,3,2
0,0,244,textgrad_continuous,claude-haiku-4-5,3,3,3,3,dd_23530,0,0,2,2
0,0,244,textgrad_continuous,claude-haiku-4-5,4,2,3,3,dd_10361,0,0,3,2
0,0,263,textgrad_continuous,claude-haiku-4-5,4,5,4,4,dd_33409,0,0,3,2
0,0,1791,narrative_cot,gpt-5.4-nano,4,4,6,6,dd_1057,0,0,3,2
0,0,1214,narrative_cot,gpt-5.4-nano,4,2,4,4,dd_18656,0,0,2,2
0,0,250,textgrad_continuous,claude-haiku-4-5,4,2,3,3,dd_10450,0,0,2,2
0,0,261,textgrad_continuous,claude-haiku-4-5,4,5,3,3,dd_29184,0,0,2,2
0,0,1437,narrative_cot,gpt-5.4-nano,4,4,5,5,dd_42086,0,0,3,2
0,0,1714,narrative_cot,gpt-5.4-nano,4,2,5,5,dd_42521,0,0,3,2
0,0,1487,narrative_cot,gpt-5.4-nano,4,5,6,6,dd_19532,0,0,3,3
0,0,1476,narrative_cot,gpt-5.4-nano,4,3,6,6,dd_17455,0,0,3,3
0,0,1291,narrative_cot,gpt-5.4-nano,4,2,5,5,dd_33126,0,0,3,2
0,0,1351,narrative_cot,gpt-5.4-nano,4,2,5,5,dd_16120,0,0,3,3
0,0,1152,narrative_cot,gpt-5.4-nano,4,2,6,6,dd_11553,0,0,3,3
0,0,1780,narrative_cot,gpt-5.4-nano,5,5,6,5,dd_17792,0,0,3,2
0,0,1285,narrative_cot,gpt-5.4-nano,5,2,5,5,dd_20431,0,0,3,3
0,0,1300,narrative_cot,gpt-5.4-nano,4,4,5,5,dd_45919,0,0,3,2
0,0,1354,narrative_cot,claude-haiku-4-5,4,4,6,5,dd_5070,0,0,3,3
0,0,1926,narrative_cot,gpt-5.4-nano,4,2,7,7,dd_25698,0,0,3,2
0,0,1407,narrative_cot,gpt-5.4-nano,4,4,5,5,dd_14325,0,0,3,2
0,0,1254,narrative_cot,gpt-5.4-nano,4,4,6,5,dd_42185,0,0,3,3
0,0,1550,narrative_cot,gpt-5.4-nano,4,2,6,6,dd_24408,0,0,3,2
0,0,1565,narrative_cot,gpt-5.4-nano,5,5,5,4,dd_23322,0,0,3,3
0,0,1378,narrative_cot,gpt-5.4-nano,4,4,7,7,dd_37016,0,0,2,2
0,0,1696,narrative_cot,gpt-5.4-nano,4,2,6,6,dd_37404,0,0,3,3
0,0,1500,narrative_cot,gpt-5.4-nano,4,4,5,5,dd_5070,0,0,3,2
0,0,1434,narrative_cot,gpt-5.4-nano,4,4,7,6,dd_35542,0,0,3,2
0,0,1634,narrative_cot,gpt-5.4-nano,5,2,6,6,dd_17165,0,0,3,2
0,0,1433,narrative_cot,gpt-5.4-nano,4,2,6,6,dd_6420,0,0,3,2
0,0,1871,narrative_cot,gpt-5.4-nano,4,2,6,6,dd_10361,0,0,3,2
0,0,1384,narrative_cot,gpt-5.4-nano,4,4,7,7,dd_23530,0,0,3,2
0,0,1665,narrative_cot,gpt-5.4-nano,4,5,7,7,dd_922,0,0,3,2
0,0,1504,narrative_cot,gpt-5.4-nano,4,2,6,6,dd_5824,0,0,3,2
0,0,595,standard_cot,gpt-5.4-nano,4,2,4,6,dd_1057,0,0,2,2
0,0,312,standard_cot,gpt-5.4-nano,4,2,4,4,dd_18656,0,0,1,1
0,0,566,standard_cot,gpt-5.4-nano,4,3,4,6,dd_42086,0,1,1,0
0,0,1769,narrative_cot,gpt-5.4-nano,4,2,6,5,dd_33409,0,0,3,2
0,0,1383,narrative_cot,gpt-5.4-nano,4,2,5,5,dd_10450,0,0,3,3
0,0,586,standard_cot,gpt-5.4-nano,4,3,3,3,dd_42521,0,0,1,1
0,0,498,standard_cot,gpt-5.4-nano,4,4,4,6,dd_19532,0,1,1,0
0,0,1635,narrative_cot,gpt-5.4-nano,4,4,5,5,dd_29184,0,0,3,2
0,0,586,standard_cot,gpt-5.4-nano,4,3,3,4,dd_17455,0,0,1,1
0,0,379,standard_cot,gpt-5.4-nano,4,3,2,2,dd_16120,0,1,1,0
0,0,366,standard_cot,gpt-5.4-nano,4,3,3,5,dd_33126,0,1,1,0
0,0,202,standard_cot,gpt-5.4-nano,3,3,2,2,dd_20431,0,0,1,1
0,0,533,standard_cot,gpt-5.4-nano,4,4,4,4,dd_11553,0,0,2,1
0,0,654,standard_cot,gpt-5.4-nano,4,3,2,2,dd_17792,0,0,3,1
0,0,573,standard_cot,gpt-5.4-nano,4,2,4,4,dd_45919,0,0,2,2
0,0,533,standard_cot,gpt-5.4-nano,4,4,4,6,dd_25698,0,0,2,1
0,0,704,standard_cot,gpt-5.4-nano,4,4,4,4,dd_42185,0,0,2,1
0,0,889,standard_cot,gpt-5.4-nano,4,4,3,5,dd_14325,0,0,2,1
0,0,527,standard_cot,gpt-5.4-nano,4,2,3,4,dd_24408,0,0,1,1
0,0,325,standard_cot,gpt-5.4-nano,3,3,3,3,dd_37016,0,0,1,1
0,0,1018,standard_cot,gpt-5.4-nano,4,5,4,5,dd_23322,0,0,2,1
0,0,608,standard_cot,gpt-5.4-nano,4,3,5,4,dd_37404,0,0,2,2
0,0,668,standard_cot,gpt-5.4-nano,4,3,3,3,dd_5070,0,0,2,1
0,0,245,standard_cot,gpt-5.4-nano,3,3,3,3,dd_17165,0,1,1,0
0,0,514,standard_cot,gpt-5.4-nano,4,3,3,3,dd_35542,0,0,2,2
1,1,539,standard_cot,gpt-5.4-nano,4,4,1,1,dd_6420,0,0,2,1
0,0,427,standard_cot,gpt-5.4-nano,4,5,3,2,dd_5824,0,0,2,2
0,0,748,standard_cot,gpt-5.4-nano,4,3,4,5,dd_922,0,0,2,1
0,0,710,standard_cot,gpt-5.4-nano,4,2,3,4,dd_10361,0,0,2,1
0,0,433,standard_cot,gpt-5.4-nano,3,3,3,2,dd_23530,0,0,1,1
0,0,1054,textgrad_binary,gpt-5.4-nano,4,4,6,5,dd_1057,0,0,2,1
0,0,739,textgrad_binary,gpt-5.4-nano,4,4,4,5,dd_18656,0,0,3,2
0,0,619,standard_cot,gpt-5.4-nano,4,4,3,3,dd_33409,0,0,2,1
0,0,838,standard_cot,gpt-5.4-nano,4,3,3,5,dd_10450,0,0,2,2
0,0,638,standard_cot,gpt-5.4-nano,4,2,2,3,dd_29184,0,0,2,1
0,0,936,textgrad_binary,gpt-5.4-nano,4,4,5,4,dd_42086,0,0,2,1
0,0,1079,textgrad_binary,gpt-5.4-nano,4,5,5,4,dd_42521,0,0,3,2
0,0,865,textgrad_binary,gpt-5.4-nano,4,4,6,5,dd_17455,0,0,2,2
0,0,1008,textgrad_binary,gpt-5.4-nano,4,5,6,5,dd_19532,0,0,2,1
0,0,803,textgrad_binary,gpt-5.4-nano,4,4,6,5,dd_11553,0,0,2,1
0,0,868,textgrad_binary,gpt-5.4-nano,4,4,5,4,dd_33126,0,0,2,2
0,0,986,textgrad_binary,gpt-5.4-nano,4,3,6,5,dd_16120,0,0,3,2
0,0,1117,textgrad_binary,gpt-5.4-nano,4,4,5,5,dd_17792,0,0,3,2
0,1,527,textgrad_binary,gpt-5.4-nano,4,0,4,0,dd_20431,0,1,1,0
0,0,915,textgrad_binary,gpt-5.4-nano,4,4,6,6,dd_45919,0,0,3,2
0,0,1075,textgrad_binary,gpt-5.4-nano,4,4,6,5,dd_25698,0,0,2,1
0,0,1032,textgrad_binary,gpt-5.4-nano,4,5,5,4,dd_42185,0,0,3,2
0,0,1524,textgrad_binary,gpt-5.4-nano,4,3,6,5,dd_14325,0,0,3,2
0,0,1196,textgrad_binary,gpt-5.4-nano,4,4,7,5,dd_24408,0,0,2,1
0,0,1112,textgrad_binary,gpt-5.4-nano,4,3,6,5,dd_37404,0,0,3,2
0,0,1362,textgrad_binary,gpt-5.4-nano,4,4,6,5,dd_23322,0,0,2,2
0,0,836,textgrad_binary,gpt-5.4-nano,4,2,7,6,dd_37016,0,0,2,2
0,0,1004,textgrad_binary,gpt-5.4-nano,4,3,6,6,dd_35542,0,0,2,1
0,0,975,textgrad_binary,gpt-5.4-nano,4,4,5,5,dd_5070,0,0,2,1
0,0,1100,textgrad_binary,gpt-5.4-nano,4,2,6,5,dd_17165,0,0,3,1
0,0,1046,textgrad_binary,gpt-5.4-nano,4,5,5,4,dd_6420,0,0,3,2
0,0,1434,textgrad_binary,gpt-5.4-nano,4,3,7,6,dd_922,0,0,3,2
0,0,726,textgrad_binary,gpt-5.4-nano,4,4,4,4,dd_5824,0,1,2,0
0,0,987,textgrad_binary,gpt-5.4-nano,4,4,7,6,dd_23530,0,0,2,2
0,0,1050,textgrad_binary,gpt-5.4-nano,4,5,5,5,dd_33409,0,0,3,2
0,0,851,textgrad_continuous,gpt-5.4-nano,4,3,5,4,dd_1057,0,0,3,2
0,0,1171,textgrad_continuous,gpt-5.4-nano,4,3,4,4,dd_18656,0,0,2,2
0,0,1357,textgrad_binary,gpt-5.4-nano,4,3,6,6,dd_10361,0,0,2,3
0,0,1109,textgrad_binary,gpt-5.4-nano,4,4,5,5,dd_10450,0,0,2,1
0,0,845,textgrad_continuous,gpt-5.4-nano,4,4,5,5,dd_42086,0,0,3,2
0,0,947,textgrad_binary,gpt-5.4-nano,4,3,5,5,dd_29184,0,0,2,1
0,0,847,textgrad_continuous,gpt-5.4-nano,4,4,4,4,dd_42521,0,0,2,2
0,0,877,textgrad_continuous,gpt-5.4-nano,4,5,5,7,dd_19532,0,0,2,2
0,0,863,textgrad_continuous,gpt-5.4-nano,4,4,4,4,dd_16120,0,0,3,2
0,0,987,textgrad_continuous,gpt-5.4-nano,4,3,4,3,dd_33126,0,0,2,2
0,0,927,textgrad_continuous,gpt-5.4-nano,4,3,4,4,dd_17455,0,0,2,2
0,0,811,textgrad_continuous,gpt-5.4-nano,4,4,4,4,dd_11553,0,0,2,2
0,0,824,textgrad_continuous,gpt-5.4-nano,4,3,5,4,dd_20431,0,0,2,2
0,0,869,textgrad_continuous,gpt-5.4-nano,4,3,6,6,dd_45919,0,0,2,2
0,0,948,textgrad_continuous,gpt-5.4-nano,4,4,5,5,dd_17792,0,0,2,2
0,0,880,textgrad_continuous,gpt-5.4-nano,4,3,5,7,dd_25698,0,0,2,2
0,0,856,textgrad_continuous,gpt-5.4-nano,4,3,4,3,dd_42185,0,0,2,2
0,0,851,textgrad_continuous,gpt-5.4-nano,4,4,4,3,dd_14325,0,0,2,2
0,0,892,textgrad_continuous,gpt-5.4-nano,4,4,6,6,dd_24408,0,0,2,2
0,0,928,textgrad_continuous,gpt-5.4-nano,4,5,5,5,dd_23322,0,0,2,2
0,0,850,textgrad_continuous,gpt-5.4-nano,4,4,5,6,dd_37404,0,0,3,2
0,0,936,textgrad_continuous,gpt-5.4-nano,4,4,3,3,dd_5070,0,0,2,2
0,0,823,textgrad_continuous,gpt-5.4-nano,4,4,5,7,dd_37016,0,0,2,2
0,0,274,textgrad_continuous,gpt-5.4-nano,3,2,4,5,dd_17165,0,0,2,2
0,0,822,textgrad_continuous,gpt-5.4-nano,4,3,5,5,dd_35542,0,0,2,2
0,0,924,textgrad_continuous,gpt-5.4-nano,4,5,4,6,dd_6420,0,0,2,2
0,0,923,textgrad_continuous,gpt-5.4-nano,4,4,5,5,dd_922,0,0,2,1
0,0,284,textgrad_continuous,gpt-5.4-nano,4,2,4,5,dd_10361,0,0,3,2
0,0,905,textgrad_continuous,gpt-5.4-nano,4,4,4,5,dd_5824,0,0,3,2
0,0,873,textgrad_continuous,gpt-5.4-nano,3,2,5,5,dd_23530,0,0,2,2
0,0,863,textgrad_continuous,gpt-5.4-nano,4,3,4,5,dd_10450,0,0,3,2
0,0,936,textgrad_continuous,gpt-5.4-nano,4,3,4,5,dd_33409,0,0,3,2
0,0,824,textgrad_continuous,gpt-5.4-nano,4,4,3,4,dd_29184,0,0,2,2
