scenario_id,generator,condition,direction,output_len,kc_graph_score,n_nodes,n_edges,mean_degree,kc_gzip_score,kc_graph_mdl,kc_struct_entropy
dd_11786,claude-haiku-4-5,standard_cot,-1,1499,38.0833,24,13,1.0833,846,0.801006,2.458311
dd_11786,claude-haiku-4-5,standard_cot_verbose,-1,2558,48.0323,31,16,1.0323,1347,0.802683,2.685945
dd_12219,claude-haiku-4-5,baseline_io,0,1287,26.125,16,9,1.125,732,0.717206,2.197225
dd_12219,claude-haiku-4-5,narrative_cot,1,5214,55.1765,34,20,1.1765,2283,0.771076,2.787788
dd_12219,claude-haiku-4-5,standard_cot,-1,1455,34.0,22,11,1.0,806,0.771668,2.397895
dd_12219,claude-haiku-4-5,standard_cot_verbose,-1,1818,34.1429,21,12,1.1429,982,0.753525,2.369382
dd_12896,claude-haiku-4-5,baseline_io,0,1183,32.2632,19,12,1.2632,678,0.785778,2.484907
dd_12896,claude-haiku-4-5,narrative_cot,1,9133,51.0303,33,17,1.0303,3928,0.703608,2.751667
dd_12896,claude-haiku-4-5,standard_cot,-1,1578,30.0526,19,10,1.0526,854,0.732377,2.163956
dd_12936,claude-haiku-4-5,baseline_io,0,1015,28.0,18,9,1.0,602,0.757843,2.197225
dd_12896,claude-haiku-4-5,standard_cot_verbose,-1,2001,53.25,32,20,1.25,1074,0.860447,2.926418
dd_12936,claude-haiku-4-5,narrative_cot,1,4900,47.2857,28,18,1.2857,2214,0.742802,2.322188
dd_11786,claude-haiku-4-5,narrative_cot,1,4768,52.0,34,17,1.0,2302,0.761016,2.833213
dd_12936,claude-haiku-4-5,standard_cot,-1,1381,31.1579,19,11,1.1579,762,0.757906,2.271869
dd_12936,claude-haiku-4-5,standard_cot_verbose,-1,2118,37.1304,23,13,1.1304,1119,0.759543,2.351673
dd_13874,claude-haiku-4-5,baseline_io,0,992,37.0,24,12,1.0,582,0.838147,2.484907
dd_13874,claude-haiku-4-5,standard_cot_verbose,-1,2104,47.0667,30,16,1.0667,1128,0.81902,2.772589
dd_13874,claude-haiku-4-5,standard_cot,-1,1389,41.0769,26,14,1.0769,807,0.829603,2.540036
dd_13874,claude-haiku-4-5,narrative_cot,1,5186,58.1667,36,21,1.1667,2457,0.783497,2.623522
dd_14224,claude-haiku-4-5,standard_cot,-1,1628,46.1034,29,16,1.1034,935,0.842975,2.479956
dd_14224,claude-haiku-4-5,baseline_io,0,1424,40.0,26,13,1.0,818,0.817262,2.564949
dd_14224,claude-haiku-4-5,narrative_cot,1,6555,58.1667,36,21,1.1667,3039,0.762615,2.582424
dd_14224,claude-haiku-4-5,standard_cot_verbose,-1,2764,48.0323,31,16,1.0323,1454,0.794841,2.772589
dd_14325,claude-haiku-4-5,baseline_io,0,1528,38.2174,23,14,1.2174,789,0.802756,2.441015
dd_14325,claude-haiku-4-5,narrative_cot,1,7728,46.3333,27,18,1.3333,3337,0.701087,1.99624
dd_14325,claude-haiku-4-5,standard_cot,-1,1686,37.1304,23,13,1.1304,881,0.782848,2.245035
dd_14557,claude-haiku-4-5,baseline_io,0,1427,38.0833,24,13,1.0833,794,0.80643,2.351673
dd_14557,claude-haiku-4-5,standard_cot,-1,1500,36.0435,23,12,1.0435,838,0.785219,2.484907
dd_14325,claude-haiku-4-5,standard_cot_verbose,-1,2754,53.0588,34,18,1.0588,1353,0.820559,2.890372
dd_14557,claude-haiku-4-5,standard_cot_verbose,-1,2065,31.0,20,10,1.0,1106,0.712977,2.302585
dd_14707,claude-haiku-4-5,baseline_io,0,1219,24.0667,15,8,1.0667,620,0.699323,1.906155
dd_14557,claude-haiku-4-5,narrative_cot,1,7831,40.5455,22,17,1.5455,3349,0.672082,1.222267
dd_14707,claude-haiku-4-5,standard_cot,-1,1568,32.2632,19,12,1.2632,756,0.755713,1.907284
dd_14707,claude-haiku-4-5,narrative_cot,1,4911,48.1333,30,17,1.1333,2229,0.744092,2.67012
dd_14707,claude-haiku-4-5,standard_cot_verbose,-1,2059,45.1429,28,16,1.1429,1037,0.8126,2.393312
dd_14818,claude-haiku-4-5,baseline_io,0,829,31.0,20,10,1.0,499,0.809712,2.302585
dd_14818,claude-haiku-4-5,standard_cot,-1,1336,33.2,20,12,1.2,746,0.77929,2.484907
dd_14845,claude-haiku-4-5,baseline_io,0,1298,28.1765,17,10,1.1765,756,0.737622,2.163956
dd_14818,claude-haiku-4-5,standard_cot_verbose,-1,2046,43.1111,27,15,1.1111,1081,0.80072,2.615631
dd_14845,claude-haiku-4-5,standard_cot,-1,1586,27.25,16,10,1.25,944,0.709823,1.973001
dd_14818,claude-haiku-4-5,narrative_cot,1,4737,86.4,50,35,1.4,2223,0.887985,2.931322
dd_15538,claude-haiku-4-5,baseline_io,0,1460,39.1667,24,14,1.1667,806,0.81337,2.540036
dd_14845,claude-haiku-4-5,standard_cot_verbose,-1,2735,56.3333,33,22,1.3333,1455,0.841754,2.965016
dd_14845,claude-haiku-4-5,narrative_cot,1,7477,57.027,37,19,1.027,3397,0.743669,2.871476
dd_15538,claude-haiku-4-5,standard_cot,-1,1630,33.0476,21,11,1.0476,933,0.753817,2.397895
dd_15538,claude-haiku-4-5,narrative_cot,1,7530,44.3077,26,17,1.3077,3184,0.692994,1.956187
dd_15538,claude-haiku-4-5,standard_cot_verbose,-1,2258,45.0345,29,15,1.0345,1190,0.799436,2.70805
dd_15585,claude-haiku-4-5,baseline_io,0,1147,31.0,20,10,1.0,670,0.772437,2.302585
dd_15585,claude-haiku-4-5,narrative_cot,1,5385,39.1667,24,14,1.1667,2454,0.689855,2.205598
dd_15585,claude-haiku-4-5,standard_cot_verbose,-1,2490,36.3333,21,14,1.3333,1307,0.74153,2.044931
dd_16120,claude-haiku-4-5,baseline_io,0,1128,25.2,15,9,1.2,660,0.722025,2.197225
dd_15585,claude-haiku-4-5,standard_cot,-1,1405,34.1429,21,12,1.1429,825,0.780298,2.369382
dd_16120,claude-haiku-4-5,standard_cot,-1,1449,28.0,18,9,1.0,802,0.720813,2.197225
dd_16120,claude-haiku-4-5,narrative_cot,1,3945,37.2727,22,14,1.2727,1834,0.705703,1.94591
dd_16120,claude-haiku-4-5,standard_cot_verbose,-1,2324,33.0476,21,11,1.0476,1185,0.71934,2.397895
dd_1656,claude-haiku-4-5,baseline_io,0,1396,24.0667,15,8,1.0667,785,0.686241,2.079442
dd_17165,claude-haiku-4-5,baseline_io,0,1364,25.0,16,8,1.0,731,0.696842,2.079442
dd_1656,claude-haiku-4-5,standard_cot_verbose,-1,1833,31.0,20,10,1.0,995,0.724279,2.302585
dd_1656,claude-haiku-4-5,narrative_cot,1,5601,50.1613,31,18,1.1613,2445,0.742702,2.630253
dd_17165,claude-haiku-4-5,standard_cot,-1,1506,20.1667,12,7,1.1667,828,0.634664,1.549826
dd_1656,claude-haiku-4-5,standard_cot,-1,1373,33.0476,21,11,1.0476,769,0.771706,2.271869
dd_17165,claude-haiku-4-5,narrative_cot,1,5652,55.2727,33,21,1.2727,2561,0.765908,2.397267
dd_17455,claude-haiku-4-5,standard_cot,-1,1444,37.1304,23,13,1.1304,799,0.799508,2.245035
dd_17165,claude-haiku-4-5,standard_cot_verbose,-1,2573,42.037,27,14,1.037,1285,0.769144,2.639057
dd_17455,claude-haiku-4-5,narrative_cot,1,4653,51.125,32,18,1.125,2221,0.76265,2.524168
dd_17455,claude-haiku-4-5,baseline_io,0,1218,43.1111,27,15,1.1111,705,0.85913,2.70805
dd_17792,claude-haiku-4-5,baseline_io,0,1227,31.0,20,10,1.0,700,0.765121,2.302585
dd_17455,claude-haiku-4-5,standard_cot_verbose,-1,2137,53.1515,33,19,1.1515,1134,0.850601,2.552085
dd_17792,claude-haiku-4-5,standard_cot,-1,1444,45.1429,28,16,1.1429,798,0.852202,2.566599
dd_18656,claude-haiku-4-5,standard_cot,-1,1504,22.5,12,9,1.5,834,0.665277,1.522955
dd_18656,claude-haiku-4-5,baseline_io,0,1153,31.0,20,10,1.0,664,0.771866,2.302585
dd_17792,claude-haiku-4-5,narrative_cot,1,5533,66.25,40,25,1.25,2521,0.808903,3.031591
dd_18935,claude-haiku-4-5,baseline_io,0,1203,26.125,16,9,1.125,678,0.724024,1.889159
dd_17792,claude-haiku-4-5,standard_cot_verbose,-1,2415,55.0857,35,19,1.0857,1269,0.844591,2.770974
dd_18656,claude-haiku-4-5,narrative_cot,1,5794,53.0588,34,18,1.0588,2570,0.750141,2.813355
dd_18935,claude-haiku-4-5,narrative_cot,1,4180,42.5652,23,18,1.5652,2037,0.734261,2.553237
dd_18656,claude-haiku-4-5,standard_cot_verbose,-1,2177,38.0833,24,13,1.0833,1129,0.76214,2.311423
dd_18935,claude-haiku-4-5,standard_cot,-1,1546,25.2,15,9,1.2,823,0.691057,2.197225
dd_18935,claude-haiku-4-5,standard_cot_verbose,-1,2210,37.1304,23,13,1.1304,1184,0.755351,2.564949
dd_19532,claude-haiku-4-5,baseline_io,0,1237,38.0833,24,13,1.0833,725,0.822599,2.564949
dd_19532,claude-haiku-4-5,standard_cot,-1,1552,28.0,18,9,1.0,870,0.714081,2.197225
dd_19532,claude-haiku-4-5,standard_cot_verbose,-1,2134,38.0833,24,13,1.0833,1144,0.764123,2.564949
dd_19968,claude-haiku-4-5,baseline_io,0,1206,40.12,25,14,1.12,720,0.840789,2.639057
dd_19532,claude-haiku-4-5,narrative_cot,1,6583,49.2,30,18,1.2,2983,0.725448,2.813355
dd_19968,claude-haiku-4-5,standard_cot,-1,1440,30.0526,19,10,1.0526,836,0.741587,2.302585
dd_19968,claude-haiku-4-5,standard_cot_verbose,-1,2536,56.2353,34,21,1.2353,1378,0.84789,2.529295
dd_19968,claude-haiku-4-5,narrative_cot,1,5944,56.6667,30,25,1.6667,2807,0.770063,1.643692
dd_20184,claude-haiku-4-5,baseline_io,0,1159,28.0,18,9,1.0,684,0.743607,2.197225
dd_20184,claude-haiku-4-5,standard_cot,-1,1507,34.1429,21,12,1.1429,833,0.772831,2.484907
dd_20184,claude-haiku-4-5,narrative_cot,1,4330,39.04,25,13,1.04,2085,0.704259,2.458311
dd_20431,claude-haiku-4-5,baseline_io,0,1039,31.0,20,10,1.0,606,0.783423,2.302585
dd_20184,claude-haiku-4-5,standard_cot_verbose,-1,2285,40.12,25,14,1.12,1222,0.771362,2.639057
dd_20431,claude-haiku-4-5,standard_cot,-1,1421,36.0435,23,12,1.0435,769,0.791067,2.369382
dd_20431,claude-haiku-4-5,narrative_cot,1,5349,42.1538,26,15,1.1538,2393,0.706876,2.70805
dd_20446,claude-haiku-4-5,baseline_io,0,1285,25.0,16,8,1.0,704,0.702645,2.079442
dd_20431,claude-haiku-4-5,standard_cot_verbose,-1,2152,34.1429,21,12,1.1429,1114,0.736974,2.094729
dd_20446,claude-haiku-4-5,standard_cot,-1,1419,27.0588,17,9,1.0588,783,0.71544,2.043192
dd_2068,claude-haiku-4-5,baseline_io,0,1186,30.2222,18,11,1.2222,686,0.766945,2.098274
dd_20446,claude-haiku-4-5,standard_cot_verbose,-1,2531,32.1,20,11,1.1,1300,0.705575,2.271869
dd_20446,claude-haiku-4-5,narrative_cot,1,5222,51.2258,31,19,1.2258,2351,0.754771,2.333197
dd_2068,claude-haiku-4-5,narrative_cot,1,7502,45.0345,29,15,1.0345,3327,0.691891,2.615631
dd_2068,claude-haiku-4-5,standard_cot,-1,1620,39.04,25,13,1.04,889,0.797905,2.564949
dd_2068,claude-haiku-4-5,standard_cot_verbose,-1,2028,36.0435,23,12,1.0435,1035,0.75414,2.369382
dd_20717,claude-haiku-4-5,baseline_io,0,1346,40.25,24,15,1.25,776,0.831497,2.268605
dd_20717,claude-haiku-4-5,standard_cot,-1,1425,38.0833,24,13,1.0833,791,0.806586,2.351673
dd_20717,claude-haiku-4-5,standard_cot_verbose,-1,2270,39.1667,24,14,1.1667,1207,0.766944,2.639057
dd_21165,claude-haiku-4-5,baseline_io,0,1143,37.1304,23,13,1.1304,651,0.826026,2.351673
dd_20717,claude-haiku-4-5,narrative_cot,1,5778,62.05,40,21,1.05,2666,0.785572,3.044522
dd_21165,claude-haiku-4-5,standard_cot,-1,1367,33.0476,21,11,1.0476,770,0.772174,2.397895
dd_21165,claude-haiku-4-5,standard_cot_verbose,-1,1979,35.0909,22,12,1.0909,1077,0.750962,2.484907
dd_21165,claude-haiku-4-5,narrative_cot,1,4946,61.0769,39,21,1.0769,2205,0.797025,2.912494
dd_2288,claude-haiku-4-5,standard_cot,-1,1441,31.0,20,10,1.0,812,0.748223,2.302585
dd_2288,claude-haiku-4-5,baseline_io,0,1278,46.3333,27,18,1.3333,760,0.877382,2.813355
dd_2288,claude-haiku-4-5,narrative_cot,1,6487,57.3939,33,23,1.3939,3094,0.7638,2.8944
dd_2288,claude-haiku-4-5,standard_cot_verbose,-1,2001,38.0833,24,13,1.0833,1110,0.770588,2.458311
dd_23322,claude-haiku-4-5,baseline_io,0,1402,28.1765,17,10,1.1765,783,0.729782,2.025326
dd_23322,claude-haiku-4-5,standard_cot,-1,1460,30.0526,19,10,1.0526,803,0.740184,2.302585
dd_23530,claude-haiku-4-5,baseline_io,0,1376,29.1111,18,10,1.1111,756,0.739151,1.973001
dd_23322,claude-haiku-4-5,standard_cot_verbose,-1,2272,46.2143,28,17,1.2143,1160,0.80965,2.588573
dd_23530,claude-haiku-4-5,narrative_cot,1,7233,45.8261,23,21,1.8261,3116,0.705459,2.202521
dd_23530,claude-haiku-4-5,standard_cot,-1,1442,26.125,16,9,1.125,782,0.706002,1.83102
dd_23322,claude-haiku-4-5,narrative_cot,1,6611,72.1556,45,26,1.1556,2930,0.809909,2.844614
dd_23530,claude-haiku-4-5,standard_cot_verbose,-1,2198,29.1111,18,10,1.1111,1150,0.694192,1.973001
dd_23534,claude-haiku-4-5,baseline_io,0,1313,43.1111,27,15,1.1111,736,0.850151,2.615631
dd_23574,claude-haiku-4-5,baseline_io,0,1330,32.1,20,11,1.1,751,0.76865,2.397895
dd_23534,claude-haiku-4-5,standard_cot_verbose,-1,2842,42.037,27,14,1.037,1485,0.759531,2.639057
dd_23534,claude-haiku-4-5,standard_cot,-1,1448,55.0,36,18,1.0,856,0.900631,2.890372
dd_23534,claude-haiku-4-5,narrative_cot,1,6080,53.0588,34,18,1.0588,2732,0.745994,2.736339
dd_23574,claude-haiku-4-5,narrative_cot,1,5209,54.3125,32,21,1.3125,2355,0.769723,2.532591
dd_24304,claude-haiku-4-5,standard_cot,-1,1533,33.2,20,12,1.2,843,0.764688,1.935601
dd_23574,claude-haiku-4-5,standard_cot_verbose,-1,2408,38.0833,24,13,1.0833,1271,0.752274,2.351673
dd_23574,claude-haiku-4-5,standard_cot,-1,1535,30.0526,19,10,1.0526,836,0.735133,2.302585
dd_24304,claude-haiku-4-5,narrative_cot,1,5809,40.25,24,15,1.25,2611,0.691269,2.211069
dd_24304,claude-haiku-4-5,baseline_io,0,1312,42.28,25,16,1.28,736,0.848364,2.269639
dd_24405,claude-haiku-4-5,baseline_io,0,936,19.2727,11,7,1.2727,543,0.667041,1.153742
dd_24304,claude-haiku-4-5,standard_cot_verbose,-1,3138,38.2174,23,14,1.2174,1549,0.731042,2.044931
dd_24405,claude-haiku-4-5,standard_cot,-1,1329,29.1111,18,10,1.1111,753,0.74272,1.973001
dd_24405,claude-haiku-4-5,standard_cot_verbose,-1,1880,46.1034,29,16,1.1034,999,0.826893,2.566599
dd_24405,claude-haiku-4-5,narrative_cot,1,4639,44.3077,26,17,1.3077,2186,0.732749,2.119281
dd_24408,claude-haiku-4-5,baseline_io,0,1255,50.2667,30,19,1.2667,740,0.901065,2.698011
dd_24408,claude-haiku-4-5,standard_cot_verbose,-1,2379,40.25,24,15,1.25,1246,0.770621,2.153532
dd_24408,claude-haiku-4-5,narrative_cot,1,6376,55.4839,31,23,1.4839,2891,0.758384,1.825026
dd_24541,claude-haiku-4-5,baseline_io,0,1450,27.0588,17,9,1.0588,804,0.713317,2.043192
dd_24541,claude-haiku-4-5,standard_cot,-1,1472,32.1,20,11,1.1,809,0.757969,2.397895
dd_24541,claude-haiku-4-5,narrative_cot,1,5573,55.2727,33,21,1.2727,2480,0.767158,2.664619
dd_24541,claude-haiku-4-5,standard_cot_verbose,-1,2116,39.3043,23,15,1.3043,1120,0.777074,2.303488
dd_24774,claude-haiku-4-5,baseline_io,0,1301,39.1667,24,14,1.1667,713,0.826437,2.540036
dd_24774,claude-haiku-4-5,narrative_cot,1,5241,51.2258,31,19,1.2258,2340,0.754451,2.798513
dd_24774,claude-haiku-4-5,standard_cot,-1,1493,43.0,28,14,1.0,818,0.83119,2.639057
dd_24408,claude-haiku-4-5,standard_cot,-1,1523,47.1724,29,17,1.1724,865,0.858438,2.639341
dd_24774,claude-haiku-4-5,standard_cot_verbose,-1,1985,29.1111,18,10,1.1111,1045,0.703505,1.973001
dd_25109,claude-haiku-4-5,baseline_io,0,1388,31.0,20,10,1.0,810,0.752095,2.302585
dd_25109,claude-haiku-4-5,narrative_cot,1,6291,58.1667,36,21,1.1667,2847,0.766198,2.582424
dd_25448,claude-haiku-4-5,baseline_io,0,1544,39.04,25,13,1.04,850,0.803123,2.564949
dd_25109,claude-haiku-4-5,standard_cot_verbose,-1,2481,43.0,28,14,1.0,1296,0.777215,2.639057
dd_25448,claude-haiku-4-5,standard_cot,-1,1761,40.12,25,14,1.12,944,0.798232,2.540036
dd_25448,claude-haiku-4-5,narrative_cot,1,7934,57.1111,36,20,1.1111,3425,0.74122,2.926418
dd_25448,claude-haiku-4-5,standard_cot_verbose,-1,2150,31.0,20,10,1.0,1148,0.709231,2.302585
dd_25698,claude-haiku-4-5,baseline_io,0,1383,36.0435,23,12,1.0435,785,0.794029,2.369382
dd_25109,claude-haiku-4-5,standard_cot,-1,1482,51.2258,31,19,1.2258,846,0.884912,2.433699
dd_25698,claude-haiku-4-5,narrative_cot,1,5689,46.2143,28,17,1.2143,2504,0.723726,2.359849
dd_25698,claude-haiku-4-5,standard_cot,-1,1434,42.037,27,14,1.037,805,0.83097,2.540036
dd_25698,claude-haiku-4-5,standard_cot_verbose,-1,2420,48.0323,31,16,1.0323,1198,0.808393,2.772589
dd_26556,claude-haiku-4-5,standard_cot,-1,1623,41.0769,26,14,1.0769,871,0.812143,2.540036
dd_27271,claude-haiku-4-5,baseline_io,0,1324,28.1765,17,10,1.1765,755,0.735588,2.302585
dd_26556,claude-haiku-4-5,standard_cot_verbose,-1,2022,40.25,24,15,1.25,1033,0.787073,2.615631
dd_26556,claude-haiku-4-5,narrative_cot,1,7325,77.102,49,27,1.102,3270,0.814033,3.244493
dd_27271,claude-haiku-4-5,standard_cot,-1,1434,25.2,15,9,1.2,840,0.698202,1.83102
dd_26556,claude-haiku-4-5,baseline_io,0,1290,26.125,16,9,1.125,700,0.716973,1.83102
dd_27271,claude-haiku-4-5,narrative_cot,1,6483,55.375,32,22,1.375,2903,0.755603,2.539367
dd_27668,claude-haiku-4-5,baseline_io,0,1092,25.0,16,8,1.0,625,0.718975,2.079442
dd_27668,claude-haiku-4-5,standard_cot,-1,1403,29.1111,18,10,1.1111,771,0.737171,2.302585
dd_27668,claude-haiku-4-5,narrative_cot,1,4258,51.2258,31,19,1.2258,1991,0.7732,2.871476
dd_27668,claude-haiku-4-5,standard_cot_verbose,-1,3159,40.25,24,15,1.25,1533,0.743512,2.02623
dd_27271,claude-haiku-4-5,standard_cot_verbose,-1,2005,40.25,24,15,1.25,1091,0.787946,2.615631
dd_28339,claude-haiku-4-5,baseline_io,0,1263,45.1429,28,16,1.1429,750,0.868171,2.599302
dd_28339,claude-haiku-4-5,standard_cot,-1,1541,33.0476,21,11,1.0476,891,0.75958,2.271869
dd_28339,claude-haiku-4-5,narrative_cot,1,4936,66.25,40,25,1.25,2393,0.819761,2.587976
dd_28341,claude-haiku-4-5,baseline_io,0,1441,31.0,20,10,1.0,829,0.748223,2.302585
dd_28339,claude-haiku-4-5,standard_cot_verbose,-1,2335,43.1111,27,15,1.1111,1266,0.787086,2.70805
dd_28341,claude-haiku-4-5,standard_cot,-1,1479,29.1111,18,10,1.1111,829,0.731847,2.163956
dd_28341,claude-haiku-4-5,narrative_cot,1,6544,49.0,32,16,1.0,2854,0.720395,2.772589
dd_28550,claude-haiku-4-5,baseline_io,0,1486,21.0769,13,7,1.0769,828,0.64597,1.94591
dd_28341,claude-haiku-4-5,standard_cot_verbose,-1,2635,57.1111,36,20,1.1111,1353,0.844919,2.761626
dd_28550,claude-haiku-4-5,narrative_cot,1,7315,48.1333,30,17,1.1333,3032,0.710776,2.445468
dd_29132,claude-haiku-4-5,baseline_io,0,1399,24.2857,14,9,1.2857,815,0.691673,2.043192
dd_28550,claude-haiku-4-5,standard_cot_verbose,-1,2478,41.2,25,15,1.2,1257,0.77162,2.615631
dd_28550,claude-haiku-4-5,standard_cot,-1,1598,46.0,30,15,1.0,860,0.841326,2.70805
dd_29132,claude-haiku-4-5,standard_cot,-1,1558,26.125,16,9,1.125,901,0.698577,2.043192
dd_29184,claude-haiku-4-5,baseline_io,0,1246,25.4286,14,10,1.4286,712,0.716272,2.302585
dd_29132,claude-haiku-4-5,narrative_cot,1,7005,41.3333,24,16,1.3333,3063,0.683503,1.992798
dd_29184,claude-haiku-4-5,standard_cot,-1,1540,29.1111,18,10,1.1111,871,0.72782,2.302585
dd_29132,claude-haiku-4-5,standard_cot_verbose,-1,2751,53.0588,34,18,1.0588,1400,0.820672,2.890372
dd_29184,claude-haiku-4-5,narrative_cot,1,6146,48.0323,31,16,1.0323,2795,0.722049,2.772589
dd_29465,claude-haiku-4-5,baseline_io,0,1276,41.0769,26,14,1.0769,738,0.839438,2.441015
dd_29184,claude-haiku-4-5,standard_cot_verbose,-1,2317,41.0769,26,14,1.0769,1251,0.774849,2.540036
dd_29465,claude-haiku-4-5,standard_cot,-1,1531,37.1304,23,13,1.1304,866,0.793135,2.458311
dd_29978,claude-haiku-4-5,baseline_io,0,1362,35.0909,22,12,1.0909,779,0.789815,2.369382
dd_29465,claude-haiku-4-5,standard_cot_verbose,-1,2211,48.1333,30,17,1.1333,1222,0.821169,2.751667
dd_29465,claude-haiku-4-5,narrative_cot,1,6963,63.1795,39,23,1.1795,3092,0.776055,2.593031
dd_30143,claude-haiku-4-5,baseline_io,0,1198,24.0667,15,8,1.0667,703,0.701036,2.079442
dd_29978,claude-haiku-4-5,standard_cot,-1,1626,28.1765,17,10,1.1765,913,0.715163,2.302585
dd_29978,claude-haiku-4-5,narrative_cot,1,11145,65.2821,39,25,1.2821,4646,0.745477,2.372423
dd_30143,claude-haiku-4-5,standard_cot,-1,1530,34.1429,21,12,1.1429,859,0.771236,2.210254
dd_30143,claude-haiku-4-5,narrative_cot,1,5974,49.3103,29,19,1.3103,2706,0.735673,1.89542
dd_29978,claude-haiku-4-5,standard_cot_verbose,-1,2316,56.2353,34,21,1.2353,1238,0.857817,2.504378
dd_30340,claude-haiku-4-5,baseline_io,0,1211,22.2308,13,8,1.2308,702,0.681164,1.732868
dd_30143,claude-haiku-4-5,standard_cot_verbose,-1,2323,37.1304,23,13,1.1304,1195,0.750494,2.458311
dd_30340,claude-haiku-4-5,narrative_cot,1,5417,46.0,30,15,1.0,2408,0.721906,2.70805
dd_30340,claude-haiku-4-5,standard_cot,-1,1260,40.12,25,14,1.12,739,0.835635,2.441015
dd_30340,claude-haiku-4-5,standard_cot_verbose,-1,2378,43.1111,27,15,1.1111,1197,0.785239,2.615631
dd_30352,claude-haiku-4-5,baseline_io,0,1392,47.68,25,21,1.68,785,0.877048,2.780466
dd_30352,claude-haiku-4-5,narrative_cot,1,7716,54.4194,31,22,1.4194,3420,0.73747,2.449424
dd_30352,claude-haiku-4-5,standard_cot_verbose,-1,2834,51.3333,30,20,1.3333,1491,0.814928,2.415052
dd_30352,claude-haiku-4-5,standard_cot,-1,1559,34.3,20,13,1.3,862,0.773019,2.458311
dd_32489,claude-haiku-4-5,baseline_io,0,1312,28.0,18,9,1.0,731,0.730776,2.197225
dd_32489,claude-haiku-4-5,narrative_cot,1,5413,47.2857,28,18,1.2857,2469,0.734201,2.399204
dd_32489,claude-haiku-4-5,standard_cot,-1,1500,36.1818,22,13,1.1818,814,0.789533,2.458311
dd_32489,claude-haiku-4-5,standard_cot_verbose,-1,2327,27.25,16,10,1.25,1216,0.674741,2.302585
dd_33126,claude-haiku-4-5,standard_cot,-1,1421,31.0,20,10,1.0,821,0.749663,2.302585
dd_33126,claude-haiku-4-5,baseline_io,0,1255,37.0,24,12,1.0,725,0.810549,2.484907
dd_33126,claude-haiku-4-5,narrative_cot,1,4858,59.2222,36,22,1.2222,2366,0.794763,2.626165
dd_33126,claude-haiku-4-5,standard_cot_verbose,-1,1903,36.0435,23,12,1.0435,1057,0.76049,2.369382
dd_33409,claude-haiku-4-5,baseline_io,0,1418,48.2414,29,18,1.2414,792,0.874331,2.813355
dd_33470,claude-haiku-4-5,baseline_io,0,1238,36.1818,22,13,1.1818,728,0.810798,2.564949
dd_33409,claude-haiku-4-5,standard_cot,-1,1503,49.3103,29,19,1.3103,833,0.874389,2.506662
