dataset,list_qtype,model,condition,item_id,gold,predicted,exact_match,precision,recall,f1,prompt_tokens,completion_tokens
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_202-1-1_answerability_list,Arielle|Eric|Hailey,,0,0.0,0.0,0.0,1070,81
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_216-0-1_answerability_list,Aurora|Skylar,,0,0.0,0.0,0.0,673,291
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-0-1_answerability_list,Aurora|Skylar,,0,0.0,0.0,0.0,1040,246
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_216-2-1_answerability_list,Aurora|Skylar,,0,0.0,0.0,0.0,1239,55
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_27-0-0_answerability_list,Angelo|Josie|Kinley,,0,0.0,0.0,0.0,875,231
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_27-0-0_answerability_list,Angelo|Josie|Kinley,,0,0.0,0.0,0.0,1242,386
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_202-1-1_answerability_list,Arielle|Eric|Hailey,Arielle|Bryant|Hailey,0,0.6667,0.6667,0.6667,1073,327
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_167-0-1_answerability_list,Damon|Makayla|Megan,,0,0.0,0.0,0.0,695,74
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_216-2-1_answerability_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,1242,236
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_167-0-1_answerability_list,Damon|Makayla|Megan,,0,0.0,0.0,0.0,698,226
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_22-1-2_answerability_list,Curtis|Kayden|Madison,,0,0.0,0.0,0.0,1140,70
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-1_answerability_list,Aurora|Skylar,,0,0.0,0.0,0.0,1609,345
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_202-1-1_answerability_list,Arielle|Eric|Hailey,,0,0.0,0.0,0.0,1440,438
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_179-0-2_answerability_list,Allyson|Dallas,,0,0.0,0.0,0.0,899,56
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_71-1-1_answerability_list,Amari|Ariana|Declan,Amari|Ariana|Declan|Enrique,0,0.75,1.0,0.8571,1485,1757
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_128-0-0_answerability_list,Blake|Katelyn,,0,0.0,0.0,0.0,688,63
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_179-0-2_answerability_list,Allyson|Dallas,,0,0.0,0.0,0.0,902,212
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_179-0-2_answerability_list,Allyson|Dallas,,0,0.0,0.0,0.0,1269,169
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_22-1-2_answerability_list,Curtis|Kayden|Madison,,0,0.0,0.0,0.0,1510,228
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_167-0-1_answerability_list,Damon|Makayla|Megan,Damon|Makayla|Megan,1,1.0,1.0,1.0,1065,408
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_128-0-0_answerability_list,Blake|Katelyn,,0,0.0,0.0,0.0,691,122
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_10-0-1_answerability_list,Bethany|Lyric,,0,0.0,0.0,0.0,665,87
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_128-0-0_answerability_list,Blake|Katelyn,,0,0.0,0.0,0.0,1058,190
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_24-0-1_answerability_list,Cierra|Damian|Jesus,,0,0.0,0.0,0.0,958,55
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_10-1-0_answerability_list,Bethany|Lyric|Sophia,Bethany|Lyric|Sophia,1,1.0,1.0,1.0,922,306
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_22-1-2_answerability_list,Curtis|Kayden|Madison,,0,0.0,0.0,0.0,1143,868
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_24-0-1_answerability_list,Cierra|Damian|Jesus,Damian|Jesus,0,1.0,0.6667,0.8,961,244
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_10-1-0_answerability_list,Bethany|Lyric|Sophia,Bethany|Lyric|Sophia,1,1.0,1.0,1.0,925,497
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_10-1-0_answerability_list,Bethany|Lyric|Sophia,,0,0.0,0.0,0.0,1292,397
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_24-0-1_answerability_list,Cierra|Damian|Jesus,,0,0.0,0.0,0.0,1328,183
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_64-1-0_answerability_list,Brock|Morgan|Walter,,0,0.0,0.0,0.0,987,66
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_29-0-2_info_accessibility_list,Alejandra|Jayda|Jayson,Alejandra|Jayda|Jayson,1,1.0,1.0,1.0,539,94
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_192-0-2_info_accessibility_list,Elliott|Evelyn|Maggie,Elliott|Evelyn|Maggie,1,1.0,1.0,1.0,457,230
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_64-1-0_answerability_list,Brock|Morgan|Walter,,0,0.0,0.0,0.0,1357,266
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_10-0-1_answerability_list,Bethany|Lyric,Bethany|Lyric|Sophia,0,0.6667,1.0,0.8,668,742
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_8-1-0_info_accessibility_list,Curtis|Mia|Orlando,Curtis|Dominick|Mia|Orlando,0,0.75,1.0,0.8571,1126,62
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_29-0-2_info_accessibility_list,Alejandra|Jayda|Jayson,Alejandra|Jayda|Jayson,1,1.0,1.0,1.0,542,120
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_192-0-2_info_accessibility_list,Elliott|Evelyn|Maggie,Elliott|Evelyn|Maggie,1,1.0,1.0,1.0,827,325
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_29-0-2_info_accessibility_list,Alejandra|Jayda|Jayson,Alejandra|Jayda|Jayson,1,1.0,1.0,1.0,909,256
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_8-1-0_info_accessibility_list,Curtis|Mia|Orlando,Curtis|Dominick|Mia|Orlando,0,0.75,1.0,0.8571,1129,153
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_192-0-2_info_accessibility_list,Elliott|Evelyn|Maggie,Elliott|Evelyn|Maggie,1,1.0,1.0,1.0,460,360
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_64-1-0_answerability_list,Brock|Morgan|Walter,Brock|Morgan|Walter,1,1.0,1.0,1.0,990,486
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_82-0-1_info_accessibility_list,Aaliyah|Amy,Aaliyah|Amy|Kassidy,0,0.6667,1.0,0.8,808,66
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_216-2-2_info_accessibility_list,Aurora|Camryn|Megan|Skylar,Aurora|Skylar,0,1.0,0.5,0.6667,1234,148
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_82-0-1_info_accessibility_list,Aaliyah|Amy,Aaliyah|Amy|Kassidy,0,0.6667,1.0,0.8,811,108
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-1-0_info_accessibility_list,Curtis|Mia|Orlando,Curtis|Dominick|Mia|Orlando,0,0.75,1.0,0.8571,1496,147
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_66-0-0_info_accessibility_list,Clara|Judah,Clara|Henry|Judah,0,0.6667,1.0,0.8,769,40
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_10-0-1_answerability_list,Bethany|Lyric,Bethany|Lyric,1,1.0,1.0,1.0,1035,1140
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_71-1-1_info_accessibility_list,Amari|Ariana|Declan,Amari|Ariana|Declan|Enrique,0,0.75,1.0,0.8571,1110,141
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_71-1-1_info_accessibility_list,Amari|Ariana|Declan,Amari|Ariana|Declan|Enrique,0,0.75,1.0,0.8571,1480,243
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_82-0-1_info_accessibility_list,Aaliyah|Amy,Aaliyah|Amy|Kassidy,0,0.6667,1.0,0.8,1178,325
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_66-0-0_info_accessibility_list,Clara|Judah,Clara|Henry|Judah,0,0.6667,1.0,0.8,772,207
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-2_info_accessibility_list,Aurora|Camryn|Megan|Skylar,Aurora|Skylar,0,1.0,0.5,0.6667,1604,495
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_37-0-2_info_accessibility_list,Jude|Nyla,Jude|Nyla|Victor,0,0.6667,1.0,0.8,551,170
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_66-0-0_info_accessibility_list,Clara|Judah,Clara|Henry|Judah,0,0.6667,1.0,0.8,1139,189
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_71-1-1_info_accessibility_list,Amari|Ariana|Declan,Amari|Ariana|Declan,1,1.0,1.0,1.0,1113,478
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_27-0-0_info_accessibility_list,Angelo|Josie|Kinley,Angelo|Josie|Kinley,1,1.0,1.0,1.0,867,48
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_216-2-2_info_accessibility_list,Aurora|Camryn|Megan|Skylar,Aurora|Skylar,0,1.0,0.5,0.6667,1237,910
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_216-0-1_info_accessibility_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,665,128
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_27-0-0_info_accessibility_list,Angelo|Josie|Kinley,Angelo|Josie|Kinley,1,1.0,1.0,1.0,870,119
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_202-1-1_info_accessibility_list,Arielle|Eric|Hailey,Arielle|Bryant|Hailey,0,0.6667,0.6667,0.6667,1065,84
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_27-0-0_info_accessibility_list,Angelo|Josie|Kinley,Angelo|Josie|Kinley,1,1.0,1.0,1.0,1237,95
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_37-0-2_info_accessibility_list,Jude|Nyla,Jude|Nyla|Victor,0,0.6667,1.0,0.8,554,410
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-0-1_info_accessibility_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,1035,415
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_216-0-1_info_accessibility_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,668,447
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_202-1-1_info_accessibility_list,Arielle|Eric|Hailey,Arielle|Bryant|Hailey,0,0.6667,0.6667,0.6667,1068,299
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_216-2-1_info_accessibility_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,1234,151
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_167-0-1_info_accessibility_list,Damon|Makayla|Megan,Damon|Makayla|Megan,1,1.0,1.0,1.0,690,66
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_216-2-1_info_accessibility_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,1237,216
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_37-0-2_info_accessibility_list,Jude|Nyla,Jude|Nyla|Victor,0,0.6667,1.0,0.8,921,647
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_22-1-2_info_accessibility_list,Curtis|Kayden|Madison,Colin|Curtis|Kayden|Madison,0,0.75,1.0,0.8571,1135,67
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_202-1-1_info_accessibility_list,Arielle|Eric|Hailey,Arielle|Bryant|Hailey,0,0.6667,0.6667,0.6667,1435,329
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_167-0-1_info_accessibility_list,Damon|Makayla|Megan,Damon|Makayla|Megan,1,1.0,1.0,1.0,693,197
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_22-1-2_info_accessibility_list,Curtis|Kayden|Madison,Colin|Curtis|Kayden|Madison,0,0.75,1.0,0.8571,1138,119
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_179-0-2_info_accessibility_list,Allyson|Dallas,Allyson|Dallas|Kyleigh,0,0.6667,1.0,0.8,894,72
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_128-0-0_info_accessibility_list,Blake|Katelyn,Blake|Katelyn|Zion,0,0.6667,1.0,0.8,683,64
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_167-0-1_info_accessibility_list,Damon|Makayla|Megan,Damon|Makayla|Megan,1,1.0,1.0,1.0,1060,237
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_179-0-2_info_accessibility_list,Allyson|Dallas,Allyson|Dallas|Kyleigh,0,0.6667,1.0,0.8,1264,116
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_179-0-2_info_accessibility_list,Allyson|Dallas,Allyson|Dallas|Kyleigh,0,0.6667,1.0,0.8,897,184
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_10-1-0_info_accessibility_list,Bethany|Lyric|Sophia,Amber|Bethany|Lyric|Sophia,0,0.75,1.0,0.8571,917,77
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_22-1-2_info_accessibility_list,Curtis|Kayden|Madison,Colin|Curtis|Kayden|Madison,0,0.75,1.0,0.8571,1505,228
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_216-2-1_info_accessibility_list,Aurora|Skylar,Aurora|Skylar,1,1.0,1.0,1.0,1604,574
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_128-0-0_info_accessibility_list,Blake|Katelyn,Blake|Katelyn|Zion,0,0.6667,1.0,0.8,686,187
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_128-0-0_info_accessibility_list,Blake|Katelyn,Blake|Katelyn|Zion,0,0.6667,1.0,0.8,1053,130
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_10-1-0_info_accessibility_list,Bethany|Lyric|Sophia,Amber|Bethany|Lyric|Sophia,0,0.75,1.0,0.8571,920,235
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_24-0-1_info_accessibility_list,Cierra|Damian|Jesus,Cierra|Damian|Jesus|Lindsay,0,0.75,1.0,0.8571,953,97
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_64-1-0_info_accessibility_list,Brock|Morgan|Walter,Brock|Jennifer|Morgan|Walter,0,0.75,1.0,0.8571,982,68
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_24-0-1_info_accessibility_list,Cierra|Damian|Jesus,Damian|Jesus,0,1.0,0.6667,0.8,956,243
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_10-0-1_info_accessibility_list,Bethany|Lyric,Bethany|Lyric,1,1.0,1.0,1.0,660,265
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_10-1-0_info_accessibility_list,Bethany|Lyric|Sophia,Amber|Bethany|Lyric|Sophia,0,0.75,1.0,0.8571,1287,304
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_10-0-1_info_accessibility_list,Bethany|Lyric,Bethany|Lyric,1,1.0,1.0,1.0,663,250
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_64-1-0_info_accessibility_list,Brock|Morgan|Walter,Brock|Jennifer|Morgan|Walter,0,0.75,1.0,0.8571,985,124
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_24-0-1_info_accessibility_list,Cierra|Damian|Jesus,Damian|Jesus|Lindsay,0,0.6667,0.6667,0.6667,1323,249
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_10-0-1_info_accessibility_list,Bethany|Lyric,Bethany|Lyric|Sophia,0,0.6667,1.0,0.8,1030,372
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_64-1-0_info_accessibility_list,Brock|Morgan|Walter,Brock|Jennifer|Morgan|Walter,0,0.75,1.0,0.8571,1352,291
