model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated,protocol,agent_scaffold,n_agents,moderator_model,synthesis_verdict,synthesis_len,verdict_revised,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_writer_advocate,vote_counterparty,vote_neutral_adjudicator,mean_agent_sections,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls
claude-haiku-4-5,deliberation_ncot,third_person,4oS4VNOp3uT9c9O1wBW0xUqNT9cRv6dV,0,YTA,52,0.9231,scruples,YTA,0,1,0,1172,77b45ece076ab30c158867a7847ed975222b9681b2bb323f0d6a0ecbdb716022,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1030,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,1,0,2,0,,NOVERDICT,ACCEPT,NOVERDICT,5.0,17,39533,10877,0,0
claude-haiku-4-5,deliberation_ncot,third_person,4xHrrnrdLbuzYj3WYWuCsbEKbhSebLtQ,0,YTA,1019,0.9117,scruples,YTA,0,1,0,1041,86de33da12fb9b55a732368bf44b374ed036f58af2f58a66bc6b27673b0445bd,,,1,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1233,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,3.667,17,50387,13918,0,0
claude-haiku-4-5,deliberation_ncot,third_person,5LduKCIHclwrVTo3Wf4mM69FpY4I6V08,0,YTA,117,0.9744,scruples,YTA,0,1,0,778,4af697ac73510738d3961c3d9450b784cd5af1f3cbc4a027f68c1ea761da6d45,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1141,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,42715,11659,0,0
claude-haiku-4-5,deliberation_ncot,third_person,54QBph3dcsPxoxHazHvrDehomy5g7OW7,0,YTA,968,0.9349,scruples,YTA,0,1,0,999,6578429474b28d7c6558bd6e1466c9a4345970b8021292c899dc5d77b41b8a8c,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1384,0,ACCEPT|NOVERDICT|ACCEPT,2,0,0,1,0,0,0,counterparty,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,44809,11248,0,0
claude-haiku-4-5,deliberation_ncot,third_person,5oLftSd1P6fHfJUBeACwP9MWjxqtBX8Y,0,YTA,54,0.9259,scruples,YTA,0,1,0,1039,11326f1429f839832da2a3a1fb3b7e736bbe4dd61b16834443e1a82e97d01bd5,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1488,0,NOVERDICT|ACCEPT|ACCEPT,2,0,0,1,0,0,0,,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,2.0,17,57311,16378,0,0
claude-haiku-4-5,deliberation_ncot,third_person,5tUyTrfg9FehBDbP6OvIc6WUqUnfWOBD,0,YTA,265,0.9509,scruples,YTA,0,1,0,994,9d5f640ac663a1f7fa038ecbaee37a534723630137382c5bff7f0f14d1a42ad2,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1290,0,ACCEPT|ACCEPT|NOVERDICT,2,0,0,1,0,0,0,,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,44223,12669,0,0
claude-haiku-4-5,deliberation_ncot,third_person,8la6xEK2LWdJrpnp7w2dMqjY7E04XSgl,0,YTA,543,0.9632,scruples,YTA,0,1,0,1194,bd1d72767e514e7dcdbd765971093e24adad8b01558be7473ba9d362a9959f36,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1203,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,45610,12276,0,0
claude-haiku-4-5,deliberation_ncot,third_person,6016mnV6uhdymJyK24PKbEZR5093e4hT,0,YTA,70,0.9,scruples,YTA,0,1,0,1179,bae7a968585ad99d288e54338b5490e2fc4817ebafcb4d36bddcdeaf5373607b,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1294,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,2.0,17,45493,13074,0,0
claude-haiku-4-5,deliberation_ncot,third_person,65X1IysPHzSZiy1UKAt4tAmxhnIaJtCT,0,YTA,50,0.94,scruples,NTA,0,0,1,1020,68954f25013c7dd295281b339d9c54bea44435c4d1c22f92f5571a45ca969b3f,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,1321,0,ACCEPT|ACCEPT|NOVERDICT,2,0,0,1,0,0,0,writer_advocate|counterparty,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,3.333,17,51359,13137,0,0
claude-haiku-4-5,deliberation_ncot,third_person,993xb3Y3qrGH3PDpD57nX1CX09nHnPDs,0,YTA,68,0.9118,scruples,NTA,0,0,1,1165,2a4131e323d90c7854b397d2d7e2fd5d5891a1c3a99a3983e5accff688aed8e6,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,1492,0,NOVERDICT|NOVERDICT|REJECT,0,0,1,2,1,1,1,neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,44609,14094,0,0
claude-haiku-4-5,deliberation_ncot,third_person,8pEVAec46HRymdNVxcfWnsT9yoXoVjyL,0,YTA,2208,0.9511,scruples,YTA,0,1,0,1510,1bc1ca62efd79f21696faf6716c795f29602c6f0c4cb8c443601e60dcff9aa90,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1736,0,NOVERDICT|ACCEPT|ACCEPT_WITH_MODIFICATION,1,1,0,1,1,1,1,neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,48228,13717,0,0
claude-haiku-4-5,deliberation_ncot,third_person,84BfWnB9rWav5VlToKR0mi1MaYjY0RmS,0,YTA,116,0.9224,scruples,YTA,0,1,0,1163,384a5a95765016914c394ef784f6f8f8b865ff7e0183b8994fbd4bc5a6be9ca0,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,985,0,ACCEPT|ACCEPT|NOVERDICT,2,0,0,1,0,0,0,writer_advocate|counterparty,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,49376,13798,0,0
claude-haiku-4-5,deliberation_ncot,third_person,8ZF4h4DjLn13WMOXkFMKbLvifCXaf8Ia,0,YTA,486,0.928,scruples,YTA,0,1,0,1238,ecabbcc7340175391ce1a380aca49a2748a653c3b7d553f8f6a0644387290935,,,1,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,979,0,ACCEPT|ACCEPT|NOVERDICT,2,0,0,1,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,3.667,17,47388,14512,0,0
claude-haiku-4-5,deliberation_ncot,third_person,7iMIsYuUEvH1jB0pVCTZdxRdaT9SGiTs,0,YTA,273,0.9634,scruples,YTA,0,1,0,1300,0a76992ca817ff1b8b66cd7a408f845a9e0b42e8797824e5ca016ba352563d46,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1439,0,ACCEPT|NOVERDICT|NOVERDICT,1,0,0,2,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,1,0,2,0,,ACCEPT,NOVERDICT,NOVERDICT,5.0,17,49212,14683,0,0
claude-haiku-4-5,deliberation_ncot,third_person,D3lPZSG7upBfsdDkQxc2XHHrjkaf4aun,0,YTA,131,0.916,scruples,YTA,0,1,0,1225,63cee83554ecbc56a8f792bcb7a4ba10a410466bc4dc446e43cd0c879bf61782,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1058,0,ACCEPT|NOVERDICT|NOVERDICT,1,0,0,2,0,0,0,writer_advocate,1,0,1,0,2,0,,ACCEPT,NOVERDICT,NOVERDICT,5.0,17,44700,13072,0,0
claude-haiku-4-5,deliberation_ncot,third_person,EO0BHi5fpPNHfuIIqmEF4G0d4GwEBYOy,0,YTA,50,0.96,scruples,YTA,0,1,0,1236,9cccc24682bb910426143f930baf3362d7c0aa4eed0793f0f2bab5a60590c173,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1317,0,ACCEPT|NOVERDICT|NOVERDICT,1,0,0,2,0,0,0,,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,39903,12950,0,0
claude-haiku-4-5,deliberation_ncot,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,58,1.0,scruples,YTA,0,1,0,1286,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1224,0,ACCEPT|NOVERDICT|NOVERDICT,1,0,0,2,0,0,0,,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,52834,15446,0,0
claude-haiku-4-5,deliberation_ncot,third_person,E2ZWGilcffORq92gQTOYcSKDDsHQ5RaP,0,YTA,105,0.9714,scruples,YTA,0,1,0,1297,4d0be3135dae9209a69c5dbabbc46c6a4364577e6a9f3901f649322d2c4fbbaa,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1358,0,REJECT|ACCEPT|ACCEPT,2,0,1,0,1,1,1,writer_advocate|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,49042,14004,0,0
claude-haiku-4-5,deliberation_ncot,third_person,BlgMT4VEKfuychLnH64yqmJCaQldSfsx,0,YTA,288,0.9757,scruples,YTA,0,1,0,1557,74135d0e31b9656946e88a0c37cd6776f216ea936ba6f98cb0f92e58289dd8dc,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1220,0,ACCEPT|ACCEPT|ACCEPT_WITH_MODIFICATION,2,1,0,0,1,1,1,neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,3.333,17,54837,15826,0,0
claude-haiku-4-5,deliberation_ncot,third_person,GHeGh93JLtOcysz21TxQDa23ebrzQEY1,0,YTA,233,0.9313,scruples,YTA,0,1,0,1059,19303c7c940643390f0ea1271dc7117560ef722f7b49fe7ce1590919ce88a253,,,3,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1276,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,4.333,17,52652,13622,0,0
claude-haiku-4-5,deliberation_ncot,third_person,GFF094lBskUxshaqAauI5FzzafYW73VC,0,YTA,70,0.9,scruples,YTA,0,1,0,1877,ab5d1aa8b5bb78ea2a604fa8ad9bae14d5695b0a5f7ea2dad51beac5dfadb787,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1452,0,ACCEPT_WITH_MODIFICATION|NOVERDICT|ACCEPT,1,1,0,1,1,1,1,writer_advocate,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,3.333,17,49389,14618,0,0
claude-haiku-4-5,deliberation_ncot,third_person,FIJUfgOh00T24QPaDRILw1obqHuMa8cb,0,YTA,54,0.9444,scruples,YTA,0,1,0,1440,b8dcdfdd659874bb2534dc1507560d09825c4866adc11fc9c12d3dee174a3cf3,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1361,0,NOVERDICT|ACCEPT|NOVERDICT,1,0,0,2,0,0,0,,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,62047,16980,0,0
claude-haiku-4-5,deliberation_ncot,third_person,I2ffaaso1ilcFQWUodBpu5dy7vubMFrw,0,YTA,92,0.9239,scruples,YTA,0,1,0,941,8ef3ea15860a7524a7b8484b981472054cde00dae7da8eb70bebf2ce20bce2e7,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1468,0,ACCEPT|ACCEPT|ACCEPT_WITH_MODIFICATION,2,1,0,0,1,1,1,writer_advocate|counterparty|neutral_adjudicator,1,0,1,0,2,0,,NOVERDICT,ACCEPT,NOVERDICT,3.333,17,38384,12033,0,0
claude-haiku-4-5,deliberation_ncot,third_person,HwC1TLrHo3CiQmNnN5A5frZdGrJEdhia,0,YTA,78,0.9615,scruples,YTA,0,1,0,1061,c72d044f42bcedc63b2c4590c06069da1df3113008d4c61d49b81c666823e348,,,1,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1583,0,NOVERDICT|ACCEPT|NOVERDICT,1,0,0,2,0,0,0,counterparty,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,3.667,17,41855,12211,0,0
claude-haiku-4-5,deliberation_ncot,third_person,0QhNF8tvIJOj1UEwwofC3B67eLqta8Xj,0,NTA,65,0.9231,scruples,UNRESOLVED,1,0,0,1440,33baa4eca025cc48c8e5cea9fb33ff1ace47ed1a3c5d0ca3e9468231edf42ec9,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,2053,1,ACCEPT|ACCEPT|ACCEPT_WITH_MODIFICATION,2,1,0,0,1,1,1,writer_advocate|counterparty|neutral_adjudicator,1,0,0,2,1,0,writer_advocate|counterparty,REJECT,REJECT,NOVERDICT,3.333,17,47465,13932,0,0
claude-haiku-4-5,deliberation_ncot,third_person,0R2Vnvyo8jR1AiYjzvvriatmITGoP4rB,0,NTA,128,0.9297,scruples,ESH,0,1,0,1291,b7835249925162f16001ce701bbd7dde517c393aca03bf8d4a70a4209253668e,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,YTA,1164,1,ACCEPT_WITH_MODIFICATION|NOVERDICT|ACCEPT_WITH_MODIFICATION,0,2,0,1,2,2,2,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,43968,13821,0,0
claude-haiku-4-5,deliberation_ncot,third_person,0oBnjnnzOVm56vjgmS1ii7yDRAlWUbsd,0,NTA,57,0.9649,scruples,NTA,0,0,1,909,60865c561ab82e173ed5fdc58f07d6c262bb05618ec35eca553462b7e1cbd1d4,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,1282,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,43076,11725,0,0
claude-haiku-4-5,deliberation_ncot,third_person,0ujpmFZgjSwppevaKuHuvpdwdYun35YG,0,NTA,55,0.9091,scruples,NTA,0,0,1,1176,66420e0a6d65e6eb9242ea381b8410b95ecfaf843306deae53f65ba882b74096,,,0,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,1308,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,2.0,17,52098,13252,0,0
claude-haiku-4-5,deliberation_ncot,third_person,1fqO43KdQH8wJXSwDxiPbh43dbXtlfg1,0,NTA,53,0.9245,scruples,NTA,0,0,1,844,12477e164c07172a592156de906f661ee1417b4fc4ef5e1f80dac42ca9bac8b2,,,2,0,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,1090,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,4.0,17,37063,10100,0,0
claude-haiku-4-5,deliberation_ncot,third_person,266TVkkMYkZjjPJyQh5GnIT5BGNspUol,0,NTA,961,0.9594,scruples,NTA,0,0,1,1503,d0b1e82e040c73ffe39d2cfd30fd3fb79299ef34e91f94a0fd3885abd6fd48e6,,,5,1,end_turn,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,3,claude-haiku-4-5,NTA,1774,0,ACCEPT|ACCEPT|ACCEPT_WITH_MODIFICATION,2,1,0,0,1,1,1,writer_advocate|counterparty|neutral_adjudicator,1,0,0,0,3,0,,NOVERDICT,NOVERDICT,NOVERDICT,5.0,17,59665,14984,0,0
