gen_model,scenario_id,topic_group,axis,value,JSD_vs_origNCoT,JSD_vs_stdCoT
gpt-5.4-nano,dd_33470,business_organization,agency_level,medium,0.048102829012219295,0.04873995515180663
gpt-5.4-nano,dd_33470,business_organization,agency_level,low,0.03239626328661054,0.01609784360090227
gpt-5.4-nano,dd_33470,business_organization,temporal_position,present,0.02744088636136774,0.04779529063699669
gpt-5.4-nano,dd_33470,business_organization,temporal_position,future_or_offscreen,0.03239626328661054,0.01609784360090227
gpt-5.4-nano,dd_20184,business_organization,decision_role,primary_affected,0.005053264547189897,0.1551189094389635
gpt-5.4-nano,dd_20184,business_organization,decision_role,third_party,0.041062334840107566,0.038554183628227885
gpt-5.4-nano,dd_20184,business_organization,agency_level,low,0.009723228516868685,0.07265393941793806
gpt-5.4-nano,dd_20184,business_organization,temporal_position,present,0.005053264547189897,0.1551189094389635
gpt-5.4-nano,dd_20184,business_organization,temporal_position,future_or_offscreen,0.041062334840107566,0.038554183628227885
gpt-5.4-nano,dd_34930,business_organization,decision_role,decider,0.07548745632796507,0.6167174441529207
gpt-5.4-nano,dd_34930,business_organization,decision_role,primary_affected,0.051899160321315606,0.6099865470109875
gpt-5.4-nano,dd_34930,business_organization,decision_role,third_party,0.051899160321315606,0.6099865470109875
gpt-5.4-nano,dd_34930,business_organization,agency_level,high,0.07548745632796507,0.6167174441529207
gpt-5.4-nano,dd_34930,business_organization,agency_level,medium,0.051899160321315606,0.6099865470109875
gpt-5.4-nano,dd_34930,business_organization,agency_level,low,0.051899160321315606,0.6099865470109875
gpt-5.4-nano,dd_34930,business_organization,temporal_position,present,0.06358231000449831,0.613312631334734
gpt-5.4-nano,dd_34930,business_organization,temporal_position,future_or_offscreen,0.051899160321315606,0.6099865470109875
gpt-5.4-nano,dd_36686,close_relationship,decision_role,decider,0.026828901397858103,0.0
gpt-5.4-nano,dd_36686,close_relationship,decision_role,primary_affected,2.565605245557019e-05,0.025462452938692145
gpt-5.4-nano,dd_36686,close_relationship,decision_role,third_party,0.026828901397858103,0.0
gpt-5.4-nano,dd_36686,close_relationship,agency_level,high,0.026828901397858103,0.0
gpt-5.4-nano,dd_36686,close_relationship,agency_level,medium,2.565605245557019e-05,0.025462452938692145
gpt-5.4-nano,dd_36686,close_relationship,agency_level,low,0.026828901397858103,0.0
gpt-5.4-nano,dd_36686,close_relationship,temporal_position,present,0.003769441762270773,0.01261414031413802
gpt-5.4-nano,dd_36686,close_relationship,temporal_position,future_or_offscreen,0.026828901397858103,0.0
gpt-5.4-nano,dd_27668,close_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_27668,close_relationship,decision_role,primary_affected,0.051899160321315606,0.051899160321315606
gpt-5.4-nano,dd_27668,close_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_27668,close_relationship,agency_level,medium,0.051899160321315606,0.051899160321315606
gpt-5.4-nano,dd_27668,close_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_27668,close_relationship,temporal_position,present,0.051899160321315606,0.051899160321315606
gpt-5.4-nano,dd_13874,close_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_13874,close_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_23534,close_relationship,decision_role,decider,0.33425350896532413,0.7756737089961085
gpt-5.4-nano,dd_23534,close_relationship,decision_role,primary_affected,0.3003957886942609,0.6806711094809406
gpt-5.4-nano,dd_23534,close_relationship,decision_role,third_party,0.2051959373384867,0.6642955586796007
gpt-5.4-nano,dd_23534,close_relationship,agency_level,high,0.33425350896532413,0.7756737089961085
gpt-5.4-nano,dd_23534,close_relationship,agency_level,medium,0.3003957886942609,0.6806711094809406
gpt-5.4-nano,dd_23534,close_relationship,agency_level,low,0.2051959373384867,0.6642955586796007
gpt-5.4-nano,dd_23534,close_relationship,temporal_position,present,0.31521749763733536,0.7253284478500652
gpt-5.4-nano,dd_23534,close_relationship,temporal_position,future_or_offscreen,0.2051959373384867,0.6642955586796007
gpt-5.4-nano,dd_4744,close_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_4744,close_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_14224,close_relationship,decision_role,decider,0.051899160321315606,0.30079206036718076
gpt-5.4-nano,dd_14224,close_relationship,decision_role,primary_affected,0.0,0.49342260576014463
gpt-5.4-nano,dd_14224,close_relationship,decision_role,third_party,0.0,0.49342260576014463
gpt-5.4-nano,dd_14224,close_relationship,agency_level,high,0.051899160321315606,0.30079206036718076
gpt-5.4-nano,dd_14224,close_relationship,agency_level,medium,0.0,0.49342260576014463
gpt-5.4-nano,dd_14224,close_relationship,agency_level,low,0.0,0.49342260576014463
gpt-5.4-nano,dd_14224,close_relationship,temporal_position,present,0.0261278210536709,0.37099275928528586
gpt-5.4-nano,dd_14224,close_relationship,temporal_position,future_or_offscreen,0.0,0.49342260576014463
gpt-5.4-nano,dd_24774,comitted_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_24774,comitted_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_4447,comitted_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_4829,comitted_relationship,decision_role,decider,0.056643130799502436,0.07939139176829679
gpt-5.4-nano,dd_4829,comitted_relationship,decision_role,primary_affected,0.051899160321315606,0.0
gpt-5.4-nano,dd_4829,comitted_relationship,decision_role,third_party,0.005828783956661398,0.026828901397858103
gpt-5.4-nano,dd_4829,comitted_relationship,agency_level,medium,0.056643130799502436,0.07939139176829679
gpt-5.4-nano,dd_4829,comitted_relationship,agency_level,high,0.051899160321315606,0.0
gpt-5.4-nano,dd_4829,comitted_relationship,agency_level,low,0.005828783956661398,0.026828901397858103
gpt-5.4-nano,dd_4829,comitted_relationship,temporal_position,present,0.04270687967825062,0.03957160000461365
gpt-5.4-nano,dd_4829,comitted_relationship,temporal_position,future_or_offscreen,0.005828783956661398,0.026828901397858103
gpt-5.4-nano,dd_20446,comitted_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_20446,comitted_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_34029,comitted_relationship,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_21165,comitted_relationship,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_21165,comitted_relationship,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_21165,comitted_relationship,decision_role,third_party,0.6099865470109875,0.6099865470109875
gpt-5.4-nano,dd_21165,comitted_relationship,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_21165,comitted_relationship,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_21165,comitted_relationship,agency_level,low,0.6099865470109875,0.6099865470109875
gpt-5.4-nano,dd_21165,comitted_relationship,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_21165,comitted_relationship,temporal_position,future_or_offscreen,0.6099865470109875,0.6099865470109875
gpt-5.4-nano,dd_46372,event_daily_life,decision_role,decider,0.026828901397858103,0.026828901397858103
gpt-5.4-nano,dd_46372,event_daily_life,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_46372,event_daily_life,decision_role,third_party,0.14601541382646355,0.14601541382646355
gpt-5.4-nano,dd_46372,event_daily_life,agency_level,high,0.026828901397858103,0.026828901397858103
gpt-5.4-nano,dd_46372,event_daily_life,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_46372,event_daily_life,agency_level,low,0.14601541382646355,0.14601541382646355
gpt-5.4-nano,dd_46372,event_daily_life,temporal_position,present,0.012940620679186192,0.012940620679186192
gpt-5.4-nano,dd_46372,event_daily_life,temporal_position,future_or_offscreen,0.14601541382646355,0.14601541382646355
gpt-5.4-nano,dd_1656,event_daily_life,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_1656,event_daily_life,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_40622,event_daily_life,decision_role,decider,0.006615268773878325,0.051899160321315606
gpt-5.4-nano,dd_40622,event_daily_life,decision_role,primary_affected,0.020876962673103017,0.07939139176829679
gpt-5.4-nano,dd_40622,event_daily_life,decision_role,third_party,0.023561910026253064,0.08383466216721837
gpt-5.4-nano,dd_40622,event_daily_life,agency_level,high,0.006615268773878325,0.051899160321315606
gpt-5.4-nano,dd_40622,event_daily_life,agency_level,medium,0.020876962673103017,0.07939139176829679
gpt-5.4-nano,dd_40622,event_daily_life,agency_level,low,0.023561910026253064,0.08383466216721837
gpt-5.4-nano,dd_40622,event_daily_life,temporal_position,present,0.013088929071530007,0.06550784501721567
gpt-5.4-nano,dd_40622,event_daily_life,temporal_position,future_or_offscreen,0.023561910026253064,0.08383466216721837
gpt-5.4-nano,dd_28339,event_daily_life,decision_role,primary_affected,0.1697195154724232,0.24821085498892317
gpt-5.4-nano,dd_28339,event_daily_life,decision_role,third_party,0.08399949088092891,0.11582573937459997
gpt-5.4-nano,dd_28339,event_daily_life,agency_level,low,0.13694328567978425,0.20111142745965704
gpt-5.4-nano,dd_28339,event_daily_life,temporal_position,present,0.1697195154724232,0.24821085498892317
gpt-5.4-nano,dd_28339,event_daily_life,temporal_position,future_or_offscreen,0.08399949088092891,0.11582573937459997
gpt-5.4-nano,dd_11786,event_daily_life,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_11786,event_daily_life,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_23574,event_daily_life,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_14707,event_special,decision_role,primary_affected,0.08383466216721837,0.08383466216721837
gpt-5.4-nano,dd_14707,event_special,decision_role,decider,0.49342260576014463,0.49342260576014463
gpt-5.4-nano,dd_14707,event_special,decision_role,third_party,0.051899160321315606,0.051899160321315606
gpt-5.4-nano,dd_14707,event_special,agency_level,low,0.06727218384484573,0.06727218384484573
gpt-5.4-nano,dd_14707,event_special,agency_level,high,0.49342260576014463,0.49342260576014463
gpt-5.4-nano,dd_14707,event_special,temporal_position,present,0.2623487763373354,0.2623487763373354
gpt-5.4-nano,dd_14707,event_special,temporal_position,future_or_offscreen,0.051899160321315606,0.051899160321315606
gpt-5.4-nano,dd_8015,event_special,decision_role,decider,0.32151809709816187,0.32151809709816187
gpt-5.4-nano,dd_8015,event_special,decision_role,third_party,0.025462452938692145,0.025462452938692145
gpt-5.4-nano,dd_8015,event_special,agency_level,high,0.32151809709816187,0.32151809709816187
gpt-5.4-nano,dd_8015,event_special,agency_level,low,0.025462452938692145,0.025462452938692145
gpt-5.4-nano,dd_8015,event_special,temporal_position,present,0.32151809709816187,0.32151809709816187
gpt-5.4-nano,dd_8015,event_special,temporal_position,future_or_offscreen,0.025462452938692145,0.025462452938692145
gpt-5.4-nano,dd_43621,event_special,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_43621,event_special,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_43164,event_special,decision_role,decider,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,decision_role,primary_affected,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,decision_role,third_party,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,agency_level,high,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,agency_level,medium,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,agency_level,low,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,temporal_position,present,0.025462452938692145,0.0
gpt-5.4-nano,dd_43164,event_special,temporal_position,future_or_offscreen,0.025462452938692145,0.0
gpt-5.4-nano,dd_38395,event_special,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_38395,event_special,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_0893,event_special,decision_role,decider,0.0,0.05474186854633279
gpt-5.4-nano,dd_0893,event_special,decision_role,primary_affected,0.0,0.05474186854633279
gpt-5.4-nano,dd_0893,event_special,decision_role,third_party,0.16919485510105411,0.10403511070620149
gpt-5.4-nano,dd_0893,event_special,agency_level,high,0.0,0.05474186854633279
gpt-5.4-nano,dd_0893,event_special,agency_level,medium,0.0,0.05474186854633279
gpt-5.4-nano,dd_0893,event_special,agency_level,low,0.16919485510105411,0.10403511070620149
gpt-5.4-nano,dd_0893,event_special,temporal_position,present,0.0,0.05474186854633279
gpt-5.4-nano,dd_0893,event_special,temporal_position,future_or_offscreen,0.16919485510105411,0.10403511070620149
gpt-5.4-nano,dd_1057,family,decision_role,decider,0.0,0.025462452938692145
gpt-5.4-nano,dd_1057,family,decision_role,primary_affected,0.025462452938692145,0.049999999999999996
gpt-5.4-nano,dd_1057,family,decision_role,third_party,0.0,0.025462452938692145
gpt-5.4-nano,dd_1057,family,agency_level,high,0.0,0.025462452938692145
gpt-5.4-nano,dd_1057,family,agency_level,medium,0.025462452938692145,0.049999999999999996
gpt-5.4-nano,dd_1057,family,agency_level,low,0.0,0.025462452938692145
gpt-5.4-nano,dd_1057,family,temporal_position,present,0.012940620679186192,0.03793172645992952
gpt-5.4-nano,dd_1057,family,temporal_position,future_or_offscreen,0.0,0.025462452938692145
gpt-5.4-nano,dd_18656,family,decision_role,decider,0.44270209484342055,0.44270209484342055
gpt-5.4-nano,dd_18656,family,decision_role,third_party,0.6241387535490984,0.6241387535490984
gpt-5.4-nano,dd_18656,family,agency_level,high,0.44270209484342055,0.44270209484342055
gpt-5.4-nano,dd_18656,family,agency_level,low,0.4769471846154459,0.4769471846154459
gpt-5.4-nano,dd_18656,family,agency_level,medium,0.8430007575148194,0.8430007575148194
gpt-5.4-nano,dd_18656,family,temporal_position,present,0.5965446780557061,0.5965446780557061
gpt-5.4-nano,dd_18656,family,temporal_position,future_or_offscreen,0.4769471846154459,0.4769471846154459
gpt-5.4-nano,dd_42086,family,decision_role,decider,0.08383466216721837,0.08383466216721837
gpt-5.4-nano,dd_42086,family,decision_role,primary_affected,0.2728056020191096,0.2728056020191096
gpt-5.4-nano,dd_42086,family,decision_role,third_party,0.0888056394794565,0.0888056394794565
gpt-5.4-nano,dd_42086,family,agency_level,high,0.08383466216721837,0.08383466216721837
gpt-5.4-nano,dd_42086,family,agency_level,medium,0.2728056020191096,0.2728056020191096
gpt-5.4-nano,dd_42086,family,agency_level,low,0.0888056394794565,0.0888056394794565
gpt-5.4-nano,dd_42086,family,temporal_position,present,0.1741363745690181,0.1741363745690181
gpt-5.4-nano,dd_42086,family,temporal_position,future_or_offscreen,0.0888056394794565,0.0888056394794565
gpt-5.4-nano,dd_42521,family,decision_role,decider,0.19884597602203868,0.37707000518459144
gpt-5.4-nano,dd_42521,family,decision_role,primary_affected,0.4822863187404637,0.6787881102649856
gpt-5.4-nano,dd_42521,family,decision_role,third_party,0.299276618721436,0.4769471846154459
gpt-5.4-nano,dd_42521,family,agency_level,medium,0.32554393589973163,0.5127131391269453
gpt-5.4-nano,dd_42521,family,agency_level,low,0.299276618721436,0.4769471846154459
gpt-5.4-nano,dd_42521,family,temporal_position,present,0.32554393589973163,0.5127131391269453
gpt-5.4-nano,dd_42521,family,temporal_position,future_or_offscreen,0.299276618721436,0.4769471846154459
gpt-5.4-nano,dd_19532,family,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_19532,family,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_19532,family,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_19532,family,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_19532,family,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_19532,family,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_19532,family,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_19532,family,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_17455,family,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_17455,family,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_17455,family,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_17455,family,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_17455,family,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_17455,family,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_33126,friend,decision_role,decider,0.0,0.0
gpt-5.4-nano,dd_33126,friend,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_33126,friend,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_33126,friend,agency_level,high,0.0,0.0
gpt-5.4-nano,dd_33126,friend,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_33126,friend,temporal_position,present,0.0,0.0
gpt-5.4-nano,dd_33126,friend,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_16120,friend,decision_role,decider,0.025462452938692145,0.025462452938692145
gpt-5.4-nano,dd_16120,friend,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_16120,friend,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_16120,friend,agency_level,high,0.025462452938692145,0.025462452938692145
gpt-5.4-nano,dd_16120,friend,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_16120,friend,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_16120,friend,temporal_position,present,0.013284450683372617,0.013284450683372617
gpt-5.4-nano,dd_16120,friend,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_11553,friend,decision_role,decider,0.13768094381667265,0.1700374159375367
gpt-5.4-nano,dd_11553,friend,decision_role,primary_affected,0.13245855831646355,0.21082300671531737
gpt-5.4-nano,dd_11553,friend,decision_role,third_party,0.039430949899152835,0.11398575617692255
gpt-5.4-nano,dd_11553,friend,agency_level,high,0.13768094381667265,0.1700374159375367
gpt-5.4-nano,dd_11553,friend,agency_level,medium,0.13245855831646355,0.21082300671531737
gpt-5.4-nano,dd_11553,friend,agency_level,low,0.039430949899152835,0.11398575617692255
gpt-5.4-nano,dd_11553,friend,temporal_position,present,0.11062637968575699,0.1680850658442258
gpt-5.4-nano,dd_11553,friend,temporal_position,future_or_offscreen,0.039430949899152835,0.11398575617692255
gpt-5.4-nano,dd_17792,friend,decision_role,decider,0.0992226753982736,0.7467113028800724
gpt-5.4-nano,dd_17792,friend,decision_role,primary_affected,0.005421846937673561,0.8786311756931664
gpt-5.4-nano,dd_17792,friend,decision_role,third_party,0.005421846937673561,0.8786311756931664
gpt-5.4-nano,dd_17792,friend,agency_level,high,0.0992226753982736,0.7467113028800724
gpt-5.4-nano,dd_17792,friend,agency_level,low,0.005421846937673561,0.8786311756931664
gpt-5.4-nano,dd_17792,friend,temporal_position,present,0.02090175077558956,0.79338343733774
gpt-5.4-nano,dd_17792,friend,temporal_position,future_or_offscreen,0.005421846937673561,0.8786311756931664
gpt-5.4-nano,dd_20431,friend,decision_role,decider,0.05474186854633279,0.05474186854633279
gpt-5.4-nano,dd_20431,friend,decision_role,primary_affected,0.0,0.0
gpt-5.4-nano,dd_20431,friend,decision_role,third_party,0.0,0.0
gpt-5.4-nano,dd_20431,friend,agency_level,high,0.05474186854633279,0.05474186854633279
gpt-5.4-nano,dd_20431,friend,agency_level,medium,0.0,0.0
gpt-5.4-nano,dd_20431,friend,agency_level,low,0.0,0.0
gpt-5.4-nano,dd_20431,friend,temporal_position,present,0.026828901397858103,0.026828901397858103
gpt-5.4-nano,dd_20431,friend,temporal_position,future_or_offscreen,0.0,0.0
gpt-5.4-nano,dd_45919,friend,decision_role,decider,0.028878976032350612,0.13792538097002996
gpt-5.4-nano,dd_45919,friend,decision_role,primary_affected,0.619061103035149,0.8492647594126548
