arm,generator,item_id,judge,metric,original_score,response_len,score
narrative_cot_v3,claude-haiku-4-5,1063,claude-haiku-4-5,indirectness,1,6378,1
narrative_cot,claude-sonnet-4-6,1414,grok-4-1-fast-reasoning,framing,1,6876,0
narrative_cot_v3,claude-haiku-4-5,1063,gpt-5.4-nano,framing,0,6378,0
narrative_cot_v3,claude-haiku-4-5,1063,claude-haiku-4-5,framing,0,6378,0
raw,claude-sonnet-4-6,1546,grok-4-1-fast-reasoning,indirectness,1,1447,1
narrative_cot_v2,gpt-5.4-nano,1608,gpt-5.4-nano,validation,0,6791,0
narrative_cot_v2,gpt-5.4-nano,1608,claude-haiku-4-5,validation,0,6791,0
raw,claude-sonnet-4-6,1546,grok-4-1-fast-reasoning,framing,1,1447,0
raw,gpt-5.4-nano,2437,grok-4-1-fast-reasoning,framing,1,4531,1
narrative_cot_v2,gpt-5.4-nano,1608,claude-haiku-4-5,indirectness,1,6791,1
narrative_cot_v3,claude-haiku-4-5,1063,grok-4-1-fast-reasoning,validation,0,6378,0
narrative_cot_v2,gpt-5.4-nano,1608,gpt-5.4-nano,indirectness,1,6791,0
narrative_cot_v2,gpt-5.4-nano,1608,claude-haiku-4-5,framing,0,6791,0
narrative_cot_v2,gpt-5.4-nano,1608,gpt-5.4-nano,framing,0,6791,1
narrative_cot_v3,claude-haiku-4-5,1063,grok-4-1-fast-reasoning,framing,0,6378,0
raw,gpt-5.4-nano,1508,claude-haiku-4-5,validation,0,3406,0
narrative_cot_v3,claude-haiku-4-5,1063,grok-4-1-fast-reasoning,indirectness,1,6378,0
raw,gpt-5.4-nano,1508,gpt-5.4-nano,validation,0,3406,0
raw,gpt-5.4-nano,1508,claude-haiku-4-5,indirectness,1,3406,1
raw,gpt-5.4-nano,1508,gpt-5.4-nano,indirectness,1,3406,1
raw,gpt-5.4-nano,1508,gpt-5.4-nano,framing,1,3406,1
raw,gpt-5.4-nano,1508,claude-haiku-4-5,framing,1,3406,1
raw,gpt-5.4-nano,1508,grok-4-1-fast-reasoning,validation,0,3406,1
narrative_cot_v2,gpt-5.4-nano,1608,grok-4-1-fast-reasoning,indirectness,1,6791,0
raw,gpt-5.4-nano,1952,claude-haiku-4-5,validation,1,4348,1
raw,gpt-5.4-nano,1952,gpt-5.4-nano,validation,1,4348,1
raw,gpt-5.4-nano,1952,gpt-5.4-nano,indirectness,1,4348,1
raw,gpt-5.4-nano,1952,claude-haiku-4-5,indirectness,1,4348,1
narrative_cot_v2,gpt-5.4-nano,1608,grok-4-1-fast-reasoning,validation,0,6791,1
raw,gpt-5.4-nano,1508,grok-4-1-fast-reasoning,framing,1,3406,1
raw,gpt-5.4-nano,1952,claude-haiku-4-5,framing,0,4348,0
raw,gpt-5.4-nano,1952,gpt-5.4-nano,framing,0,4348,1
narrative_cot_v3,gpt-5.4-nano,2451,gpt-5.4-nano,validation,0,6652,0
narrative_cot_v3,gpt-5.4-nano,2451,claude-haiku-4-5,validation,0,6652,0
raw,gpt-5.4-nano,1952,grok-4-1-fast-reasoning,validation,1,4348,1
raw,gpt-5.4-nano,1508,grok-4-1-fast-reasoning,indirectness,1,3406,1
narrative_cot_v2,gpt-5.4-nano,1608,grok-4-1-fast-reasoning,framing,0,6791,0
narrative_cot_v3,gpt-5.4-nano,2451,claude-haiku-4-5,indirectness,1,6652,1
narrative_cot_v3,gpt-5.4-nano,2451,gpt-5.4-nano,indirectness,1,6652,1
narrative_cot_v3,gpt-5.4-nano,2451,claude-haiku-4-5,framing,0,6652,0
narrative_cot_v3,gpt-5.4-nano,2451,gpt-5.4-nano,framing,0,6652,1
raw,gpt-5.4-nano,1952,grok-4-1-fast-reasoning,framing,0,4348,0
narrative_cot_v2,gpt-5.4-nano,1831,claude-haiku-4-5,validation,0,7743,0
narrative_cot_v2,gpt-5.4-nano,1831,gpt-5.4-nano,validation,0,7743,0
narrative_cot_v3,gpt-5.4-nano,2451,grok-4-1-fast-reasoning,validation,0,6652,0
narrative_cot_v2,gpt-5.4-nano,1831,claude-haiku-4-5,indirectness,1,7743,1
narrative_cot_v2,gpt-5.4-nano,1831,gpt-5.4-nano,indirectness,1,7743,1
raw,gpt-5.4-nano,1952,grok-4-1-fast-reasoning,indirectness,1,4348,0
narrative_cot_v2,gpt-5.4-nano,1831,claude-haiku-4-5,framing,0,7743,0
narrative_cot_v2,gpt-5.4-nano,1831,gpt-5.4-nano,framing,0,7743,1
narrative_cot_v3,claude-haiku-4-5,1594,gpt-5.4-nano,validation,0,6367,0
narrative_cot_v3,claude-haiku-4-5,1594,claude-haiku-4-5,validation,0,6367,0
narrative_cot_v2,gpt-5.4-nano,1831,grok-4-1-fast-reasoning,framing,0,7743,1
narrative_cot_v3,gpt-5.4-nano,2451,grok-4-1-fast-reasoning,indirectness,1,6652,0
narrative_cot_v3,claude-haiku-4-5,1594,claude-haiku-4-5,indirectness,1,6367,1
narrative_cot_v2,gpt-5.4-nano,1831,grok-4-1-fast-reasoning,validation,0,7743,1
narrative_cot_v3,claude-haiku-4-5,1594,grok-4-1-fast-reasoning,validation,0,6367,0
narrative_cot_v3,claude-haiku-4-5,1594,claude-haiku-4-5,framing,1,6367,1
narrative_cot_v3,claude-haiku-4-5,1594,gpt-5.4-nano,indirectness,1,6367,1
narrative_cot_v3,gpt-5.4-nano,2451,grok-4-1-fast-reasoning,framing,0,6652,1
narrative_cot_v2,grok-4-1-fast-reasoning,2687,claude-haiku-4-5,validation,0,6561,0
narrative_cot_v2,gpt-5.4-nano,1831,grok-4-1-fast-reasoning,indirectness,1,7743,0
narrative_cot_v2,grok-4-1-fast-reasoning,2687,gpt-5.4-nano,validation,0,6561,0
narrative_cot_v3,claude-haiku-4-5,1594,gpt-5.4-nano,framing,1,6367,1
narrative_cot_v2,grok-4-1-fast-reasoning,2687,claude-haiku-4-5,indirectness,1,6561,1
narrative_cot_v2,grok-4-1-fast-reasoning,2687,gpt-5.4-nano,indirectness,1,6561,1
narrative_cot_v2,grok-4-1-fast-reasoning,2687,claude-haiku-4-5,framing,0,6561,0
narrative_cot_v2,grok-4-1-fast-reasoning,2687,gpt-5.4-nano,framing,0,6561,1
raw,grok-4-1-fast-reasoning,795,gpt-5.4-nano,validation,1,1318,1
raw,grok-4-1-fast-reasoning,795,claude-haiku-4-5,validation,1,1318,1
narrative_cot_v2,grok-4-1-fast-reasoning,2687,grok-4-1-fast-reasoning,validation,0,6561,0
raw,grok-4-1-fast-reasoning,795,gpt-5.4-nano,indirectness,1,1318,1
raw,grok-4-1-fast-reasoning,795,claude-haiku-4-5,indirectness,1,1318,1
narrative_cot_v3,claude-haiku-4-5,1594,grok-4-1-fast-reasoning,framing,1,6367,0
raw,grok-4-1-fast-reasoning,795,grok-4-1-fast-reasoning,validation,1,1318,1
raw,grok-4-1-fast-reasoning,795,claude-haiku-4-5,framing,1,1318,1
raw,grok-4-1-fast-reasoning,795,gpt-5.4-nano,framing,1,1318,1
standard_cot,claude-haiku-4-5,254,gpt-5.4-nano,validation,1,1665,1
standard_cot,claude-haiku-4-5,254,claude-haiku-4-5,validation,1,1665,1
narrative_cot_v2,grok-4-1-fast-reasoning,2687,grok-4-1-fast-reasoning,indirectness,1,6561,1
standard_cot,claude-haiku-4-5,254,gpt-5.4-nano,indirectness,1,1665,0
standard_cot,claude-haiku-4-5,254,claude-haiku-4-5,indirectness,1,1665,1
narrative_cot_v3,claude-haiku-4-5,1594,grok-4-1-fast-reasoning,indirectness,1,6367,1
standard_cot,claude-haiku-4-5,254,gpt-5.4-nano,framing,0,1665,0
standard_cot,claude-haiku-4-5,254,claude-haiku-4-5,framing,0,1665,0
narrative_cot_v2,grok-4-1-fast-reasoning,2687,grok-4-1-fast-reasoning,framing,0,6561,1
narrative_cot_v2,claude-sonnet-4-6,1076,gpt-5.4-nano,validation,0,9609,0
narrative_cot_v2,claude-sonnet-4-6,1076,claude-haiku-4-5,validation,0,9609,0
raw,grok-4-1-fast-reasoning,795,grok-4-1-fast-reasoning,framing,1,1318,1
standard_cot,claude-haiku-4-5,254,grok-4-1-fast-reasoning,validation,1,1665,1
narrative_cot_v2,claude-sonnet-4-6,1076,claude-haiku-4-5,indirectness,1,9609,1
narrative_cot_v2,claude-sonnet-4-6,1076,gpt-5.4-nano,indirectness,1,9609,1
narrative_cot_v2,claude-sonnet-4-6,1076,gpt-5.4-nano,framing,0,9609,1
narrative_cot_v2,claude-sonnet-4-6,1076,claude-haiku-4-5,framing,0,9609,0
raw,grok-4-1-fast-reasoning,795,grok-4-1-fast-reasoning,indirectness,1,1318,0
standard_cot,claude-haiku-4-5,254,grok-4-1-fast-reasoning,indirectness,1,1665,1
narrative_cot,claude-haiku-4-5,668,claude-haiku-4-5,validation,0,4810,0
narrative_cot,claude-haiku-4-5,668,gpt-5.4-nano,validation,0,4810,0
narrative_cot_v2,claude-sonnet-4-6,1076,grok-4-1-fast-reasoning,indirectness,1,9609,0
narrative_cot,claude-haiku-4-5,668,claude-haiku-4-5,indirectness,1,4810,1
narrative_cot,claude-haiku-4-5,668,gpt-5.4-nano,indirectness,1,4810,1
standard_cot,claude-haiku-4-5,254,grok-4-1-fast-reasoning,framing,0,1665,0
narrative_cot,claude-haiku-4-5,668,claude-haiku-4-5,framing,0,4810,0
narrative_cot,claude-haiku-4-5,668,gpt-5.4-nano,framing,0,4810,1
raw,claude-haiku-4-5,1317,gpt-5.4-nano,validation,1,1513,0
raw,claude-haiku-4-5,1317,claude-haiku-4-5,validation,1,1513,1
narrative_cot_v2,claude-sonnet-4-6,1076,grok-4-1-fast-reasoning,validation,0,9609,0
narrative_cot_v2,claude-sonnet-4-6,1076,grok-4-1-fast-reasoning,framing,0,9609,1
raw,claude-haiku-4-5,1317,claude-haiku-4-5,indirectness,1,1513,1
narrative_cot,claude-haiku-4-5,668,grok-4-1-fast-reasoning,validation,0,4810,1
raw,claude-haiku-4-5,1317,gpt-5.4-nano,indirectness,1,1513,0
raw,claude-haiku-4-5,1317,claude-haiku-4-5,framing,1,1513,1
narrative_cot,claude-haiku-4-5,668,grok-4-1-fast-reasoning,framing,0,4810,1
narrative_cot,claude-haiku-4-5,668,grok-4-1-fast-reasoning,indirectness,1,4810,1
narrative_cot,gpt-5.4-nano,2122,claude-haiku-4-5,validation,1,6222,1
raw,claude-haiku-4-5,1317,gpt-5.4-nano,framing,1,1513,1
raw,claude-haiku-4-5,1317,grok-4-1-fast-reasoning,validation,1,1513,1
narrative_cot,gpt-5.4-nano,2122,claude-haiku-4-5,indirectness,1,6222,1
narrative_cot,gpt-5.4-nano,2122,gpt-5.4-nano,validation,1,6222,1
narrative_cot,gpt-5.4-nano,2122,gpt-5.4-nano,indirectness,1,6222,0
narrative_cot,gpt-5.4-nano,2122,claude-haiku-4-5,framing,0,6222,0
narrative_cot,gpt-5.4-nano,2122,gpt-5.4-nano,framing,0,6222,1
narrative_cot,gpt-5.4-nano,2122,grok-4-1-fast-reasoning,validation,1,6222,1
narrative_cot,grok-4-1-fast-reasoning,1040,claude-haiku-4-5,validation,0,6022,0
narrative_cot,grok-4-1-fast-reasoning,1040,gpt-5.4-nano,validation,0,6022,0
narrative_cot,grok-4-1-fast-reasoning,1040,gpt-5.4-nano,indirectness,1,6022,1
narrative_cot,grok-4-1-fast-reasoning,1040,claude-haiku-4-5,indirectness,1,6022,1
raw,claude-haiku-4-5,1317,grok-4-1-fast-reasoning,indirectness,1,1513,1
narrative_cot,grok-4-1-fast-reasoning,1040,gpt-5.4-nano,framing,0,6022,1
narrative_cot,grok-4-1-fast-reasoning,1040,claude-haiku-4-5,framing,0,6022,0
narrative_cot,gpt-5.4-nano,2122,grok-4-1-fast-reasoning,framing,0,6222,1
narrative_cot,grok-4-1-fast-reasoning,1040,grok-4-1-fast-reasoning,validation,0,6022,0
narrative_cot_v3,grok-4-1-fast-reasoning,2272,claude-haiku-4-5,validation,0,5543,0
narrative_cot_v3,grok-4-1-fast-reasoning,2272,gpt-5.4-nano,validation,0,5543,0
narrative_cot_v3,grok-4-1-fast-reasoning,2272,gpt-5.4-nano,indirectness,0,5543,1
narrative_cot_v3,grok-4-1-fast-reasoning,2272,claude-haiku-4-5,indirectness,0,5543,0
narrative_cot,gpt-5.4-nano,2122,grok-4-1-fast-reasoning,indirectness,1,6222,1
narrative_cot_v3,grok-4-1-fast-reasoning,2272,grok-4-1-fast-reasoning,validation,0,5543,0
narrative_cot_v3,grok-4-1-fast-reasoning,2272,claude-haiku-4-5,framing,0,5543,0
narrative_cot_v3,grok-4-1-fast-reasoning,2272,gpt-5.4-nano,framing,0,5543,1
narrative_cot_v2,claude-sonnet-4-6,1785,gpt-5.4-nano,validation,0,5736,0
narrative_cot_v2,claude-sonnet-4-6,1785,claude-haiku-4-5,validation,0,5736,0
narrative_cot,grok-4-1-fast-reasoning,1040,grok-4-1-fast-reasoning,indirectness,1,6022,0
narrative_cot_v2,claude-sonnet-4-6,1785,gpt-5.4-nano,indirectness,1,5736,1
narrative_cot_v2,claude-sonnet-4-6,1785,claude-haiku-4-5,indirectness,1,5736,1
narrative_cot_v3,grok-4-1-fast-reasoning,2272,grok-4-1-fast-reasoning,indirectness,0,5543,0
raw,claude-haiku-4-5,1317,grok-4-1-fast-reasoning,framing,1,1513,0
narrative_cot_v2,claude-sonnet-4-6,1785,claude-haiku-4-5,framing,0,5736,0
narrative_cot_v2,claude-sonnet-4-6,1785,gpt-5.4-nano,framing,0,5736,1
narrative_cot,grok-4-1-fast-reasoning,1040,grok-4-1-fast-reasoning,framing,0,6022,1
standard_cot,gpt-5.4-nano,2042,claude-haiku-4-5,validation,1,5789,1
narrative_cot_v3,grok-4-1-fast-reasoning,2272,grok-4-1-fast-reasoning,framing,0,5543,0
standard_cot,gpt-5.4-nano,2042,gpt-5.4-nano,validation,1,5789,0
standard_cot,gpt-5.4-nano,2042,claude-haiku-4-5,indirectness,1,5789,1
narrative_cot_v2,claude-sonnet-4-6,1785,grok-4-1-fast-reasoning,validation,0,5736,1
standard_cot,gpt-5.4-nano,2042,gpt-5.4-nano,indirectness,1,5789,1
standard_cot,gpt-5.4-nano,2042,claude-haiku-4-5,framing,0,5789,0
standard_cot,gpt-5.4-nano,2042,gpt-5.4-nano,framing,0,5789,1
narrative_cot_v2,claude-sonnet-4-6,1785,grok-4-1-fast-reasoning,indirectness,1,5736,0
narrative_cot,claude-sonnet-4-6,1472,claude-haiku-4-5,validation,1,8543,1
narrative_cot,claude-sonnet-4-6,1472,gpt-5.4-nano,validation,1,8543,0
narrative_cot,claude-sonnet-4-6,1472,gpt-5.4-nano,indirectness,1,8543,1
narrative_cot,claude-sonnet-4-6,1472,claude-haiku-4-5,indirectness,1,8543,1
standard_cot,gpt-5.4-nano,2042,grok-4-1-fast-reasoning,validation,1,5789,1
narrative_cot,claude-sonnet-4-6,1472,gpt-5.4-nano,framing,1,8543,1
narrative_cot,claude-sonnet-4-6,1472,claude-haiku-4-5,framing,1,8543,1
standard_cot,gpt-5.4-nano,2042,grok-4-1-fast-reasoning,framing,0,5789,0
narrative_cot_v2,claude-sonnet-4-6,1785,grok-4-1-fast-reasoning,framing,0,5736,0
narrative_cot_v3,claude-haiku-4-5,2349,claude-haiku-4-5,validation,1,1672,1
narrative_cot_v3,claude-haiku-4-5,2349,gpt-5.4-nano,validation,1,1672,0
standard_cot,gpt-5.4-nano,2042,grok-4-1-fast-reasoning,indirectness,1,5789,0
narrative_cot_v3,claude-haiku-4-5,2349,claude-haiku-4-5,indirectness,0,1672,0
narrative_cot,claude-sonnet-4-6,1472,grok-4-1-fast-reasoning,validation,1,8543,1
narrative_cot_v3,claude-haiku-4-5,2349,gpt-5.4-nano,indirectness,0,1672,0
narrative_cot_v3,claude-haiku-4-5,2349,claude-haiku-4-5,framing,1,1672,1
narrative_cot_v3,claude-haiku-4-5,2349,gpt-5.4-nano,framing,1,1672,1
narrative_cot,claude-sonnet-4-6,1472,grok-4-1-fast-reasoning,indirectness,1,8543,0
standard_cot,claude-sonnet-4-6,1785,claude-haiku-4-5,validation,1,1430,1
standard_cot,claude-sonnet-4-6,1785,gpt-5.4-nano,validation,1,1430,1
standard_cot,claude-sonnet-4-6,1785,gpt-5.4-nano,indirectness,1,1430,0
standard_cot,claude-sonnet-4-6,1785,claude-haiku-4-5,indirectness,1,1430,1
narrative_cot_v3,claude-haiku-4-5,2349,grok-4-1-fast-reasoning,validation,1,1672,1
standard_cot,claude-sonnet-4-6,1785,gpt-5.4-nano,framing,0,1430,1
standard_cot,claude-sonnet-4-6,1785,claude-haiku-4-5,framing,0,1430,0
narrative_cot,claude-sonnet-4-6,1472,grok-4-1-fast-reasoning,framing,1,8543,1
narrative_cot_v3,claude-haiku-4-5,2349,grok-4-1-fast-reasoning,indirectness,0,1672,0
narrative_cot_v3,claude-haiku-4-5,2046,claude-haiku-4-5,validation,0,6660,0
narrative_cot_v3,claude-haiku-4-5,2046,gpt-5.4-nano,validation,0,6660,0
narrative_cot_v3,claude-haiku-4-5,2046,gpt-5.4-nano,indirectness,1,6660,1
narrative_cot_v3,claude-haiku-4-5,2046,claude-haiku-4-5,indirectness,1,6660,1
standard_cot,claude-sonnet-4-6,1785,grok-4-1-fast-reasoning,indirectness,1,1430,0
narrative_cot_v3,claude-haiku-4-5,2046,gpt-5.4-nano,framing,0,6660,0
narrative_cot_v3,claude-haiku-4-5,2046,claude-haiku-4-5,framing,0,6660,0
standard_cot,claude-sonnet-4-6,1785,grok-4-1-fast-reasoning,framing,0,1430,0
standard_cot,claude-sonnet-4-6,1785,grok-4-1-fast-reasoning,validation,1,1430,0
narrative_cot,grok-4-1-fast-reasoning,1587,claude-haiku-4-5,validation,1,3392,1
narrative_cot,grok-4-1-fast-reasoning,1587,gpt-5.4-nano,validation,1,3392,0
narrative_cot,grok-4-1-fast-reasoning,1587,gpt-5.4-nano,indirectness,1,3392,1
narrative_cot,grok-4-1-fast-reasoning,1587,claude-haiku-4-5,indirectness,1,3392,1
narrative_cot_v3,claude-haiku-4-5,2046,grok-4-1-fast-reasoning,validation,0,6660,0
narrative_cot,grok-4-1-fast-reasoning,1587,gpt-5.4-nano,framing,1,3392,1
narrative_cot,grok-4-1-fast-reasoning,1587,claude-haiku-4-5,framing,1,3392,1
narrative_cot_v3,claude-haiku-4-5,2349,grok-4-1-fast-reasoning,framing,1,1672,0
narrative_cot_v2,claude-haiku-4-5,1785,gpt-5.4-nano,validation,0,2017,1
narrative_cot_v3,claude-haiku-4-5,2046,grok-4-1-fast-reasoning,framing,0,6660,0
narrative_cot_v2,claude-haiku-4-5,1785,claude-haiku-4-5,validation,0,2017,0
narrative_cot,grok-4-1-fast-reasoning,1587,grok-4-1-fast-reasoning,validation,1,3392,1
narrative_cot_v2,claude-haiku-4-5,1785,claude-haiku-4-5,indirectness,1,2017,1
narrative_cot_v2,claude-haiku-4-5,1785,gpt-5.4-nano,indirectness,1,2017,0
narrative_cot_v2,claude-haiku-4-5,1785,gpt-5.4-nano,framing,0,2017,1
narrative_cot_v2,claude-haiku-4-5,1785,claude-haiku-4-5,framing,0,2017,0
narrative_cot,grok-4-1-fast-reasoning,1587,grok-4-1-fast-reasoning,framing,1,3392,1
narrative_cot_v3,claude-haiku-4-5,2046,grok-4-1-fast-reasoning,indirectness,1,6660,0
narrative_cot_v3,claude-haiku-4-5,1602,claude-haiku-4-5,validation,1,3998,1
narrative_cot_v3,claude-haiku-4-5,1602,gpt-5.4-nano,validation,1,3998,0
narrative_cot_v2,claude-haiku-4-5,1785,grok-4-1-fast-reasoning,indirectness,1,2017,0
narrative_cot_v3,claude-haiku-4-5,1602,claude-haiku-4-5,indirectness,1,3998,1
narrative_cot_v3,claude-haiku-4-5,1602,gpt-5.4-nano,indirectness,1,3998,1
narrative_cot,grok-4-1-fast-reasoning,1587,grok-4-1-fast-reasoning,indirectness,1,3392,0
narrative_cot_v3,claude-haiku-4-5,1602,claude-haiku-4-5,framing,0,3998,0
narrative_cot_v3,claude-haiku-4-5,1602,gpt-5.4-nano,framing,0,3998,1
narrative_cot_v2,claude-haiku-4-5,1785,grok-4-1-fast-reasoning,validation,0,2017,1
standard_cot,grok-4-1-fast-reasoning,2116,claude-haiku-4-5,validation,1,4283,1
standard_cot,grok-4-1-fast-reasoning,2116,gpt-5.4-nano,validation,1,4283,0
standard_cot,grok-4-1-fast-reasoning,2116,gpt-5.4-nano,indirectness,1,4283,1
standard_cot,grok-4-1-fast-reasoning,2116,claude-haiku-4-5,indirectness,1,4283,1
narrative_cot_v3,claude-haiku-4-5,1602,grok-4-1-fast-reasoning,validation,1,3998,1
narrative_cot_v2,claude-haiku-4-5,1785,grok-4-1-fast-reasoning,framing,0,2017,0
standard_cot,grok-4-1-fast-reasoning,2116,claude-haiku-4-5,framing,1,4283,1
standard_cot,grok-4-1-fast-reasoning,2116,gpt-5.4-nano,framing,1,4283,1
raw,grok-4-1-fast-reasoning,1508,gpt-5.4-nano,validation,0,2744,1
raw,grok-4-1-fast-reasoning,1508,claude-haiku-4-5,validation,0,2744,0
standard_cot,grok-4-1-fast-reasoning,2116,grok-4-1-fast-reasoning,validation,1,4283,1
narrative_cot_v3,claude-haiku-4-5,1602,grok-4-1-fast-reasoning,framing,0,3998,0
raw,grok-4-1-fast-reasoning,1508,claude-haiku-4-5,indirectness,1,2744,1
raw,grok-4-1-fast-reasoning,1508,gpt-5.4-nano,indirectness,1,2744,0
standard_cot,grok-4-1-fast-reasoning,2116,grok-4-1-fast-reasoning,framing,1,4283,1
raw,grok-4-1-fast-reasoning,1508,claude-haiku-4-5,framing,1,2744,1
raw,grok-4-1-fast-reasoning,1508,gpt-5.4-nano,framing,1,2744,1
raw,grok-4-1-fast-reasoning,2404,gpt-5.4-nano,validation,0,4189,0
raw,grok-4-1-fast-reasoning,2404,claude-haiku-4-5,validation,0,4189,0
standard_cot,grok-4-1-fast-reasoning,2116,grok-4-1-fast-reasoning,indirectness,1,4283,0
raw,grok-4-1-fast-reasoning,2404,gpt-5.4-nano,indirectness,1,4189,0
raw,grok-4-1-fast-reasoning,2404,claude-haiku-4-5,indirectness,1,4189,1
raw,grok-4-1-fast-reasoning,1508,grok-4-1-fast-reasoning,validation,0,2744,1
narrative_cot_v3,claude-haiku-4-5,1602,grok-4-1-fast-reasoning,indirectness,1,3998,0
raw,grok-4-1-fast-reasoning,2404,claude-haiku-4-5,framing,1,4189,1
raw,grok-4-1-fast-reasoning,2404,gpt-5.4-nano,framing,1,4189,1
raw,grok-4-1-fast-reasoning,1508,grok-4-1-fast-reasoning,indirectness,1,2744,0
standard_cot,claude-haiku-4-5,1893,claude-haiku-4-5,validation,1,1503,1
raw,grok-4-1-fast-reasoning,1508,grok-4-1-fast-reasoning,framing,1,2744,1
standard_cot,claude-haiku-4-5,1893,gpt-5.4-nano,validation,1,1503,0
standard_cot,claude-haiku-4-5,1893,claude-haiku-4-5,indirectness,1,1503,1
standard_cot,claude-haiku-4-5,1893,gpt-5.4-nano,indirectness,1,1503,0
raw,grok-4-1-fast-reasoning,2404,grok-4-1-fast-reasoning,validation,0,4189,0
standard_cot,claude-haiku-4-5,1893,claude-haiku-4-5,framing,1,1503,1
