gen_model,scenario_id,a,b,jsd
gpt-4o,aging_parent,MP::sibling_a,MP::rotating_caregiver,0.0
gpt-4o,aging_parent,MP::sibling_a,NCoT::orig,0.0
gpt-4o,aging_parent,MP::sibling_a,std_cot,0.3521609513007116
gpt-4o,aging_parent,MP::parent_lucid_moment,MP::rotating_caregiver,0.0
gpt-4o,aging_parent,MP::parent_lucid_moment,NCoT::orig,0.0
gpt-4o,aging_parent,MP::parent_lucid_moment,std_cot,0.3521609513007116
gpt-4o,aging_parent,MP::rotating_caregiver,NCoT::orig,0.0
gpt-4o,aging_parent,MP::rotating_caregiver,std_cot,0.3521609513007116
gpt-4o,aging_parent,NCoT::orig,std_cot,0.3521609513007116
gpt-4o,av_engineer,MP::engineer,MP::vehicle_occupant,0.16925541197341776
gpt-4o,av_engineer,MP::engineer,MP::future_pedestrian,0.07939139176829679
gpt-4o,av_engineer,MP::engineer,NCoT::orig,0.01136888029959561
gpt-4o,av_engineer,MP::engineer,std_cot,0.39618646631018345
gpt-4o,av_engineer,MP::vehicle_occupant,MP::future_pedestrian,0.23645279766002797
gpt-4o,av_engineer,MP::vehicle_occupant,NCoT::orig,0.17997756011003954
gpt-4o,av_engineer,MP::vehicle_occupant,std_cot,0.3992679775162913
gpt-4o,av_engineer,MP::future_pedestrian,NCoT::orig,0.13792538097002996
gpt-4o,av_engineer,MP::future_pedestrian,std_cot,0.6787881102649856
gpt-4o,av_engineer,NCoT::orig,std_cot,0.2917642751603118
gpt-4o,research_volunteer,MP::researcher,MP::participant_lucid_moment,0.20202865227173433
gpt-4o,research_volunteer,MP::researcher,MP::future_patient_with_condition,0.05803154614559998
gpt-4o,research_volunteer,MP::researcher,NCoT::orig,0.009840787695059442
gpt-4o,research_volunteer,MP::researcher,std_cot,0.7587128886399193
gpt-4o,research_volunteer,MP::participant_lucid_moment,MP::future_patient_with_condition,0.2594087698074814
gpt-4o,research_volunteer,MP::participant_lucid_moment,NCoT::orig,0.23059417928242387
gpt-4o,research_volunteer,MP::participant_lucid_moment,std_cot,0.36573388905660537
gpt-4o,research_volunteer,MP::future_patient_with_condition,NCoT::orig,0.0523632318468358
gpt-4o,research_volunteer,MP::future_patient_with_condition,std_cot,0.7402410118609203
gpt-4o,research_volunteer,NCoT::orig,std_cot,0.724511249783653
