dataset,binary_qtype,model,condition,item_id,correct_answer,predicted,is_correct,prompt_tokens,completion_tokens
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_212-1-0_answerability_bin_2,yes,no,0,1300,45
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_201-0-2_answerability_bin_0,no,no,1,1174,146
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_21-1-1_answerability_bin_4,yes,no,0,1426,178
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_212-1-0_answerability_bin_2,yes,no,0,1303,124
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_168-1-2_answerability_bin_2,yes,no,0,955,68
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_168-1-2_answerability_bin_2,yes,no,0,958,111
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_19-0-0_answerability_bin_1,yes,no,0,896,86
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_179-0-1_answerability_bin_2,yes,no,0,893,63
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_19-0-0_answerability_bin_1,yes,no,0,899,137
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_179-0-1_answerability_bin_2,yes,no,0,896,183
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_19-0-0_answerability_bin_1,yes,no,0,1266,186
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_168-1-2_answerability_bin_2,yes,no,0,1325,319
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_212-1-0_answerability_bin_2,yes,no,0,1670,405
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_129-0-1_answerability_bin_2,yes,no,0,1017,81
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_179-0-1_answerability_bin_2,yes,no,0,1263,141
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_8-1-1_answerability_bin_0,yes,no,0,1124,41
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_129-0-1_answerability_bin_2,yes,no,0,1020,206
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_8-0-1_answerability_bin_2,no,no,1,811,27
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_8-1-1_answerability_bin_0,yes,no,0,1127,126
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-1-1_answerability_bin_0,yes,no,0,1494,138
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_8-0-1_answerability_bin_2,no,no,1,814,83
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_20-1-0_answerability_bin_3,yes,yes,1,1080,123
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_20-1-0_answerability_bin_3,yes,no,0,1083,122
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_76-1-0_answerability_bin_2,no,no,1,654,57
fantom,answerability,gpt-5.4-nano,baseline_io,fantom_58-0-2_answerability_bin_0,yes,no,0,983,55
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-0-1_answerability_bin_2,no,no,1,1181,248
fantom,answerability,gpt-5.4-nano,standard_cot,fantom_58-0-2_answerability_bin_0,yes,no,0,986,161
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_129-0-1_answerability_bin_2,yes,no,0,1387,536
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_192-0-1_info_accessibility_bin_0,yes,yes,1,450,120
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_23-0-1_info_accessibility_bin_2,yes,yes,1,836,48
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_20-1-0_answerability_bin_3,yes,no,0,1450,303
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_6-0-0_info_accessibility_bin_2,yes,yes,1,722,54
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_23-0-1_info_accessibility_bin_2,yes,yes,1,839,143
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_212-1-1_info_accessibility_bin_1,no,no,1,1295,25
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_6-0-0_info_accessibility_bin_2,yes,yes,1,725,143
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_212-1-1_info_accessibility_bin_1,no,no,1,1298,58
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_23-0-1_info_accessibility_bin_2,yes,yes,1,1206,190
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_6-0-0_info_accessibility_bin_2,yes,yes,1,1092,153
fantom,answerability,gpt-5.4-nano,narrative_cot_v3_tom,fantom_58-0-2_answerability_bin_0,yes,no,0,1353,377
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_192-0-1_info_accessibility_bin_0,yes,yes,1,453,326
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_192-0-1_info_accessibility_bin_0,yes,yes,1,820,331
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_76-1-0_info_accessibility_bin_2,no,yes,0,649,51
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_212-1-1_info_accessibility_bin_1,no,no,1,1665,86
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_68-0-1_info_accessibility_bin_0,yes,yes,1,511,56
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_60-0-1_info_accessibility_bin_3,yes,yes,1,692,48
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_68-0-1_info_accessibility_bin_0,yes,yes,1,514,147
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_60-0-1_info_accessibility_bin_3,yes,yes,1,695,179
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_76-1-0_info_accessibility_bin_2,no,yes,0,652,225
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_30-0-0_info_accessibility_bin_4,yes,yes,1,715,57
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_68-0-1_info_accessibility_bin_0,yes,yes,1,881,217
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_30-0-0_info_accessibility_bin_4,yes,yes,1,718,94
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_212-0-0_info_accessibility_bin_0,yes,yes,1,723,121
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_60-0-1_info_accessibility_bin_3,yes,yes,1,1062,231
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_21-1-1_info_accessibility_bin_4,yes,yes,1,1051,171
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_30-0-0_info_accessibility_bin_4,yes,yes,1,1085,161
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_201-0-2_info_accessibility_bin_0,no,no,1,799,22
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_212-0-0_info_accessibility_bin_0,yes,yes,1,726,248
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_212-0-0_info_accessibility_bin_0,yes,yes,1,1093,215
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_201-0-2_info_accessibility_bin_0,no,no,1,802,70
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_212-1-0_info_accessibility_bin_2,yes,no,0,1295,194
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_76-1-0_info_accessibility_bin_2,no,yes,0,1019,643
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_201-0-2_info_accessibility_bin_0,no,no,1,1169,204
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_21-1-1_info_accessibility_bin_4,yes,yes,1,1054,306
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_19-0-0_info_accessibility_bin_1,yes,yes,1,891,61
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_168-1-2_info_accessibility_bin_2,yes,yes,1,950,38
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_21-1-1_info_accessibility_bin_4,yes,yes,1,1421,375
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_168-1-2_info_accessibility_bin_2,yes,yes,1,953,85
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_179-0-1_info_accessibility_bin_2,yes,yes,1,888,48
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_179-0-1_info_accessibility_bin_2,yes,yes,1,891,147
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_212-1-0_info_accessibility_bin_2,yes,yes,1,1298,176
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_129-0-1_info_accessibility_bin_2,yes,no,0,1012,59
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_129-0-1_info_accessibility_bin_2,yes,no,0,1015,112
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_8-1-1_info_accessibility_bin_0,yes,yes,1,1119,57
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_19-0-0_info_accessibility_bin_1,yes,yes,1,894,193
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_179-0-1_info_accessibility_bin_2,yes,yes,1,1258,159
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_19-0-0_info_accessibility_bin_1,yes,yes,1,1261,196
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_8-0-1_info_accessibility_bin_2,no,no,1,806,44
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_168-1-2_info_accessibility_bin_2,yes,yes,1,1320,309
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_8-1-1_info_accessibility_bin_0,yes,yes,1,1122,110
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_129-0-1_info_accessibility_bin_2,yes,no,0,1382,211
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_8-0-1_info_accessibility_bin_2,no,no,1,809,55
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-1-1_info_accessibility_bin_0,yes,yes,1,1489,101
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_20-1-0_info_accessibility_bin_3,yes,yes,1,1075,43
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_20-1-0_info_accessibility_bin_3,yes,yes,1,1078,118
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_8-0-1_info_accessibility_bin_2,no,no,1,1176,200
fantom,info_accessibility,gpt-5.4-nano,standard_cot,fantom_58-0-2_info_accessibility_bin_0,yes,no,0,981,89
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_212-1-0_info_accessibility_bin_2,yes,yes,1,1665,586
fantom,info_accessibility,gpt-5.4-nano,baseline_io,fantom_58-0-2_info_accessibility_bin_0,yes,yes,1,978,142
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_20-1-0_info_accessibility_bin_3,yes,yes,1,1445,262
fantom,info_accessibility,gpt-5.4-nano,narrative_cot_v3_tom,fantom_58-0-2_info_accessibility_bin_0,yes,no,0,1348,161
