gen_model,scenario_id,topic_group,axis,value,n,decision_entropy_bits
gpt-5.4-nano,dd_33470,business_organization,temporal_position,future_or_offscreen,18,0.9640787648053437
gpt-5.4-nano,dd_20184,business_organization,decision_role,primary_affected,18,1.0529407605583068
gpt-5.4-nano,dd_20184,business_organization,decision_role,third_party,40,0.3843115441236117
gpt-5.4-nano,dd_20184,business_organization,agency_level,low,58,0.6537690305863568
gpt-5.4-nano,dd_20184,business_organization,temporal_position,present,18,1.0529407605583068
gpt-5.4-nano,dd_20184,business_organization,temporal_position,future_or_offscreen,40,0.3843115441236117
gpt-5.4-nano,dd_34930,business_organization,decision_role,decider,20,0.28639695711307084
gpt-5.4-nano,dd_34930,business_organization,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_34930,business_organization,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_34930,business_organization,agency_level,high,20,0.28639695711307084
gpt-5.4-nano,dd_34930,business_organization,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_34930,business_organization,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_34930,business_organization,temporal_position,present,40,0.1686609314937849
gpt-5.4-nano,dd_34930,business_organization,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_36686,close_relationship,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_36686,close_relationship,decision_role,primary_affected,20,0.28639695711307084
gpt-5.4-nano,dd_36686,close_relationship,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_36686,close_relationship,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_36686,close_relationship,agency_level,medium,20,0.28639695711307084
gpt-5.4-nano,dd_36686,close_relationship,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_36686,close_relationship,temporal_position,present,40,0.1686609314937849
gpt-5.4-nano,dd_36686,close_relationship,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_27668,close_relationship,decision_role,third_party,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_27668,close_relationship,decision_role,primary_affected,20,0.4689955935863958
gpt-5.4-nano,dd_27668,close_relationship,agency_level,low,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_27668,close_relationship,agency_level,medium,20,0.4689955935863958
gpt-5.4-nano,dd_27668,close_relationship,temporal_position,future_or_offscreen,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_27668,close_relationship,temporal_position,present,20,0.4689955935863958
gpt-5.4-nano,dd_13874,close_relationship,decision_role,primary_affected,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_13874,close_relationship,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_13874,close_relationship,agency_level,medium,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_13874,close_relationship,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_13874,close_relationship,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_13874,close_relationship,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_23534,close_relationship,decision_role,decider,20,0.8841837197748609
gpt-5.4-nano,dd_23534,close_relationship,decision_role,primary_affected,20,1.0540157730684718
gpt-5.4-nano,dd_23534,close_relationship,decision_role,third_party,20,1.2361602543694838
gpt-5.4-nano,dd_23534,close_relationship,agency_level,high,20,0.8841837197748609
gpt-5.4-nano,dd_23534,close_relationship,agency_level,medium,20,1.0540157730684718
gpt-5.4-nano,dd_23534,close_relationship,agency_level,low,20,1.2361602543694838
gpt-5.4-nano,dd_23534,close_relationship,temporal_position,present,40,0.9758093916709458
gpt-5.4-nano,dd_23534,close_relationship,temporal_position,future_or_offscreen,20,1.2361602543694838
gpt-5.4-nano,dd_4744,close_relationship,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_4744,close_relationship,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_14224,close_relationship,decision_role,primary_affected,39,0.2918182565960004
gpt-5.4-nano,dd_14224,close_relationship,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_14224,close_relationship,agency_level,medium,39,0.2918182565960004
gpt-5.4-nano,dd_14224,close_relationship,agency_level,low,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_14224,close_relationship,temporal_position,present,39,0.2918182565960004
gpt-5.4-nano,dd_14224,close_relationship,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_24774,comitted_relationship,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_4447,comitted_relationship,decision_role,primary_affected,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_4447,comitted_relationship,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_4447,comitted_relationship,agency_level,medium,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_4447,comitted_relationship,agency_level,low,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_4447,comitted_relationship,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_4447,comitted_relationship,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_4829,comitted_relationship,decision_role,decider,20,0.7475846798202459
gpt-5.4-nano,dd_4829,comitted_relationship,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_4829,comitted_relationship,decision_role,third_party,19,0.2974722489164043
gpt-5.4-nano,dd_4829,comitted_relationship,agency_level,medium,20,0.7475846798202459
gpt-5.4-nano,dd_4829,comitted_relationship,agency_level,high,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_4829,comitted_relationship,agency_level,low,19,0.2974722489164043
gpt-5.4-nano,dd_4829,comitted_relationship,temporal_position,present,39,0.4618817047060422
gpt-5.4-nano,dd_4829,comitted_relationship,temporal_position,future_or_offscreen,19,0.2974722489164043
gpt-5.4-nano,dd_20446,comitted_relationship,decision_role,decider,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,agency_level,high,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,agency_level,low,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_20446,comitted_relationship,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,agency_level,medium,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,agency_level,low,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_34029,comitted_relationship,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_21165,comitted_relationship,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_21165,comitted_relationship,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_21165,comitted_relationship,decision_role,third_party,20,1.1567796494427114
gpt-5.4-nano,dd_21165,comitted_relationship,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_21165,comitted_relationship,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_21165,comitted_relationship,agency_level,low,20,1.1567796494427114
gpt-5.4-nano,dd_21165,comitted_relationship,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_21165,comitted_relationship,temporal_position,future_or_offscreen,20,1.1567796494427114
gpt-5.4-nano,dd_46372,event_daily_life,decision_role,decider,19,0.2974722489164043
gpt-5.4-nano,dd_46372,event_daily_life,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_46372,event_daily_life,decision_role,third_party,19,0.8314743880068439
gpt-5.4-nano,dd_46372,event_daily_life,agency_level,high,19,0.2974722489164043
gpt-5.4-nano,dd_46372,event_daily_life,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_46372,event_daily_life,agency_level,low,19,0.8314743880068439
gpt-5.4-nano,dd_46372,event_daily_life,temporal_position,present,39,0.17203694935022845
gpt-5.4-nano,dd_46372,event_daily_life,temporal_position,future_or_offscreen,19,0.8314743880068439
gpt-5.4-nano,dd_1656,event_daily_life,decision_role,decider,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,agency_level,high,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,agency_level,low,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_1656,event_daily_life,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_40622,event_daily_life,decision_role,decider,20,0.4689955935863958
gpt-5.4-nano,dd_40622,event_daily_life,decision_role,primary_affected,20,0.609840304713515
gpt-5.4-nano,dd_40622,event_daily_life,decision_role,third_party,19,0.6292492238531493
gpt-5.4-nano,dd_40622,event_daily_life,agency_level,high,20,0.4689955935863958
gpt-5.4-nano,dd_40622,event_daily_life,agency_level,medium,20,0.609840304713515
gpt-5.4-nano,dd_40622,event_daily_life,agency_level,low,19,0.6292492238531493
gpt-5.4-nano,dd_40622,event_daily_life,temporal_position,present,40,0.543564443196711
gpt-5.4-nano,dd_40622,event_daily_life,temporal_position,future_or_offscreen,19,0.6292492238531493
gpt-5.4-nano,dd_28339,event_daily_life,decision_role,primary_affected,40,1.5223368071502341
gpt-5.4-nano,dd_28339,event_daily_life,decision_role,third_party,19,1.2155332323781451
gpt-5.4-nano,dd_28339,event_daily_life,agency_level,low,59,1.4519873672449597
gpt-5.4-nano,dd_28339,event_daily_life,temporal_position,present,40,1.5223368071502341
gpt-5.4-nano,dd_28339,event_daily_life,temporal_position,future_or_offscreen,19,1.2155332323781451
gpt-5.4-nano,dd_11786,event_daily_life,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,agency_level,medium,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_11786,event_daily_life,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,agency_level,medium,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,agency_level,low,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_23574,event_daily_life,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_14707,event_special,decision_role,primary_affected,19,0.6292492238531493
gpt-5.4-nano,dd_14707,event_special,decision_role,decider,20,1.2954618442339936
gpt-5.4-nano,dd_14707,event_special,decision_role,third_party,20,0.4689955935863958
gpt-5.4-nano,dd_14707,event_special,agency_level,low,39,0.5524951143222258
gpt-5.4-nano,dd_14707,event_special,agency_level,high,20,1.2954618442339936
gpt-5.4-nano,dd_14707,event_special,temporal_position,present,39,1.2158931279823224
gpt-5.4-nano,dd_14707,event_special,temporal_position,future_or_offscreen,20,0.4689955935863958
gpt-5.4-nano,dd_8015,event_special,decision_role,decider,39,1.5086407938984534
gpt-5.4-nano,dd_8015,event_special,decision_role,third_party,20,0.28639695711307084
gpt-5.4-nano,dd_8015,event_special,agency_level,high,39,1.5086407938984534
gpt-5.4-nano,dd_8015,event_special,agency_level,low,20,0.28639695711307084
gpt-5.4-nano,dd_8015,event_special,temporal_position,present,39,1.5086407938984534
gpt-5.4-nano,dd_8015,event_special,temporal_position,future_or_offscreen,20,0.28639695711307084
gpt-5.4-nano,dd_43621,event_special,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_43621,event_special,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_43164,event_special,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,agency_level,medium,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,temporal_position,present,40,-1.4428232973175175e-12
gpt-5.4-nano,dd_38395,event_special,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_0893,event_special,decision_role,primary_affected,36,-1.4428232973175175e-12
gpt-5.4-nano,dd_0893,event_special,decision_role,third_party,20,0.8812908992278072
gpt-5.4-nano,dd_0893,event_special,agency_level,medium,36,-1.4428232973175175e-12
gpt-5.4-nano,dd_0893,event_special,agency_level,low,20,0.8812908992278072
gpt-5.4-nano,dd_0893,event_special,temporal_position,present,36,-1.4428232973175175e-12
gpt-5.4-nano,dd_0893,event_special,temporal_position,future_or_offscreen,20,0.8812908992278072
gpt-5.4-nano,dd_1057,family,decision_role,decider,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_1057,family,decision_role,primary_affected,20,0.28639695711307084
gpt-5.4-nano,dd_1057,family,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_1057,family,agency_level,high,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_1057,family,agency_level,medium,20,0.28639695711307084
gpt-5.4-nano,dd_1057,family,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_1057,family,temporal_position,present,39,0.17203694935022845
gpt-5.4-nano,dd_1057,family,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_18656,family,decision_role,decider,20,0.9340680553726057
gpt-5.4-nano,dd_18656,family,decision_role,third_party,37,1.0800389192738016
gpt-5.4-nano,dd_18656,family,agency_level,high,20,0.9340680553726057
gpt-5.4-nano,dd_18656,family,agency_level,low,19,1.1674367232823728
gpt-5.4-nano,dd_18656,family,agency_level,medium,18,0.8030717273197743
gpt-5.4-nano,dd_18656,family,temporal_position,present,38,1.0214554656073387
gpt-5.4-nano,dd_18656,family,temporal_position,future_or_offscreen,19,1.1674367232823728
gpt-5.4-nano,dd_42086,family,decision_role,decider,19,0.6292492238531493
gpt-5.4-nano,dd_42086,family,decision_role,primary_affected,20,1.4387586809106803
gpt-5.4-nano,dd_42086,family,decision_role,third_party,18,0.6500224216454688
gpt-5.4-nano,dd_42086,family,agency_level,high,19,0.6292492238531493
gpt-5.4-nano,dd_42086,family,agency_level,medium,20,1.4387586809106803
gpt-5.4-nano,dd_42086,family,agency_level,low,18,0.6500224216454688
gpt-5.4-nano,dd_42086,family,temporal_position,present,39,1.1730442045396217
gpt-5.4-nano,dd_42086,family,temporal_position,future_or_offscreen,18,0.6500224216454688
gpt-5.4-nano,dd_42521,family,decision_role,decider,19,0.9819407868612122
gpt-5.4-nano,dd_42521,family,decision_role,primary_affected,20,1.3527241956203266
gpt-5.4-nano,dd_42521,family,decision_role,third_party,19,1.432983121051677
gpt-5.4-nano,dd_42521,family,agency_level,medium,39,1.344240340171808
gpt-5.4-nano,dd_42521,family,agency_level,low,19,1.432983121051677
gpt-5.4-nano,dd_42521,family,temporal_position,present,39,1.344240340171808
gpt-5.4-nano,dd_42521,family,temporal_position,future_or_offscreen,19,1.432983121051677
gpt-5.4-nano,dd_19532,family,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,decision_role,third_party,18,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,agency_level,medium,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,agency_level,low,18,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_19532,family,temporal_position,future_or_offscreen,18,-1.4428232973175175e-12
gpt-5.4-nano,dd_17455,family,decision_role,decider,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_17455,family,decision_role,third_party,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_17455,family,agency_level,high,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_17455,family,agency_level,low,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_17455,family,temporal_position,present,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_17455,family,temporal_position,future_or_offscreen,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,decision_role,decider,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,decision_role,third_party,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,agency_level,high,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,agency_level,low,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,temporal_position,present,39,-1.4428232973175175e-12
gpt-5.4-nano,dd_33126,friend,temporal_position,future_or_offscreen,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_16120,friend,decision_role,decider,20,0.28639695711307084
gpt-5.4-nano,dd_16120,friend,decision_role,primary_affected,18,-1.4428232973175175e-12
gpt-5.4-nano,dd_16120,friend,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_16120,friend,agency_level,high,20,0.28639695711307084
gpt-5.4-nano,dd_16120,friend,agency_level,medium,18,-1.4428232973175175e-12
gpt-5.4-nano,dd_16120,friend,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_16120,friend,temporal_position,present,38,0.1755650258546174
gpt-5.4-nano,dd_16120,friend,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_11553,friend,decision_role,decider,18,0.6143694458824288
gpt-5.4-nano,dd_11553,friend,decision_role,primary_affected,20,0.7219280948844771
gpt-5.4-nano,dd_11553,friend,decision_role,third_party,20,1.1883763717301792
gpt-5.4-nano,dd_11553,friend,agency_level,high,18,0.6143694458824288
gpt-5.4-nano,dd_11553,friend,agency_level,medium,20,0.7219280948844771
gpt-5.4-nano,dd_11553,friend,agency_level,low,20,1.1883763717301792
gpt-5.4-nano,dd_11553,friend,temporal_position,present,38,0.7318843430593414
gpt-5.4-nano,dd_11553,friend,temporal_position,future_or_offscreen,20,1.1883763717301792
gpt-5.4-nano,dd_17792,friend,decision_role,decider,20,0.9999999999971146
gpt-5.4-nano,dd_17792,friend,decision_role,primary_affected,20,0.4689955935863958
gpt-5.4-nano,dd_17792,friend,decision_role,third_party,20,0.4689955935863958
gpt-5.4-nano,dd_17792,friend,agency_level,high,20,0.9999999999971146
gpt-5.4-nano,dd_17792,friend,agency_level,low,40,0.4689955935863958
gpt-5.4-nano,dd_17792,friend,temporal_position,present,40,0.8812908992278072
gpt-5.4-nano,dd_17792,friend,temporal_position,future_or_offscreen,20,0.4689955935863958
gpt-5.4-nano,dd_20431,friend,decision_role,decider,19,0.485460760743028
gpt-5.4-nano,dd_20431,friend,decision_role,primary_affected,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_20431,friend,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_20431,friend,agency_level,high,19,0.485460760743028
gpt-5.4-nano,dd_20431,friend,agency_level,medium,19,-1.4428232973175175e-12
gpt-5.4-nano,dd_20431,friend,agency_level,low,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_20431,friend,temporal_position,present,38,0.2974722489164043
gpt-5.4-nano,dd_20431,friend,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_45919,friend,decision_role,decider,20,0.8112781244562475
gpt-5.4-nano,dd_45919,friend,decision_role,primary_affected,19,0.5907239186363221
gpt-5.4-nano,dd_45919,friend,decision_role,third_party,20,0.9340680553726057
gpt-5.4-nano,dd_45919,friend,agency_level,high,20,0.8112781244562475
gpt-5.4-nano,dd_45919,friend,agency_level,medium,19,0.5907239186363221
gpt-5.4-nano,dd_45919,friend,agency_level,low,20,0.9340680553726057
gpt-5.4-nano,dd_45919,friend,temporal_position,present,39,1.1287997673189323
gpt-5.4-nano,dd_45919,friend,temporal_position,future_or_offscreen,20,0.9340680553726057
gpt-5.4-nano,dd_25698,issue_crime_addiction,decision_role,primary_affected,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_25698,issue_crime_addiction,decision_role,decider,18,-1.4428232973175175e-12
gpt-5.4-nano,dd_25698,issue_crime_addiction,decision_role,third_party,20,-1.4428232973175175e-12
gpt-5.4-nano,dd_25698,issue_crime_addiction,agency_level,medium,38,-1.4428232973175175e-12
gpt-5.4-nano,dd_25698,issue_crime_addiction,agency_level,low,20,-1.4428232973175175e-12
