gen_model,scenario_id,axis,value,n,decision_entropy_bits,stakeholder_count_mean
gpt-5.4-nano,research_volunteer,decision_role,decider,20,1.4387586809106803,7.05
gpt-5.4-nano,research_volunteer,decision_role,primary_affected,20,0.5689955935849532,6.2
gpt-5.4-nano,research_volunteer,decision_role,third_party,20,1.360964047439353,6.95
gpt-5.4-nano,research_volunteer,agency_level,high,20,1.4387586809106803,7.05
gpt-5.4-nano,research_volunteer,agency_level,low,40,1.1246743365641043,6.575
gpt-5.4-nano,research_volunteer,temporal_position,present,40,1.4060075793080005,6.625
gpt-5.4-nano,research_volunteer,temporal_position,future_or_offscreen,20,1.360964047439353,6.95
gpt-4o,hospital_allocation,decision_role,decider,20,0.28639695711307084,5.0
gpt-4o,hospital_allocation,decision_role,primary_affected,20,0.8112781244562475,4.65
gpt-4o,hospital_allocation,decision_role,third_party,20,-1.4428232973175175e-12,4.35
gpt-4o,hospital_allocation,agency_level,high,20,0.28639695711307084,5.0
gpt-4o,hospital_allocation,agency_level,low,40,0.543564443196711,4.5
gpt-4o,hospital_allocation,temporal_position,present,40,0.609840304713515,4.82051282051282
gpt-4o,hospital_allocation,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12,4.35
gpt-4o,pharma_whistleblower,decision_role,decider,20,0.9709505944517833,4.95
gpt-4o,pharma_whistleblower,decision_role,primary_affected,20,1.5954618442325508,4.9
gpt-4o,pharma_whistleblower,decision_role,third_party,20,-1.4428232973175175e-12,5.0
gpt-4o,pharma_whistleblower,agency_level,high,20,1.5954618442325508,4.9
gpt-4o,pharma_whistleblower,agency_level,low,20,-1.4428232973175175e-12,5.0
gpt-4o,pharma_whistleblower,agency_level,medium,20,0.9709505944517833,4.95
gpt-4o,pharma_whistleblower,temporal_position,present,40,1.9628876215123896,4.925
gpt-4o,pharma_whistleblower,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12,5.0
gpt-4o,aging_parent,decision_role,decider,20,-1.4428232973175175e-12,4.05
gpt-4o,aging_parent,decision_role,primary_affected,20,-1.4428232973175175e-12,3.736842105263158
gpt-4o,aging_parent,decision_role,third_party,20,-1.4428232973175175e-12,4.7
gpt-4o,aging_parent,agency_level,high,20,-1.4428232973175175e-12,4.05
gpt-4o,aging_parent,agency_level,low,20,-1.4428232973175175e-12,3.736842105263158
gpt-4o,aging_parent,agency_level,medium,20,-1.4428232973175175e-12,4.7
gpt-4o,aging_parent,temporal_position,present,40,-1.4428232973175175e-12,3.8974358974358974
gpt-4o,aging_parent,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12,4.7
gpt-4o,av_engineer,decision_role,decider,20,0.609840304713515,5.15
gpt-4o,av_engineer,decision_role,primary_affected,20,1.2954618442339936,4.75
gpt-4o,av_engineer,decision_role,third_party,20,-1.4428232973175175e-12,4.7
gpt-4o,av_engineer,agency_level,low,40,0.8841837197748609,4.725
gpt-4o,av_engineer,agency_level,medium,20,0.609840304713515,5.15
gpt-4o,av_engineer,temporal_position,present,40,1.1219064864464507,4.95
gpt-4o,av_engineer,temporal_position,future_or_offscreen,20,-1.4428232973175175e-12,4.7
gpt-4o,research_volunteer,decision_role,decider,20,0.9917601481766455,4.25
gpt-4o,research_volunteer,decision_role,primary_affected,20,1.5437519544147311,3.95
gpt-4o,research_volunteer,decision_role,third_party,20,1.4904685707270573,4.25
gpt-4o,research_volunteer,agency_level,high,20,0.9917601481766455,4.25
gpt-4o,research_volunteer,agency_level,low,40,1.7765190323769329,4.1
gpt-4o,research_volunteer,temporal_position,present,40,1.469784703566701,4.1
gpt-4o,research_volunteer,temporal_position,future_or_offscreen,20,1.4904685707270573,4.25
