model,scaffold,arm,item_id,sample_idx,gold_verdict,n_votes,consensus,source,verdict,noncommittal,at_fault,not_at_fault,output_len,post_sha256,recognized,mem_score,n_sections,complied,finish_reason,truncated,protocol,agent_scaffold,stake_nudge,stake_intervention,r3r4_reasoning_effort,r3r4_thinking_budget,n_agents,moderator_model,synthesis_verdict,synthesis_len,verdict_revised,r3_labels,n_r3_accept,n_r3_accept_with_mod,n_r3_reject,n_r3_unparsed,n_objectors,n_objections_stated,n_modifications_addressed,addressed_roles,addressed_parsed,n_revised,n_accept,n_reject,n_vote_unparsed,unanimous_accept,rejecting_roles,vote_writer_advocate,vote_counterparty,vote_neutral_adjudicator,mean_agent_sections,n_calls,prompt_tokens,completion_tokens,empty_calls,transcript_truncated_calls,seat_models,seat_role_ids,r0_verdicts,r2_verdicts
multivendor,deliberation_ncot,third_person,5LduKCIHclwrVTo3Wf4mM69FpY4I6V08,0,YTA,117,0.9744,scruples,YTA,0,1,0,754,4af697ac73510738d3961c3d9450b784cd5af1f3cbc4a027f68c1ea761da6d45,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,753,0,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,reader_2_noedge,1,1,3,0,0,1,,,,,5.0,17,25755,11064,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,5oLftSd1P6fHfJUBeACwP9MWjxqtBX8Y,0,YTA,54,0.9259,scruples,ESH,0,1,0,878,11326f1429f839832da2a3a1fb3b7e736bbe4dd61b16834443e1a82e97d01bd5,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,ESH,840,0,ACCEPT_WITH_MODIFICATION|REJECT|ACCEPT,1,1,1,0,2,2,2,reader_1_noedge|reader_2_noedge|reader_3_noedge,1,1,2,1,0,0,reader_1_noedge,,,,5.0,17,34566,13981,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|NTA|ESH,YTA|NTA|ESH
multivendor,deliberation_ncot,third_person,6016mnV6uhdymJyK24PKbEZR5093e4hT,0,YTA,70,0.9,scruples,YTA,0,1,0,853,bae7a968585ad99d288e54338b5490e2fc4817ebafcb4d36bddcdeaf5373607b,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,950,0,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,reader_2_noedge,1,1,2,1,0,0,reader_3_noedge,,,,3.333,17,27809,10193,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,65X1IysPHzSZiy1UKAt4tAmxhnIaJtCT,0,YTA,50,0.94,scruples,NTA,0,0,1,1125,68954f25013c7dd295281b339d9c54bea44435c4d1c22f92f5571a45ca969b3f,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,NTA,714,0,ACCEPT_WITH_MODIFICATION|ACCEPT|ACCEPT,2,1,0,0,1,1,1,reader_1_noedge|reader_2_noedge|reader_3_noedge,1,1,3,0,0,1,,,,,3.333,17,29277,8321,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,NTA|NTA|NTA,NTA|NTA|NTA
multivendor,deliberation_ncot,third_person,7iMIsYuUEvH1jB0pVCTZdxRdaT9SGiTs,0,YTA,273,0.9634,scruples,NTA,0,0,1,1063,0a76992ca817ff1b8b66cd7a408f845a9e0b42e8797824e5ca016ba352563d46,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,ESH,829,1,ACCEPT_WITH_MODIFICATION|REJECT|ACCEPT,1,1,1,0,2,2,1,reader_2_noedge|reader_3_noedge,1,1,1,2,0,0,reader_1_noedge|reader_3_noedge,,,,5.0,17,28944,12845,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|NTA|ESH,YTA|NTA|ESH
multivendor,deliberation_ncot,third_person,84BfWnB9rWav5VlToKR0mi1MaYjY0RmS,0,YTA,116,0.9224,scruples,YTA,0,1,0,646,384a5a95765016914c394ef784f6f8f8b865ff7e0183b8994fbd4bc5a6be9ca0,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,810,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,,1,0,3,0,0,1,,,,,3.333,17,27304,9625,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,8ZF4h4DjLn13WMOXkFMKbLvifCXaf8Ia,0,YTA,486,0.928,scruples,ESH,0,1,0,881,ecabbcc7340175391ce1a380aca49a2748a653c3b7d553f8f6a0644387290935,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,ESH,863,0,REJECT|ACCEPT|ACCEPT,2,0,1,0,1,1,1,reader_1_noedge,1,1,2,1,0,0,reader_3_noedge,,,,3.333,17,24184,9945,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|ESH|ESH,YTA|ESH|ESH
multivendor,deliberation_ncot,third_person,8la6xEK2LWdJrpnp7w2dMqjY7E04XSgl,0,YTA,543,0.9632,scruples,YTA,0,1,0,745,bd1d72767e514e7dcdbd765971093e24adad8b01558be7473ba9d362a9959f36,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,746,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,,1,0,3,0,0,1,,,,,3.333,17,23372,8302,1,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|NOVERDICT,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,8pEVAec46HRymdNVxcfWnsT9yoXoVjyL,0,YTA,2208,0.9511,scruples,YTA,0,1,0,983,1bc1ca62efd79f21696faf6716c795f29602c6f0c4cb8c443601e60dcff9aa90,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,830,0,ACCEPT|REJECT|ACCEPT,2,0,1,0,1,1,1,reader_2_noedge,1,1,3,0,0,1,,,,,3.333,17,28527,10874,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|ESH|YTA,YTA|ESH|YTA
multivendor,deliberation_ncot,third_person,993xb3Y3qrGH3PDpD57nX1CX09nHnPDs,0,YTA,68,0.9118,scruples,YTA,0,1,0,1038,2a4131e323d90c7854b397d2d7e2fd5d5891a1c3a99a3983e5accff688aed8e6,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,875,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,reader_1_noedge|reader_2_noedge|reader_3_noedge,1,2,3,0,0,1,,,,,5.0,17,26055,11195,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,58,1.0,scruples,YTA,0,1,0,989,6a35f459ee1388e2cd12824d9e76f3774eb8727e1ba6a155ecb9b88d94284898,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,879,0,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,reader_2_noedge,1,1,3,0,0,1,,,,,3.333,17,28479,10685,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,BlgMT4VEKfuychLnH64yqmJCaQldSfsx,0,YTA,288,0.9757,scruples,NTA,0,0,1,958,74135d0e31b9656946e88a0c37cd6776f216ea936ba6f98cb0f92e58289dd8dc,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,ESH,739,1,REJECT|ACCEPT|REJECT,1,0,2,0,2,2,1,reader_2_noedge|reader_3_noedge,1,1,2,1,0,0,reader_1_noedge,,,,5.0,17,26824,11456,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|ESH|NAH,YTA|ESH|NAH
multivendor,deliberation_ncot,third_person,D3lPZSG7upBfsdDkQxc2XHHrjkaf4aun,0,YTA,131,0.916,scruples,YTA,0,1,0,613,63cee83554ecbc56a8f792bcb7a4ba10a410466bc4dc446e43cd0c879bf61782,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,797,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,,1,0,3,0,0,1,,,,,3.333,17,25842,9820,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,E2ZWGilcffORq92gQTOYcSKDDsHQ5RaP,0,YTA,105,0.9714,scruples,YTA,0,1,0,918,4d0be3135dae9209a69c5dbabbc46c6a4364577e6a9f3901f649322d2c4fbbaa,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,897,0,ACCEPT|ACCEPT|ACCEPT,3,0,0,0,0,0,0,,1,0,3,0,0,1,,,,,3.333,17,27105,10849,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,EO0BHi5fpPNHfuIIqmEF4G0d4GwEBYOy,0,YTA,50,0.96,scruples,YTA,0,1,0,718,9cccc24682bb910426143f930baf3362d7c0aa4eed0793f0f2bab5a60590c173,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,792,0,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,reader_2_noedge,1,1,3,0,0,1,,,,,3.333,17,20633,8374,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|ESH|YTA,YTA|ESH|YTA
multivendor,deliberation_ncot,third_person,FIJUfgOh00T24QPaDRILw1obqHuMa8cb,0,YTA,54,0.9444,scruples,ESH,0,1,0,796,b8dcdfdd659874bb2534dc1507560d09825c4866adc11fc9c12d3dee174a3cf3,,,1,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,ESH,920,0,ACCEPT_WITH_MODIFICATION|ACCEPT|ACCEPT,2,1,0,0,1,1,0,,0,1,2,1,0,0,reader_3_noedge,,,,3.667,17,37826,13544,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|ESH|ESH,YTA|ESH|ESH
multivendor,deliberation_ncot,third_person,GHeGh93JLtOcysz21TxQDa23ebrzQEY1,0,YTA,233,0.9313,scruples,YTA,0,1,0,1041,19303c7c940643390f0ea1271dc7117560ef722f7b49fe7ce1590919ce88a253,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,711,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|REJECT,0,2,1,0,3,3,2,reader_1_noedge|reader_2_noedge,1,2,2,1,0,0,reader_3_noedge,,,,5.0,17,30925,11586,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|NAH,YTA|YTA|NAH
multivendor,deliberation_ncot,third_person,HKQSGLsw1ICYTftYBS0vHoUdbZXeShk7,0,YTA,60,0.9,scruples,YTA,0,1,0,907,72ebc436b711dd67123de1306a885de30aa07b351fb5fe97460bd15d6def0050,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,678,0,ACCEPT_WITH_MODIFICATION|ACCEPT_WITH_MODIFICATION|ACCEPT,1,2,0,0,2,2,2,reader_1_noedge|reader_2_noedge|reader_3_noedge,1,2,3,0,0,1,,,,,3.333,17,22770,10031,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,NTA|NTA|YTA,YTA|NTA|YTA
multivendor,deliberation_ncot,third_person,HfW39dPEga4lxOoCdiO82f39nuZeTrKV,0,YTA,3498,0.9565,scruples,NTA,0,0,1,979,c6b8c1c4540c6fe9de5cc8a57beb772368079f72318bfa68df77f9d15417b528,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,NTA,956,0,REJECT|ACCEPT_WITH_MODIFICATION|ACCEPT,1,1,1,0,2,2,1,reader_2_noedge|reader_3_noedge,1,1,2,1,0,0,reader_1_noedge,,,,5.0,17,37720,14077,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|NTA|NTA,YTA|NTA|NTA
multivendor,deliberation_ncot,third_person,HwC1TLrHo3CiQmNnN5A5frZdGrJEdhia,0,YTA,78,0.9615,scruples,YTA,0,1,0,889,c72d044f42bcedc63b2c4590c06069da1df3113008d4c61d49b81c666823e348,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,753,0,ACCEPT|ACCEPT_WITH_MODIFICATION|ACCEPT,2,1,0,0,1,1,1,reader_2_noedge,1,1,3,0,0,1,,,,,5.0,17,27514,9792,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|YTA|YTA,YTA|YTA|YTA
multivendor,deliberation_ncot,third_person,I2ffaaso1ilcFQWUodBpu5dy7vubMFrw,0,YTA,92,0.9239,scruples,YTA,0,1,0,890,8ef3ea15860a7524a7b8484b981472054cde00dae7da8eb70bebf2ce20bce2e7,,,0,0,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,YTA,652,0,ACCEPT_WITH_MODIFICATION|REJECT|ACCEPT,1,1,1,0,2,1,1,reader_1_noedge,1,2,3,0,0,1,,,,,3.333,17,20141,9532,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|NTA|YTA,YTA|NTA|YTA
multivendor,deliberation_ncot,third_person,JSHY4tL1nqp0hIUy1MdkrgGjJdvcsQzY,0,YTA,71,0.9014,scruples,ESH,0,1,0,974,64d7f6b701e3d1f57bd014f064a87a989962345f0c3792c5ec345794d8c171c0,,,5,1,stop,0,r0_statement|r1_rebuttal|r2_restate|moderator_synthesis|r3_three_way_label|moderator_integration|r4_binary_vote,narrative_cot,0,none,,0,3,grok-4-1-fast-reasoning,ESH,743,0,REJECT|ACCEPT_WITH_MODIFICATION|ACCEPT,1,1,1,0,2,2,2,reader_1_noedge|reader_2_noedge|reader_3_noedge,1,1,2,1,0,0,reader_1_noedge,,,,5.0,17,33897,11790,0,0,claude-haiku-4-5|gpt-5.4-nano|grok-4-1-fast-reasoning,reader_1_noedge|reader_2_noedge|reader_3_noedge,YTA|NTA|ESH,YTA|NTA|ESH
