model,arm,item_id,sample_idx,subarm,gold_verdict,role_id,r3b_label,objected_r3b,modification_addressed,vote,vote_parsed,revised_r4b
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,blind,YTA,neutral_adjudicator,ACCEPT,0,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,blind,YTA,writer_advocate,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,blind,YTA,writer_advocate,ACCEPT,0,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,generic,YTA,counterparty,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,generic,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,generic,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,generic,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,generic,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,generic,YTA,writer_advocate,ACCEPT,0,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,informed,YTA,counterparty,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,informed,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,informed,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,informed,YTA,neutral_adjudicator,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,informed,YTA,writer_advocate,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,1,informed,YTA,writer_advocate,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,blind,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,blind,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,generic,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,generic,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,generic,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,informed,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,informed,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,2,informed,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,blind,YTA,counterparty,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,blind,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,generic,YTA,counterparty,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,generic,YTA,neutral_adjudicator,ACCEPT,0,0,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,generic,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,informed,YTA,counterparty,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,informed,YTA,neutral_adjudicator,ACCEPT,0,0,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2kLvahSkuJhANB5vzjbtISqyHaA19k2P,3,informed,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,blind,YTA,counterparty,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,blind,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,blind,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,generic,YTA,counterparty,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,generic,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,generic,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,generic,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,generic,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,generic,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,informed,YTA,counterparty,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,informed,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,informed,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,informed,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,informed,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,0,informed,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,blind,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,generic,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,generic,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,generic,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,informed,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,informed,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,1,informed,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,blind,YTA,counterparty,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,blind,YTA,writer_advocate,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,generic,YTA,counterparty,ACCEPT,0,0,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,generic,YTA,neutral_adjudicator,ACCEPT,0,0,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,generic,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,informed,YTA,counterparty,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,informed,YTA,neutral_adjudicator,ACCEPT,0,0,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,2,informed,YTA,writer_advocate,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,blind,YTA,neutral_adjudicator,ACCEPT_WITH_MODIFICATION,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,blind,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,generic,YTA,counterparty,REJECT,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,generic,YTA,neutral_adjudicator,ACCEPT_WITH_MODIFICATION,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,generic,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,informed,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,informed,YTA,neutral_adjudicator,ACCEPT_WITH_MODIFICATION,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2s50fh4M0KpriPyf4PCybWYlUf4sEDIo,3,informed,YTA,writer_advocate,REJECT,1,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,blind,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,blind,YTA,writer_advocate,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,generic,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,generic,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,generic,YTA,writer_advocate,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,informed,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,informed,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,informed,YTA,writer_advocate,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,blind,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,blind,YTA,neutral_adjudicator,REJECT,1,1,ACCEPT,1,1
grok-4-1-fast-reasoning,as_asker,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,blind,YTA,neutral_adjudicator,ACCEPT,0,1,ACCEPT,1,0
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,blind,YTA,writer_advocate,ACCEPT,0,0,REJECT,1,0
grok-4-1-fast-reasoning,as_asker,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,blind,YTA,writer_advocate,ACCEPT_WITH_MODIFICATION,1,1,REJECT,1,0
grok-4-1-fast-reasoning,third_person,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,1,generic,YTA,counterparty,REJECT,1,1,ACCEPT,1,1
