model,scaffold,arm,stake_nudge,stake_intervention,item_id,sample_idx,gold_verdict,role_id,paper_role,role_stake,group_verdict,group_at_fault,synthesis_verdict,r3_label,r3_label_parsed,r3_objection_kind,r3_objection_len,objected_r3,objection_unstated,modification_addressed,vote,reject,vote_parsed,revised_r4,stake_undermined,finish_reason,truncated,output_len,seat_index,seat_model,r0_verdict,r2_verdict,r0_output_len,r0_finish_reason
multivendor,narrative_cot,third_person,0,none,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,323,1,0,1,ACCEPT,0,1,1,0,stop,0,5114,2,gpt-5.4-nano,UNRESOLVED,UNRESOLVED,6174,stop
multivendor,narrative_cot,third_person,0,none,0hqzpR3kznERjnpcZt7dPaVnujNBYLqd,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,475,3,grok-4-1-fast-reasoning,YTA,YTA,5908,stop
multivendor,narrative_cot,third_person,0,none,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,end_turn,0,5687,1,claude-haiku-4-5,YTA,YTA,3764,end_turn
multivendor,narrative_cot,third_person,0,none,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,1872,2,gpt-5.4-nano,YTA,YTA,3619,stop
multivendor,narrative_cot,third_person,0,none,2zX5IZY4U74RAsvROg9IBm3oUGVYrfQd,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,504,3,grok-4-1-fast-reasoning,YTA,YTA,4180,stop
multivendor,narrative_cot,third_person,0,none,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,reader_1_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,156,1,0,1,ACCEPT,0,1,1,0,end_turn,0,3132,1,claude-haiku-4-5,ESH,ESH,4212,end_turn
multivendor,narrative_cot,third_person,0,none,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,reader_2_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,552,2,gpt-5.4-nano,ESH,ESH,4235,stop
multivendor,narrative_cot,third_person,0,none,3Q1FFalQAp8d4qvAMvkVPO36OLqtsFTu,0,YTA,reader_3_noedge,multivendor_reader,none,ESH,1,ESH,REJECT,1,,0,1,1,0,ACCEPT,0,1,1,0,stop,0,507,3,grok-4-1-fast-reasoning,YTA,YTA,1040,stop
multivendor,narrative_cot,third_person,0,none,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,reader_1_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,230,1,0,1,ACCEPT,0,1,1,0,end_turn,0,4617,1,claude-haiku-4-5,YTA,YTA,3515,end_turn
multivendor,narrative_cot,third_person,0,none,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,reader_2_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,185,1,0,1,ACCEPT,0,1,1,0,stop,0,1033,2,gpt-5.4-nano,YTA,YTA,4305,stop
multivendor,narrative_cot,third_person,0,none,43sSmixTBrgEvmpKmzIPbRDd9WC9SYmQ,0,YTA,reader_3_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,534,3,grok-4-1-fast-reasoning,ESH,ESH,749,stop
multivendor,narrative_cot,third_person,0,none,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,end_turn,0,4827,1,claude-haiku-4-5,YTA,YTA,4374,end_turn
multivendor,narrative_cot,third_person,0,none,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,REJECT,1,unresolvable,307,1,0,1,ACCEPT,0,1,1,0,stop,0,2936,2,gpt-5.4-nano,NTA,NTA,4991,stop
multivendor,narrative_cot,third_person,0,none,4XI2euRbAe0TfPhVeopLryljeMRDzpdZ,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,492,3,grok-4-1-fast-reasoning,YTA,YTA,6708,stop
multivendor,narrative_cot,third_person,0,none,4oS4VNOp3uT9c9O1wBW0xUqNT9cRv6dV,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,end_turn,0,3969,1,claude-haiku-4-5,YTA,YTA,3656,end_turn
multivendor,narrative_cot,third_person,0,none,4oS4VNOp3uT9c9O1wBW0xUqNT9cRv6dV,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,933,2,gpt-5.4-nano,YTA,YTA,3389,stop
multivendor,narrative_cot,third_person,0,none,4oS4VNOp3uT9c9O1wBW0xUqNT9cRv6dV,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,437,3,grok-4-1-fast-reasoning,YTA,YTA,797,stop
multivendor,narrative_cot,third_person,0,none,4kgy145GkVQdIoojVXjQwIZNf13Pccmp,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,end_turn,0,5007,1,claude-haiku-4-5,YTA,YTA,3499,end_turn
multivendor,narrative_cot,third_person,0,none,4kgy145GkVQdIoojVXjQwIZNf13Pccmp,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,223,1,0,1,ACCEPT,0,1,1,0,stop,0,421,2,gpt-5.4-nano,NTA,NTA,3436,stop
multivendor,narrative_cot,third_person,0,none,4kgy145GkVQdIoojVXjQwIZNf13Pccmp,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,463,3,grok-4-1-fast-reasoning,YTA,YTA,5871,stop
multivendor,narrative_cot,third_person,0,none,5LduKCIHclwrVTo3Wf4mM69FpY4I6V08,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,5055,1,claude-haiku-4-5,YTA,YTA,4078,end_turn
multivendor,narrative_cot,third_person,0,none,5LduKCIHclwrVTo3Wf4mM69FpY4I6V08,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,205,1,0,1,ACCEPT,0,1,1,0,stop,0,1939,2,gpt-5.4-nano,YTA,YTA,4206,stop
multivendor,narrative_cot,third_person,0,none,5LduKCIHclwrVTo3Wf4mM69FpY4I6V08,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,525,3,grok-4-1-fast-reasoning,YTA,YTA,4440,stop
multivendor,narrative_cot,third_person,0,none,5oLftSd1P6fHfJUBeACwP9MWjxqtBX8Y,0,YTA,reader_1_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,219,1,0,1,REJECT,1,1,0,0,end_turn,0,5529,1,claude-haiku-4-5,YTA,YTA,4994,end_turn
multivendor,narrative_cot,third_person,0,none,5oLftSd1P6fHfJUBeACwP9MWjxqtBX8Y,0,YTA,reader_2_noedge,multivendor_reader,none,ESH,1,ESH,REJECT,1,unresolvable,281,1,0,1,ACCEPT,0,1,1,0,stop,0,462,2,gpt-5.4-nano,NTA,NTA,5244,stop
multivendor,narrative_cot,third_person,0,none,5oLftSd1P6fHfJUBeACwP9MWjxqtBX8Y,0,YTA,reader_3_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,427,3,grok-4-1-fast-reasoning,ESH,ESH,5587,stop
multivendor,narrative_cot,third_person,0,none,6016mnV6uhdymJyK24PKbEZR5093e4hT,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,5228,1,claude-haiku-4-5,YTA,YTA,4437,end_turn
multivendor,narrative_cot,third_person,0,none,6016mnV6uhdymJyK24PKbEZR5093e4hT,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,274,1,0,1,ACCEPT,0,1,1,0,stop,0,3480,2,gpt-5.4-nano,YTA,YTA,4820,stop
multivendor,narrative_cot,third_person,0,none,6016mnV6uhdymJyK24PKbEZR5093e4hT,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,0,stop,0,437,3,grok-4-1-fast-reasoning,YTA,YTA,783,stop
multivendor,narrative_cot,third_person,0,none,65X1IysPHzSZiy1UKAt4tAmxhnIaJtCT,0,YTA,reader_1_noedge,multivendor_reader,none,NTA,0,NTA,ACCEPT_WITH_MODIFICATION,1,modification,315,1,0,1,ACCEPT,0,1,1,0,end_turn,0,3604,1,claude-haiku-4-5,NTA,NTA,4046,end_turn
multivendor,narrative_cot,third_person,0,none,65X1IysPHzSZiy1UKAt4tAmxhnIaJtCT,0,YTA,reader_2_noedge,multivendor_reader,none,NTA,0,NTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,494,2,gpt-5.4-nano,NTA,NTA,4504,stop
multivendor,narrative_cot,third_person,0,none,65X1IysPHzSZiy1UKAt4tAmxhnIaJtCT,0,YTA,reader_3_noedge,multivendor_reader,none,NTA,0,NTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,467,3,grok-4-1-fast-reasoning,NTA,NTA,912,stop
multivendor,narrative_cot,third_person,0,none,7iMIsYuUEvH1jB0pVCTZdxRdaT9SGiTs,0,YTA,reader_1_noedge,multivendor_reader,none,NTA,0,ESH,ACCEPT_WITH_MODIFICATION,1,modification,248,1,0,0,REJECT,1,1,0,0,end_turn,0,3705,1,claude-haiku-4-5,YTA,YTA,3911,end_turn
multivendor,narrative_cot,third_person,0,none,7iMIsYuUEvH1jB0pVCTZdxRdaT9SGiTs,0,YTA,reader_2_noedge,multivendor_reader,none,NTA,0,ESH,REJECT,1,unresolvable,273,1,0,1,ACCEPT,0,1,1,0,stop,0,1072,2,gpt-5.4-nano,NTA,NTA,5901,stop
multivendor,narrative_cot,third_person,0,none,7iMIsYuUEvH1jB0pVCTZdxRdaT9SGiTs,0,YTA,reader_3_noedge,multivendor_reader,none,NTA,0,ESH,ACCEPT,1,,0,0,0,1,REJECT,1,1,0,0,stop,0,628,3,grok-4-1-fast-reasoning,ESH,ESH,4968,stop
multivendor,narrative_cot,third_person,0,none,84BfWnB9rWav5VlToKR0mi1MaYjY0RmS,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,4918,1,claude-haiku-4-5,YTA,YTA,3863,end_turn
multivendor,narrative_cot,third_person,0,none,84BfWnB9rWav5VlToKR0mi1MaYjY0RmS,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,528,2,gpt-5.4-nano,YTA,YTA,3825,stop
multivendor,narrative_cot,third_person,0,none,84BfWnB9rWav5VlToKR0mi1MaYjY0RmS,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,447,3,grok-4-1-fast-reasoning,YTA,YTA,581,stop
multivendor,narrative_cot,third_person,0,none,8ZF4h4DjLn13WMOXkFMKbLvifCXaf8Ia,0,YTA,reader_1_noedge,multivendor_reader,none,ESH,1,ESH,REJECT,1,unresolvable,243,1,0,1,ACCEPT,0,1,1,0,end_turn,0,5210,1,claude-haiku-4-5,YTA,YTA,3936,end_turn
multivendor,narrative_cot,third_person,0,none,8ZF4h4DjLn13WMOXkFMKbLvifCXaf8Ia,0,YTA,reader_2_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,1447,2,gpt-5.4-nano,ESH,ESH,4930,stop
multivendor,narrative_cot,third_person,0,none,8ZF4h4DjLn13WMOXkFMKbLvifCXaf8Ia,0,YTA,reader_3_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,0,stop,0,494,3,grok-4-1-fast-reasoning,ESH,ESH,918,stop
multivendor,narrative_cot,third_person,0,none,8la6xEK2LWdJrpnp7w2dMqjY7E04XSgl,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,3577,1,claude-haiku-4-5,YTA,YTA,3739,end_turn
multivendor,narrative_cot,third_person,0,none,8la6xEK2LWdJrpnp7w2dMqjY7E04XSgl,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,395,2,gpt-5.4-nano,YTA,YTA,3909,stop
multivendor,narrative_cot,third_person,0,none,8la6xEK2LWdJrpnp7w2dMqjY7E04XSgl,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,511,3,grok-4-1-fast-reasoning,NOVERDICT,YTA,0,content_filter
multivendor,narrative_cot,third_person,0,none,8pEVAec46HRymdNVxcfWnsT9yoXoVjyL,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,3823,1,claude-haiku-4-5,YTA,YTA,3768,end_turn
multivendor,narrative_cot,third_person,0,none,8pEVAec46HRymdNVxcfWnsT9yoXoVjyL,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,REJECT,1,unresolvable,225,1,0,1,ACCEPT,0,1,1,0,stop,0,458,2,gpt-5.4-nano,ESH,ESH,4737,stop
multivendor,narrative_cot,third_person,0,none,8pEVAec46HRymdNVxcfWnsT9yoXoVjyL,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,463,3,grok-4-1-fast-reasoning,YTA,YTA,1175,stop
multivendor,narrative_cot,third_person,0,none,993xb3Y3qrGH3PDpD57nX1CX09nHnPDs,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,276,1,0,1,ACCEPT,0,1,1,0,end_turn,0,4814,1,claude-haiku-4-5,YTA,YTA,4040,end_turn
multivendor,narrative_cot,third_person,0,none,993xb3Y3qrGH3PDpD57nX1CX09nHnPDs,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,210,1,0,1,ACCEPT,0,1,1,0,stop,0,360,2,gpt-5.4-nano,YTA,YTA,3172,stop
multivendor,narrative_cot,third_person,0,none,993xb3Y3qrGH3PDpD57nX1CX09nHnPDs,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,590,3,grok-4-1-fast-reasoning,YTA,YTA,4666,stop
multivendor,narrative_cot,third_person,0,none,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,6933,1,claude-haiku-4-5,YTA,YTA,5390,end_turn
multivendor,narrative_cot,third_person,0,none,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,165,1,0,1,ACCEPT,0,1,1,0,stop,0,416,2,gpt-5.4-nano,YTA,YTA,2972,stop
multivendor,narrative_cot,third_person,0,none,9xSsphiOU8mwVy8FgJJJcOHFRNQv0LLP,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,599,3,grok-4-1-fast-reasoning,YTA,YTA,1085,stop
multivendor,narrative_cot,third_person,0,none,BlgMT4VEKfuychLnH64yqmJCaQldSfsx,0,YTA,reader_1_noedge,multivendor_reader,none,NTA,0,ESH,REJECT,1,unresolvable,153,1,0,0,REJECT,1,1,0,0,end_turn,0,5025,1,claude-haiku-4-5,YTA,YTA,3730,end_turn
multivendor,narrative_cot,third_person,0,none,BlgMT4VEKfuychLnH64yqmJCaQldSfsx,0,YTA,reader_2_noedge,multivendor_reader,none,NTA,0,ESH,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,444,2,gpt-5.4-nano,ESH,ESH,3910,stop
multivendor,narrative_cot,third_person,0,none,BlgMT4VEKfuychLnH64yqmJCaQldSfsx,0,YTA,reader_3_noedge,multivendor_reader,none,NTA,0,ESH,REJECT,1,unresolvable,206,1,0,1,ACCEPT,0,1,1,0,stop,0,370,3,grok-4-1-fast-reasoning,NAH,NAH,5182,stop
multivendor,narrative_cot,third_person,0,none,D3lPZSG7upBfsdDkQxc2XHHrjkaf4aun,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,2950,1,claude-haiku-4-5,YTA,YTA,5656,end_turn
multivendor,narrative_cot,third_person,0,none,D3lPZSG7upBfsdDkQxc2XHHrjkaf4aun,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,433,2,gpt-5.4-nano,YTA,YTA,3815,stop
multivendor,narrative_cot,third_person,0,none,D3lPZSG7upBfsdDkQxc2XHHrjkaf4aun,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,392,3,grok-4-1-fast-reasoning,YTA,YTA,1100,stop
multivendor,narrative_cot,third_person,0,none,E2ZWGilcffORq92gQTOYcSKDDsHQ5RaP,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,4235,1,claude-haiku-4-5,YTA,YTA,4862,end_turn
multivendor,narrative_cot,third_person,0,none,E2ZWGilcffORq92gQTOYcSKDDsHQ5RaP,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,384,2,gpt-5.4-nano,YTA,YTA,5502,stop
multivendor,narrative_cot,third_person,0,none,E2ZWGilcffORq92gQTOYcSKDDsHQ5RaP,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,500,3,grok-4-1-fast-reasoning,YTA,YTA,935,stop
multivendor,narrative_cot,third_person,0,none,EO0BHi5fpPNHfuIIqmEF4G0d4GwEBYOy,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,end_turn,0,3497,1,claude-haiku-4-5,YTA,YTA,3025,end_turn
multivendor,narrative_cot,third_person,0,none,EO0BHi5fpPNHfuIIqmEF4G0d4GwEBYOy,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,205,1,0,1,ACCEPT,0,1,1,0,stop,0,3138,2,gpt-5.4-nano,ESH,ESH,3876,stop
multivendor,narrative_cot,third_person,0,none,EO0BHi5fpPNHfuIIqmEF4G0d4GwEBYOy,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,435,3,grok-4-1-fast-reasoning,YTA,YTA,1150,stop
multivendor,narrative_cot,third_person,0,none,FIJUfgOh00T24QPaDRILw1obqHuMa8cb,0,YTA,reader_1_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT_WITH_MODIFICATION,1,modification,328,1,0,0,ACCEPT,0,1,1,0,end_turn,0,5922,1,claude-haiku-4-5,YTA,YTA,5448,end_turn
multivendor,narrative_cot,third_person,0,none,FIJUfgOh00T24QPaDRILw1obqHuMa8cb,0,YTA,reader_2_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,ACCEPT,0,1,0,0,stop,0,535,2,gpt-5.4-nano,ESH,ESH,6344,stop
multivendor,narrative_cot,third_person,0,none,FIJUfgOh00T24QPaDRILw1obqHuMa8cb,0,YTA,reader_3_noedge,multivendor_reader,none,ESH,1,ESH,ACCEPT,1,,0,0,0,0,REJECT,1,1,0,0,stop,0,441,3,grok-4-1-fast-reasoning,ESH,ESH,1254,stop
multivendor,narrative_cot,third_person,0,none,GHeGh93JLtOcysz21TxQDa23ebrzQEY1,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,281,1,0,1,ACCEPT,0,1,1,0,end_turn,0,4324,1,claude-haiku-4-5,YTA,YTA,3616,end_turn
multivendor,narrative_cot,third_person,0,none,GHeGh93JLtOcysz21TxQDa23ebrzQEY1,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,162,1,0,1,ACCEPT,0,1,1,0,stop,0,472,2,gpt-5.4-nano,YTA,YTA,5264,stop
multivendor,narrative_cot,third_person,0,none,GHeGh93JLtOcysz21TxQDa23ebrzQEY1,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,REJECT,1,unresolvable,290,1,0,0,REJECT,1,1,0,0,stop,0,527,3,grok-4-1-fast-reasoning,NAH,NAH,5103,stop
multivendor,narrative_cot,third_person,0,none,HKQSGLsw1ICYTftYBS0vHoUdbZXeShk7,0,YTA,reader_1_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,245,1,0,1,ACCEPT,0,1,1,0,end_turn,0,3822,1,claude-haiku-4-5,NTA,YTA,3445,end_turn
multivendor,narrative_cot,third_person,0,none,HKQSGLsw1ICYTftYBS0vHoUdbZXeShk7,0,YTA,reader_2_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT_WITH_MODIFICATION,1,modification,195,1,0,1,ACCEPT,0,1,1,0,stop,0,3259,2,gpt-5.4-nano,NTA,NTA,4273,stop
multivendor,narrative_cot,third_person,0,none,HKQSGLsw1ICYTftYBS0vHoUdbZXeShk7,0,YTA,reader_3_noedge,multivendor_reader,none,YTA,1,YTA,ACCEPT,1,,0,0,0,1,ACCEPT,0,1,0,0,stop,0,496,3,grok-4-1-fast-reasoning,YTA,YTA,1161,stop
multivendor,narrative_cot,third_person,0,none,HfW39dPEga4lxOoCdiO82f39nuZeTrKV,0,YTA,reader_1_noedge,multivendor_reader,none,NTA,0,NTA,REJECT,1,unresolvable,209,1,0,0,REJECT,1,1,0,0,end_turn,0,5847,1,claude-haiku-4-5,YTA,YTA,7567,end_turn
