gen,proxy,n,diff,lo,hi,dz,W,pos,comp
grok-4-1-fast-reasoning,gzip,144,0.004552176558776713,0.00016577627761764707,0.008782739779129224,0.19314320981142113,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,lzma,144,0.006965041841683022,0.0028301517978987483,0.011036162304997554,0.34290166257390137,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,h_char5,144,0.010850579403549141,0.003460003913632843,0.018251459058339747,0.2823204185362108,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,hrate_k5,144,-0.009274434836405733,-0.013777240556061904,-0.004004554897587117,-0.36982132166427173,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,mattr50,144,-0.001118541637573379,-0.010278531010438347,0.008038001410793527,-0.02708501791363036,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,mean_sent_words,144,2.6732638888888887,1.3076765046296295,4.112663626056483,0.4574621637985628,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,mean_word_len,144,-0.08003645913897016,-0.15963494389575886,-0.0036163515320055202,-0.18432422333558146,300,head,NoT_vs_CoT
grok-4-1-fast-reasoning,comma_per_word,144,0.008777442467343213,0.0022313218241898866,0.015154275767061479,0.2767840200228527,300,head,NoT_vs_CoT
POOLED,gzip,140,0.008394359679469793,0.006059168989858004,0.0108169411912706,0.38724701916236187,300,head,NoT_vs_CoT
POOLED,lzma,140,0.005260555670083844,0.002791320492798815,0.007690988223317899,0.23692536790076288,300,head,NoT_vs_CoT
POOLED,h_char5,140,0.01316487097552526,0.00834160664094848,0.01793193806107112,0.29039388352753176,300,head,NoT_vs_CoT
POOLED,hrate_k5,140,-0.010766352625407944,-0.013482691520928694,-0.007800677301133562,-0.4277957975762249,300,head,NoT_vs_CoT
POOLED,mattr50,140,-0.013608822227395312,-0.019371906678964913,-0.007989023958970866,-0.27429841256574783,300,head,NoT_vs_CoT
POOLED,mean_sent_words,140,0.32603073686371087,-0.7671952150652258,1.3800043617175126,0.035847165960980525,300,head,NoT_vs_CoT
POOLED,mean_word_len,140,-0.040184506502770855,-0.0872414295696415,0.007820411537629442,-0.09478222834380022,300,head,NoT_vs_CoT
POOLED,comma_per_word,140,0.010450832828655488,0.006996271141603581,0.013723983814904068,0.36133408937718003,300,head,NoT_vs_CoT
claude-haiku-4-5,gzip,150,0.00987134508089963,0.005481385223234928,0.013980941146869725,0.530814890440603,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,lzma,150,0.006161978651871429,0.0014551408807936903,0.010286513537866101,0.3447838367025313,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,h_char5,150,0.0006527128376431198,-0.008503568110035437,0.009265195229159074,0.0181597798886376,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,hrate_k5,150,-0.012487237406418635,-0.017207830251625804,-0.007489717689166004,-0.5101363972003612,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,mattr50,150,-0.017744698103281924,-0.027700229711211066,-0.00806103658695868,-0.4238572764251933,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,mean_sent_words,150,-0.9867777777777776,-2.519127777777778,0.4243916666666663,-0.12665145232316966,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,mean_word_len,150,-0.06237112710202072,-0.15836589415674626,0.033268202295450994,-0.14345624387372438,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,comma_per_word,150,0.007256018284612902,0.0013076487292367374,0.012962260660086123,0.2790486490429655,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,gzip,150,0.02095241607970408,0.016719879811719532,0.025388413430811472,0.9115036516497182,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,lzma,150,0.008960025753193778,0.00438820524155437,0.01357408967505092,0.3610108198772578,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,h_char5,150,0.0142832897636202,0.004337707297588204,0.024173476767695434,0.2750005959870782,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,hrate_k5,150,-0.017732412150964175,-0.022474765080739714,-0.013116526727062231,-0.7055670712468288,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,mattr50,150,-0.0189980692363678,-0.030295956895148402,-0.007541318626288499,-0.3431476992588702,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,mean_sent_words,150,0.3161111111111112,-1.625905555555556,2.1856333333333318,0.034247336341249525,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,mean_word_len,150,-0.06233877113515742,-0.1403164187002954,0.019324512601380336,-0.13834399480576334,300,head,NoT_vs_VERBOSE
claude-sonnet-4-6,comma_per_word,150,0.02194784645745232,0.01620967451957837,0.027844643278484012,0.9592718428953452,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,gzip,114,0.004923702895681934,0.0004353912778275879,0.008950876471541585,0.24463331781929418,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,lzma,114,0.0012714676345188212,-0.003920142311344375,0.00612575644434895,0.056344210266173506,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,h_char5,114,0.0011672665984690162,-0.007789869919759046,0.010217165663725703,0.029434313435478893,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,hrate_k5,114,-0.009867481820681766,-0.016399849182407812,-0.0030231112037249364,-0.37378720608864524,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,mattr50,114,-0.0231419960994542,-0.03533840668439539,-0.010649255759075337,-0.4632912436215951,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,mean_sent_words,114,5.065058479532162,3.0537433712121214,7.135366479925302,0.6622091127060591,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,mean_word_len,114,-0.19734053487430323,-0.28348630225822274,-0.11626326099733639,-0.5593557524736612,300,head,NoT_vs_VERBOSE
gpt-5.4-nano,comma_per_word,114,-0.00022386789860822696,-0.007176557460616457,0.006762570169073025,-0.007386135511020765,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,gzip,137,0.015298095077011667,0.01054001359605937,0.01966331031608597,0.8260499725616766,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,lzma,137,0.012713727244339418,0.008340304689180093,0.017155044629493656,0.6645808288457448,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,h_char5,137,0.005333985069140419,-0.0036831381869055304,0.0138611803713698,0.1328303406828282,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,hrate_k5,137,-0.01484501961338174,-0.01979431598887206,-0.009821871206376195,-0.6762339822196485,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,mattr50,137,-0.02211726196812835,-0.03136787753536159,-0.0131630961436608,-0.7007488285478869,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,mean_sent_words,137,-0.6717761557177614,-2.375324561403509,0.9750364963503639,-0.09191099028201587,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,mean_word_len,137,-0.6612729655648228,-0.7653496495288519,-0.5601504109055747,-1.4108037770550872,300,head,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,comma_per_word,137,-0.037191020348293906,-0.047194865886766676,-0.026916219407926868,-0.7135357325176617,300,head,NoT_vs_VERBOSE
POOLED,gzip,137,0.012761389783324329,0.010416631013450802,0.014968299125797446,0.636242814079263,300,head,NoT_vs_VERBOSE
POOLED,lzma,137,0.007276799820980862,0.0047064455601901105,0.00987384320875129,0.34492189886993607,300,head,NoT_vs_VERBOSE
POOLED,h_char5,137,0.005359313567218188,0.0003895179703292574,0.01037087119349552,0.12783483644810725,300,head,NoT_vs_VERBOSE
POOLED,hrate_k5,137,-0.01373303774786158,-0.016617890292400832,-0.010657084695716185,-0.560752298959332,300,head,NoT_vs_VERBOSE
POOLED,mattr50,137,-0.020500506351808067,-0.02597529013537191,-0.014834512729308327,-0.4587717663340548,300,head,NoT_vs_VERBOSE
POOLED,mean_sent_words,137,0.9306539142869336,-0.010305431026105484,1.8610249565742731,0.11640725170067957,300,head,NoT_vs_VERBOSE
POOLED,mean_word_len,137,-0.24583084966907603,-0.29899244335614666,-0.19585976936815705,-0.5760866260346713,300,head,NoT_vs_VERBOSE
POOLED,comma_per_word,137,-0.0020527558762092283,-0.005759781852351036,0.0018708038089329342,-0.06252980507296681,300,head,NoT_vs_VERBOSE
claude-haiku-4-5,gzip,150,-0.009402821724509148,-0.01432654198659504,-0.004500069355307665,-0.4541372185546544,300,mid,NoT_vs_CoT
claude-haiku-4-5,lzma,150,-0.009457002951860307,-0.014827199718775618,-0.004123390475771165,-0.44386969787891556,300,mid,NoT_vs_CoT
claude-haiku-4-5,h_char5,150,-0.022827582075855193,-0.03474666741093628,-0.011515722095769308,-0.4870624621306738,300,mid,NoT_vs_CoT
claude-haiku-4-5,hrate_k5,150,-0.0026549202694708313,-0.007613822364532585,0.002391739654619547,-0.11543059232109643,300,mid,NoT_vs_CoT
claude-haiku-4-5,mattr50,150,-0.014676210516708175,-0.025811308791902056,-0.003896999682213013,-0.2737153923097005,300,mid,NoT_vs_CoT
claude-haiku-4-5,mean_sent_words,150,-5.261661375661376,-8.306925595238095,-2.285858597883598,-0.36760470976765014,300,mid,NoT_vs_CoT
claude-haiku-4-5,mean_word_len,150,0.16736567148355183,0.05943027033197137,0.27337783792483306,0.3531448708423934,300,mid,NoT_vs_CoT
claude-haiku-4-5,comma_per_word,150,0.0004938142891227422,-0.007003635802232509,0.007696944564782431,0.01612427186985324,300,mid,NoT_vs_CoT
claude-sonnet-4-6,gzip,150,0.006578578551069623,0.000860260342681697,0.011894049186627717,0.30534361508948044,300,mid,NoT_vs_CoT
claude-sonnet-4-6,lzma,150,-0.005742699044654206,-0.012072862718875907,4.430804919366639e-05,-0.23584843310874212,300,mid,NoT_vs_CoT
claude-sonnet-4-6,h_char5,150,-0.014768151255369127,-0.031833791650639605,0.0025768041467935316,-0.20692928331029958,300,mid,NoT_vs_CoT
claude-sonnet-4-6,hrate_k5,150,-0.007299856030334137,-0.012897574796215902,-0.001662262030556387,-0.2835975770133161,300,mid,NoT_vs_CoT
claude-sonnet-4-6,mattr50,150,-0.03617428988576239,-0.04776511585065819,-0.024121933334690773,-0.6609973425431515,300,mid,NoT_vs_CoT
claude-sonnet-4-6,mean_sent_words,150,-15.460436507936508,-18.133813888888888,-12.803804761904761,-1.0356384244480001,300,mid,NoT_vs_CoT
claude-sonnet-4-6,mean_word_len,150,-0.24447456212626834,-0.3423856088174154,-0.14352569742096877,-0.45828336004797454,300,mid,NoT_vs_CoT
claude-sonnet-4-6,comma_per_word,150,0.01569410687356064,0.008845313937041762,0.022138906295224355,0.5955954094083286,300,mid,NoT_vs_CoT
gpt-5.4-nano,gzip,116,-0.0006138757924647369,-0.006749060681517227,0.0057997294384631685,-0.024635573598230896,300,mid,NoT_vs_CoT
gpt-5.4-nano,lzma,116,0.005037723375057593,-0.0016824685092790182,0.012103111383578632,0.18535274225807827,300,mid,NoT_vs_CoT
gpt-5.4-nano,h_char5,116,-0.005559318226779962,-0.019056419761140586,0.00907660457014881,-0.10332307062301115,300,mid,NoT_vs_CoT
gpt-5.4-nano,hrate_k5,116,-0.008476484864914518,-0.014681010641393676,-0.002821262208247641,-0.3426539272001336,300,mid,NoT_vs_CoT
gpt-5.4-nano,mattr50,116,0.015059577503210653,-0.0005429585934626588,0.030676605429755876,0.24585091705344264,300,mid,NoT_vs_CoT
gpt-5.4-nano,mean_sent_words,116,-5.484770114942528,-7.77704845890883,-3.3521206709956726,-0.4747769624479428,300,mid,NoT_vs_CoT
gpt-5.4-nano,mean_word_len,116,0.2740291986252756,0.16526741404957193,0.3827039207853579,0.5009564512713334,300,mid,NoT_vs_CoT
gpt-5.4-nano,comma_per_word,116,0.005427605857682245,-0.0032456058878127256,0.013571068537952233,0.1558651366445117,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,gzip,144,-0.017194526263685242,-0.0238830892265833,-0.011042477302492235,-0.6003315681608274,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,lzma,144,-0.010307792790514124,-0.017557757483013005,-0.0029049959629683405,-0.3106643794387027,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,h_char5,144,0.002041854090088613,-0.02008342770073724,0.02647306541510528,0.016682904614328007,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,hrate_k5,144,-0.0031486760991887653,-0.009628176679023652,0.0029288414928647496,-0.09502357799876479,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,mattr50,144,0.003297333507720974,-0.006869111689789851,0.013614564790514542,0.0694620014546542,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,mean_sent_words,144,0.9313712522045855,-0.3972208755856017,2.2338120455078565,0.125751557093175,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,mean_word_len,144,0.40529376780896614,0.29266897837480405,0.5229437308169425,0.890038712490504,300,mid,NoT_vs_CoT
grok-4-1-fast-reasoning,comma_per_word,144,0.017844916056500487,0.00909440633870569,0.027124702964768876,0.44798210528385274,300,mid,NoT_vs_CoT
POOLED,gzip,140,-0.005158161307397376,-0.00814347455227141,-0.0023433810285122692,-0.21535044735833922,300,mid,NoT_vs_CoT
POOLED,lzma,140,-0.005117442852992761,-0.008246615395129966,-0.0018589936772183554,-0.19308579261150058,300,mid,NoT_vs_CoT
POOLED,h_char5,140,-0.010278299366978917,-0.018575999057909416,-0.0011490255258121587,-0.1396350690643584,300,mid,NoT_vs_CoT
POOLED,hrate_k5,140,-0.0053949843159770625,-0.00833832255829038,-0.0025445114062907404,-0.20241220537102436,300,mid,NoT_vs_CoT
POOLED,mattr50,140,-0.008123397347884734,-0.014177065405596543,-0.0018579345301467398,-0.1496918551998891,300,mid,NoT_vs_CoT
POOLED,mean_sent_words,140,-6.318874186583956,-7.386026357806348,-5.2782258118536935,-0.5243821645122657,300,mid,NoT_vs_CoT
POOLED,mean_word_len,140,0.1505535189478813,0.09550302990643951,0.2063762821471218,0.2996440424228832,300,mid,NoT_vs_CoT
POOLED,comma_per_word,140,0.009865110769216529,0.005746922457481807,0.014058843534480897,0.29977792908216067,300,mid,NoT_vs_CoT
claude-haiku-4-5,gzip,150,-0.0027343384150435492,-0.00789234089947527,0.002454704633179705,-0.10824532386457726,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,lzma,150,-0.004328743834382334,-0.010472242970665492,0.00149114130434797,-0.1518813451571492,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,h_char5,150,-0.012511874089778358,-0.027540692555235807,0.002159876782763941,-0.19475612008520085,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,hrate_k5,150,-0.006745972170980522,-0.012904256840396821,-0.00030063904098465497,-0.23088376154082454,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,mattr50,150,-0.0031870037009639396,-0.014846797409383591,0.007990382653603152,-0.056616899898924475,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,mean_sent_words,150,-2.9411245791245793,-6.064064628427128,0.16674897186147083,-0.21480439443061353,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,mean_word_len,150,0.16924677077314995,0.06611490900426932,0.2729325333052335,0.37192111772059155,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,comma_per_word,150,0.004421132206800581,-0.002914942256892057,0.011998243137537109,0.15246974063446533,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,gzip,150,0.00763676513319602,0.0023033231730919587,0.012766173381718487,0.3439370196963487,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,lzma,150,-0.0026145331618765734,-0.008659469444664277,0.0032545417307067973,-0.09573930326044901,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,h_char5,150,-0.011494776524008371,-0.026456963873334127,0.0029219637458102114,-0.16505781934700786,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,hrate_k5,150,-0.006141539466655413,-0.012029768286315305,-0.00045894310236098933,-0.22336851943695774,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,mattr50,150,-0.025566306416661813,-0.03810258149294065,-0.013237429822063235,-0.448258620201466,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,mean_sent_words,150,-14.963047619047616,-17.519993055555556,-12.366097817460318,-1.027192477430402,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,mean_word_len,150,-0.16480358442125737,-0.2678758542590616,-0.062371076921925075,-0.3190231496785292,300,mid,NoT_vs_VERBOSE
claude-sonnet-4-6,comma_per_word,150,0.014930490457033997,0.008957188013013638,0.02144707499050681,0.5802235181087301,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,gzip,114,-0.0015648485961523213,-0.007502047265688975,0.004216327196541661,-0.06770417691370653,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,lzma,114,0.000904635888263924,-0.0058341567021579655,0.00744072770892187,0.03303483722779757,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,h_char5,114,-0.012029451160662862,-0.0261287459837908,0.0016695324546744956,-0.25304050530219235,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,hrate_k5,114,-0.008338303629726991,-0.014097500532755483,-0.0022018351416301786,-0.34220177248673966,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,mattr50,114,0.012920481880787945,-0.001223356168594281,0.02693539891547831,0.23215406279814826,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,mean_sent_words,114,-4.986706349206349,-6.882619831265839,-3.133393020482277,-0.4944505024012927,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,mean_word_len,114,0.2669616871108232,0.1633682318269103,0.37327570631558804,0.5073747848106901,300,mid,NoT_vs_VERBOSE
gpt-5.4-nano,comma_per_word,114,0.0014463151890988974,-0.007472864225072057,0.010491969696787812,0.03695161919425663,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,gzip,137,-0.013736806603572795,-0.01978041863379016,-0.007763568658101291,-0.5260503118875023,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,lzma,137,-0.0075738244757270696,-0.014330886740232914,-0.0008649490520275629,-0.25562932386896725,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,h_char5,137,-0.005048732865908783,-0.026154064703592054,0.017943214868682698,-0.045086642308017184,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,hrate_k5,137,0.003980326640555535,-0.002204013697191053,0.009883761319569135,0.13245043326259137,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,mattr50,137,-0.03061810839572721,-0.039242446746912595,-0.02235291574015339,-0.8894688833298762,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,mean_sent_words,137,3.266188474947599,2.13484836210826,4.426339643906133,0.7941672099061984,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,mean_word_len,137,-0.29827501332724565,-0.42546938374433607,-0.16236390740143072,-0.5466773435594356,300,mid,NoT_vs_VERBOSE
grok-4-1-fast-reasoning,comma_per_word,137,0.020447107138206008,0.011659816016957756,0.029317652396826252,0.6150667947946249,300,mid,NoT_vs_VERBOSE
POOLED,gzip,137,-0.002599807120393161,-0.005520411501469376,0.00041353497280614506,-0.10755152470749813,300,mid,NoT_vs_VERBOSE
POOLED,lzma,137,-0.0034031163959305135,-0.006692206673844772,9.89316543472564e-07,-0.12065418513354442,300,mid,NoT_vs_VERBOSE
POOLED,h_char5,137,-0.010271208660089593,-0.01880403968536102,-0.0014008543312474021,-0.14002877401709773,300,mid,NoT_vs_VERBOSE
POOLED,hrate_k5,137,-0.004311372156701848,-0.007559378243926631,-0.0010758101603309971,-0.155181318913735,300,mid,NoT_vs_VERBOSE
POOLED,mattr50,137,-0.011612734158141253,-0.017805418000529146,-0.005190763567175407,-0.22836888733852068,300,mid,NoT_vs_VERBOSE
POOLED,mean_sent_words,137,-4.906172518107736,-6.034930846223995,-3.735713323557696,-0.46222383470754014,300,mid,NoT_vs_VERBOSE
POOLED,mean_word_len,137,-0.006717534966132463,-0.05963781535087126,0.04753364746074557,-0.013149552581661731,300,mid,NoT_vs_VERBOSE
POOLED,comma_per_word,137,0.010311261247784871,0.006432752448811667,0.014459957776225335,0.32447391959392546,300,mid,NoT_vs_VERBOSE
claude-haiku-4-5,gzip,150,-0.00534907405906528,-0.009301984520034738,-0.0016947166445861516,-0.26278642459299323,500,head,NoT_vs_CoT
claude-haiku-4-5,lzma,150,-0.00576845932435429,-0.010008445123552269,-0.001892165653009973,-0.2675422922952027,500,head,NoT_vs_CoT
claude-haiku-4-5,h_char5,150,-0.0018345262026875748,-0.012772273718148482,0.008932233310392803,-0.03249256301956418,500,head,NoT_vs_CoT
claude-haiku-4-5,hrate_k5,150,-0.002718679560402283,-0.007641634577230772,0.002408823362147948,-0.10833121975656312,500,head,NoT_vs_CoT
claude-haiku-4-5,mattr50,150,-0.018923559123530297,-0.027689660483269384,-0.009733188335541758,-0.4024477416059733,500,head,NoT_vs_CoT
claude-haiku-4-5,mean_sent_words,150,-10.34463492063492,-13.267262367724866,-7.549428571428578,-0.553894916004514,500,head,NoT_vs_CoT
claude-haiku-4-5,mean_word_len,150,0.19864834050749886,0.11891067618458347,0.2788693225666864,0.47509849730945997,500,head,NoT_vs_CoT
claude-haiku-4-5,comma_per_word,150,0.009308135132258701,0.0036211027881609898,0.01493042611593498,0.31421065218076916,500,head,NoT_vs_CoT
claude-sonnet-4-6,gzip,150,0.009993619321244615,0.006944076480361139,0.013214463157124582,0.585628824101978,500,head,NoT_vs_CoT
claude-sonnet-4-6,lzma,150,0.001741065148010607,-0.0016692290018111519,0.005279390261196023,0.0932193221345009,500,head,NoT_vs_CoT
claude-sonnet-4-6,h_char5,150,0.006153575272443277,-0.004142715062671232,0.017354121914632068,0.12053518787887899,500,head,NoT_vs_CoT
claude-sonnet-4-6,hrate_k5,150,-0.014916087630840975,-0.020047310234491703,-0.010283020973853568,-0.5493781830340162,500,head,NoT_vs_CoT
claude-sonnet-4-6,mattr50,150,-0.03236491777548259,-0.04125755230860703,-0.022672145711937906,-0.6309183774645498,500,head,NoT_vs_CoT
claude-sonnet-4-6,mean_sent_words,150,-13.948880952380954,-17.217464682539685,-10.931377182539686,-0.7178795401655488,500,head,NoT_vs_CoT
claude-sonnet-4-6,mean_word_len,150,-0.19354607655592673,-0.27154532096473644,-0.11391489772746778,-0.4351416731163585,500,head,NoT_vs_CoT
claude-sonnet-4-6,comma_per_word,150,0.019548432032974225,0.014642224327245023,0.02419378509332812,0.8986953997046206,500,head,NoT_vs_CoT
gpt-5.4-nano,gzip,116,0.005862355698426521,0.0020802735861949187,0.009566162221797903,0.35749808884737283,500,head,NoT_vs_CoT
gpt-5.4-nano,lzma,116,0.0038545485241575973,-0.0007221323438655096,0.008179701212903913,0.2081509126329589,500,head,NoT_vs_CoT
gpt-5.4-nano,h_char5,116,0.013270023242136782,0.0019651378781603323,0.024573693326655266,0.2950198982305558,500,head,NoT_vs_CoT
gpt-5.4-nano,hrate_k5,116,-0.012577175709357779,-0.01795440432010236,-0.006966338044904868,-0.48825806016776635,500,head,NoT_vs_CoT
gpt-5.4-nano,mattr50,116,-0.017979658196082424,-0.028749058505073043,-0.007667360770364216,-0.3737087655780388,500,head,NoT_vs_CoT
gpt-5.4-nano,mean_sent_words,116,4.2528222495894905,2.3497057525976666,6.194139803462367,0.6217363238451605,500,head,NoT_vs_CoT
gpt-5.4-nano,mean_word_len,116,-0.0668771093102439,-0.13404935797534756,0.004063743781104776,-0.20028130322168494,500,head,NoT_vs_CoT
gpt-5.4-nano,comma_per_word,116,0.010213866321443941,0.004186390964681484,0.01595895159082233,0.41324094272252204,500,head,NoT_vs_CoT
grok-4-1-fast-reasoning,gzip,144,-0.003635918974393187,-0.007012077397012503,-0.0003093611810597987,-0.17859889538013213,500,head,NoT_vs_CoT
grok-4-1-fast-reasoning,lzma,144,-0.0011868364684719484,-0.004426776460706167,0.0019876953996211177,-0.06378894977517914,500,head,NoT_vs_CoT
grok-4-1-fast-reasoning,h_char5,144,0.005097303470366953,-0.002504031802396991,0.012596428546854537,0.12934279125898587,500,head,NoT_vs_CoT
grok-4-1-fast-reasoning,hrate_k5,144,-0.0060059433377223715,-0.010440945339514741,-0.0014246363569549452,-0.2175552131567489,500,head,NoT_vs_CoT
