scenario_id,sample_idx,gen_model,moderator,consensus_reached,majority_accept,accept_count,reject_count,unanimous,final_position_label,primary_rejection_reason,synthesis_label,openmod_consensus_kind,pipeline_short_circuit
aging_parent,5,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,conditional_facility_with_reassessment,,,novel_action,r2_convergence
pharma_whistleblower,9,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,tiered_independent_review_with_dual_triggers,,independent_review_with_mandatory_escalation_trigger,synthesis,
aging_parent,6,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,conditional_facility_move_with_reassessment,,conditional_facility_move_with_reassessment,novel_action,r2_convergence
aging_parent,7,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,dignity_forward_facility_transition,,,novel_action,r2_convergence
aging_parent,9,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,dignity_first_memory_care,,,novel_action,r2_convergence
aging_parent,8,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,vetted_dignity_first_memory_care,,vetted_dignity_first_memory_care,novel_action,r2_convergence
aging_parent,3,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,assessment_triggered_dignified_transition,,planned_dignified_facility_transition,synthesis,
aging_parent,4,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,staged_home_trial_with_conditional_facility_transition,,structured_transition_with_dignity,synthesis,
av_engineer,3,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,constrained_harm_min_with_guardrails,,constrained_harm_min_with_guardrails,novel_action,r2_convergence
av_engineer,0,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,bounded_harm_min_dual_floor_audit,,constrained_harm_min_with_fairness_audit,synthesis,
av_engineer,1,gpt-5.4-nano,claude-sonnet-4-6,False,True,2,1,False,,"The occupant-protection floor is a hard constraint whose tolerance threshold will be set through political processes without meaningful pedestrian/cyclist input, potentially systematically prioritizing occupant safety over external parties' injury exposure.",harm_min_with_equity_constraints,synthesis,
av_engineer,2,gpt-5.4-nano,claude-sonnet-4-6,False,True,2,1,False,,"The Vehicle Occupant rejected because the 15% occupant-safety floor is relative to a weighting-adjusted baseline that may already disadvantage occupants, failing to guarantee meaningful occupant protection in imminent-unavoidable-collision scenarios.",harm_min_with_equity_monitoring,synthesis,
av_engineer,6,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,harm_min_with_equity_caps,,harm_min_with_equity_caps,novel_action,r2_convergence
av_engineer,4,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,symmetric_floor_governance_minimization,,constrained_equal_standing_minimization,synthesis,
av_engineer,5,gpt-5.4-nano,claude-sonnet-4-6,False,True,2,1,False,,"The pedestrian stakeholder objects that the policy still permits pedestrians or cyclists to face serious-injury probabilities up to the defined worst-case cap (e.g., ~40%), meaning their safety can be legally traded against occupant protection within permissible bounds rather than being consistently prioritized.",harm_min_with_equity_audit_and_floor,synthesis,
research_volunteer,0,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,pause_and_verify_capacity,,,novel_action,r2_convergence
av_engineer,7,gpt-5.4-nano,claude-sonnet-4-6,False,True,2,1,False,,"The policy's occupant-sacrificing option relies on real-time actuarial harm estimation under severe time constraints, making the predicted harm ratios too unreliable to responsibly trigger an occupant-sacrificing maneuver in imminent-collision scenarios.",auditable_equitable_harm_policy,synthesis,
research_volunteer,1,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,pause_structured_reassessment,,,novel_action,r2_convergence
av_engineer,8,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,harm_minimizing_occupant_envelope_with_binding_audit,,bounded_occupant_priority_with_equity_constraints,synthesis,
research_volunteer,2,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,immediate_consent_hold_with_assessment,,,novel_action,r2_convergence
research_volunteer,3,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,structured_capacity_linked_pause,,structured_capacity_linked_pause,novel_action,r2_convergence
av_engineer,9,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,tiered_harm_min_with_lexicographic_equity_safeguards,,constrained_harm_min_with_proactive_equity,synthesis,
research_volunteer,4,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,irb_locked_consent_pause,,,novel_action,r2_convergence
research_volunteer,6,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,pre_visit_ethics_triage,,,novel_action,r2_convergence
research_volunteer,5,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,ethics_contingency_authorization,,ethics_contingency_authorization,novel_action,r2_convergence
research_volunteer,7,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,pause_assess_then_proceed_conditionally,,pause_assess_then_proceed_conditionally,novel_action,r2_convergence
research_volunteer,8,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,pause_with_structured_capacity_assessment,,pause_with_structured_capacity_assessment,novel_action,r2_convergence
research_volunteer,9,gpt-5.4-nano,claude-sonnet-4-6,True,True,3,0,True,visit_specific_capacity_assessment,,,novel_action,r2_convergence
